name,lat,lon,prop_housing,median_income,avg_duration,median_age,same_house,same_county,same_state,car_alone,carpool,public_transit,walked,transit_other,work_at_home,time_0900_0959
"Aberdeen, SD",45.521579,-98.695954,16.162306947056475,52641.0,13.866854217589816,39.2,84.0,9.0,4.0,81.0,9.0,0.0,4.0,2.0,4.0,4.0
"Aberdeen, WA",47.144448,-123.828467,21.549597731621294,43379.0,24.476107875934414,42.5,84.0,10.0,4.0,76.0,13.0,2.0,3.0,2.0,5.0,5.0
"Abilene, TX",32.44969,-99.717678,19.824176817555202,44249.0,16.917487107360525,34.1,77.0,13.0,7.0,81.0,12.0,1.0,2.0,2.0,3.0,4.0
"Ada, OK",34.728,-96.684439,18.07076070102899,42566.0,17.515102090129275,35.3,82.0,12.0,4.0,85.0,8.0,0.0,3.0,2.0,2.0,3.0
"Adrian, MI",41.895082,-84.066365,21.172949831663825,48118.0,26.60925449871465,40.6,85.0,9.0,3.0,83.0,9.0,0.0,3.0,1.0,3.0,3.0
"Akron, OH",41.148731,-81.349534,20.584528123522926,50776.0,23.0563405461862,40.0,87.0,8.0,3.0,86.0,7.0,1.0,2.0,1.0,3.0,5.0
"Alamogordo, NM",32.613156,-105.741683,19.707490028069138,40614.0,20.202691230155363,35.6,81.0,9.0,3.0,77.0,17.0,0.0,2.0,1.0,2.0,3.0
"Albany, GA",31.589507,-84.173886,24.453199293574244,36805.0,20.45823564404941,35.7,84.0,8.0,6.0,80.0,12.0,1.0,2.0,1.0,3.0,4.0
"Albany, OR",44.488679,-122.534319,23.965306349382853,44965.0,22.803171957016378,39.4,84.0,9.0,5.0,77.0,11.0,1.0,2.0,2.0,6.0,3.0
"Albany-Schenectady-Troy, NY",42.788505,-73.941976,20.53006904804256,61841.0,22.547987405657743,39.9,87.0,6.0,4.0,80.0,8.0,3.0,4.0,1.0,4.0,5.0
"Albemarle, NC",35.31199,-80.250924,20.42370864079981,42010.0,25.54484788195308,41.6,87.0,8.0,4.0,83.0,11.0,0.0,2.0,1.0,3.0,2.0
"Albert Lea, MN",43.673844,-93.348816,16.82722903728412,45569.0,18.501502340856685,44.5,89.0,8.0,2.0,81.0,10.0,1.0,2.0,2.0,4.0,2.0
"Albertville, AL",34.366962,-86.306637,19.15233197375421,39473.0,23.867237988198934,38.6,86.0,9.0,4.0,81.0,14.0,0.0,1.0,1.0,3.0,2.0
"Albuquerque, NM",35.122356,-106.471627,22.563682864450126,48875.0,23.453664006855384,36.9,85.0,9.0,3.0,80.0,10.0,2.0,2.0,2.0,4.0,5.0
"Alexandria, LA",31.330551,-92.541857,19.916162994735817,41032.0,24.524208907759782,37.3,88.0,7.0,3.0,84.0,9.0,2.0,2.0,2.0,2.0,3.0
"Alexandria, MN",45.933716,-95.453523,19.434124035438696,52485.0,18.288660389347815,44.1,85.0,9.0,5.0,83.0,8.0,0.0,2.0,1.0,5.0,4.0
"Alice, TX",27.731338,-98.089886,17.32331676989379,42463.0,25.01990080215541,34.2,87.0,7.0,4.0,84.0,12.0,0.0,1.0,1.0,2.0,4.0
"Allentown-Bethlehem-Easton, PA-NJ",40.789393,-75.403654,22.92394471805184,58681.0,27.54106339301494,41.0,87.0,7.0,3.0,82.0,9.0,2.0,3.0,1.0,4.0,4.0
"Alma, MI",43.292733,-84.604912,18.55951043434609,41833.0,22.088042227786424,39.0,83.0,10.0,7.0,80.0,9.0,0.0,3.0,1.0,6.0,2.0
"Alpena, MI",45.031107,-83.165202,19.27359007118087,38353.0,17.0420446615492,46.6,87.0,9.0,3.0,82.0,11.0,1.0,1.0,2.0,4.0,3.0
"Altoona, PA",40.480995,-78.348604,17.642634086298468,43871.0,19.16331010958705,42.6,89.0,8.0,2.0,83.0,9.0,0.0,4.0,2.0,3.0,5.0
"Altus, OK",34.587971,-99.414757,19.072545147398227,42029.0,14.436607603646998,34.0,82.0,10.0,3.0,82.0,11.0,0.0,3.0,1.0,2.0,4.0
"Amarillo, TX",35.248885,-101.909547,19.421629366536838,49553.0,18.946850309447786,34.3,82.0,9.0,7.0,81.0,13.0,1.0,2.0,1.0,3.0,5.0
"Americus, GA",32.096406,-84.226996,21.79282289699259,34415.0,21.280048532645786,35.1,83.0,10.0,6.0,78.0,14.0,0.0,4.0,1.0,3.0,3.0
"Ames, IA",42.036241,-93.465045,19.449970743124634,51270.0,17.925302754259995,26.5,67.0,16.0,9.0,73.0,8.0,6.0,7.0,3.0,4.0,7.0
"Amsterdam, NY",42.902282,-74.439683,21.436819344759662,44167.0,23.35305523790583,41.0,86.0,8.0,4.0,80.0,11.0,1.0,3.0,2.0,4.0,3.0
"Anchorage, AK",62.223995,-149.552184,21.81732567721345,76453.0,22.201229734289555,33.0,81.0,11.0,2.0,74.0,12.0,2.0,3.0,4.0,4.0,6.0
"Angola, IN",41.643868,-85.000765,18.633846153846154,48750.0,22.558162331721345,41.2,85.0,7.0,4.0,85.0,9.0,0.0,1.0,2.0,3.0,4.0
"Ann Arbor, MI",42.253226,-83.838771,22.67576679549379,60805.0,23.105626826335367,33.3,77.0,12.0,6.0,73.0,8.0,5.0,6.0,2.0,5.0,7.0
"Anniston-Oxford-Jacksonville, AL",33.771428,-85.826035,18.680808426403384,40919.0,22.88383336345563,38.8,83.0,9.0,4.0,85.0,9.0,0.0,1.0,1.0,2.0,4.0
"Appleton, WI",44.289031,-88.371153,18.90983728667671,60413.0,19.833751459084652,38.0,89.0,5.0,4.0,85.0,7.0,1.0,2.0,2.0,4.0,3.0
"Arcadia, FL",27.18632,-81.809301,20.16946336600764,36114.0,24.73934647128179,39.2,81.0,9.0,7.0,65.0,17.0,12.0,1.0,3.0,2.0,1.0
"Ardmore, OK",34.250864,-97.285787,17.43992606284658,43280.0,18.308782302869666,38.4,88.0,7.0,3.0,83.0,10.0,1.0,2.0,1.0,4.0,5.0
"Arkadelphia, AR",34.050956,-93.176367,19.98299569028702,34109.0,20.808149405772497,34.1,81.0,8.0,7.0,77.0,12.0,0.0,5.0,2.0,5.0,3.0
"Arkansas City-Winfield, KS",37.237753,-96.837489,18.84384562468866,42157.0,18.151545698924732,38.2,80.0,12.0,5.0,80.0,12.0,0.0,2.0,2.0,4.0,2.0
"Asheville, NC",35.60063,-82.682645,21.285140562248998,44820.0,21.37137675074732,43.0,85.0,8.0,3.0,80.0,10.0,1.0,2.0,1.0,6.0,6.0
"Ashland, OH",40.846019,-82.270692,18.9309860951652,47034.0,23.383960287822205,40.0,86.0,7.0,5.0,84.0,8.0,0.0,4.0,1.0,3.0,3.0
"Ashtabula, OH",41.896381,-80.759011,21.645494243747518,40304.0,25.34316347059872,41.6,88.0,8.0,2.0,83.0,9.0,1.0,2.0,1.0,3.0,3.0
"Astoria, OR",46.017467,-123.716773,23.47423791114773,47337.0,18.32300638205589,43.8,79.0,10.0,5.0,71.0,12.0,2.0,7.0,3.0,5.0,8.0
"Atchison, KS",39.53174,-95.313445,16.448665113778894,44648.0,20.364803735590254,36.5,86.0,8.0,3.0,74.0,11.0,0.0,6.0,1.0,7.0,2.0
"Athens, OH",39.333863,-82.045129,25.08512717259349,33773.0,20.197961021945627,27.0,72.0,15.0,10.0,68.0,9.0,1.0,16.0,2.0,5.0,7.0
"Athens, TN",35.424746,-84.617474,18.28271617394814,39644.0,22.825434913017396,42.2,86.0,10.0,3.0,85.0,11.0,0.0,1.0,0.0,3.0,3.0
"Athens, TX",32.211894,-95.853555,20.576192957641627,40299.0,28.608426270136306,43.2,86.0,7.0,5.0,78.0,16.0,0.0,1.0,1.0,4.0,3.0
