county,lat,lon,prop_housing,median_income,avg_duration,median_age,same_house,same_county,same_state,car_alone,carpool,public_transit,walked,transit_other,work_at_home,region
Accomack County,37.947883,-75.361206,16.00704380365397,45430.0,16.612903225806452,52.1,91.0,4.0,0.0,80.0,10.0,0.0,4.0,1.0,4.0,coastal_virginia
Accomack County,37.95597,-75.503351,16.327790764345256,45346.0,18.31745491663831,46.7,95.0,2.0,0.0,90.0,4.0,1.0,4.0,1.0,1.0,coastal_virginia
Accomack County,37.896329,-75.663441,20.029806259314455,33550.0,19.682539682539684,41.8,95.0,3.0,1.0,75.0,13.0,1.0,6.0,1.0,5.0,coastal_virginia
Accomack County,37.750478,-75.597467,19.17994823593516,44046.0,23.263510682865522,35.8,89.0,3.0,1.0,74.0,22.0,0.0,0.0,1.0,3.0,coastal_virginia
Accomack County,37.810937,-75.69909,19.524324324324326,37e3,19.77358490566038,38.0,98.0,1.0,1.0,85.0,8.0,2.0,3.0,0.0,1.0,coastal_virginia
Accomack County,37.819891,-75.859056,20.59218395293773,40967.0,18.535142658315937,55.4,92.0,3.0,1.0,73.0,9.0,1.0,4.0,7.0,4.0,coastal_virginia
Accomack County,37.624336,-75.821341,20.603818854343697,40012.0,27.20160481444333,48.2,97.0,2.0,1.0,86.0,5.0,0.0,2.0,0.0,7.0,coastal_virginia
Accomack County,37.555857,-75.716585,26.112806690713068,25229.0,19.07861635220126,40.7,89.0,4.0,1.0,66.0,22.0,1.0,10.0,0.0,1.0,coastal_virginia
Albemarle County,38.174289,-78.638249,18.040122680878877,79556.0,25.922934933087216,47.7,92.0,4.0,4.0,79.0,5.0,0.0,4.0,0.0,12.0,greater_richmond_area
Albemarle County,38.171741,-78.423493,20.54008887538456,78987.0,23.33769063180828,43.8,91.0,5.0,2.0,88.0,8.0,0.0,0.0,0.0,4.0,greater_richmond_area
Albemarle County,38.122308,-78.511825,17.566523131279673,108684.0,23.233962264150943,48.7,90.0,4.0,1.0,89.0,1.0,0.0,0.0,1.0,8.0,greater_richmond_area
Albemarle County,38.125214,-78.433066,21.94909090909091,82500.0,20.571793087450708,36.4,84.0,6.0,3.0,81.0,8.0,0.0,2.0,1.0,8.0,greater_richmond_area
Albemarle County,38.085209,-78.329242,17.261047735075866,72232.0,26.168975069252078,50.5,94.0,2.0,2.0,80.0,6.0,2.0,1.0,1.0,10.0,greater_richmond_area
Albemarle County,37.988015,-78.393568,15.1725321888412,116500.0,24.726090993500463,48.3,93.0,1.0,4.0,66.0,10.0,1.0,0.0,1.0,21.0,greater_richmond_area
