season,year,workingday,weather,temp,humidity,windspeed,registered,count
1,0,0,2,6.715022,0.805833,17.30021509788,654,985
1,0,0,2,7.989548,0.696087,26.79891153542,670,801
1,0,1,1,-3.039976,0.437273,26.77411160602,1229,1349
1,0,1,1,-2.8,0.590435,17.28404123088,1454,1562
1,0,1,1,-1.020838,0.436957,20.152638282,1518,1600
1,0,1,1,-2.513032,0.518261,9.657437550856,1518,1606
1,0,1,2,-3.029548,0.498696,18.19301255628,1362,1510
1,0,0,2,-5.11,0.535833,28.76834940712,891,959
1,0,0,1,-6.870022,0.434167,39.027541071,768,822
1,0,1,1,-6.045022,0.482917,24.07393842326,1280,1321
1,0,1,2,-4.839994,0.686364,13.16897816296,1220,1263
1,0,1,1,-4.600018,0.599545,32.84664388406,1137,1162
1,0,1,1,-5.11,0.470417,32.45555978,1368,1406
1,0,1,1,-5.38258,0.537826,13.64513680744,1367,1421
1,0,0,2,-0.600021999999999,0.49875,17.03248368614,1026,1248
1,0,0,1,-0.709978,0.48375,20.31793520274,953,1204
1,0,0,2,-4.395022,0.5375,20.92003435826,883,1000
1,0,1,2,-1.699978,0.861667,15.8261288595,674,683
1,0,1,2,3.283484,0.741739,22.46194301226,1572,1650
1,0,1,2,1.270022,0.538333,21.12350160512,1844,1927
1,0,1,1,-4.285,0.457083,38.08859417876,1468,1543
1,0,0,1,-12.0973936,0.4,18.5427993866,888,981
1,0,0,1,-9.6295678,0.436522,26.589837348,836,986
1,0,1,1,-9.5721742,0.491739,17.0720557474,1330,1416
1,0,1,2,-1.250452,0.616957,13.99535494088,1799,1985
1,0,1,3,-1.645,0.8625,31.684605453,472,506
1,0,1,1,-3.13,0.6875,12.27456331786,416,431
1,0,1,2,-2.570452,0.793043,13.294918674,1129,1167
1,0,0,1,-3.029548,0.651739,15.6740945097,975,1098
1,0,0,1,-1.709548,0.722174,7.977231551428,956,1096
1,0,1,2,-4.065022,0.60375,20.18412340976,1459,1501
1,0,1,2,-3.316516,0.829565,5.73773323114,1313,1360
1,0,1,2,1.16,0.775417,28.49921626024,1454,1526
1,0,1,1,-3.660838,0.437826,29.94882604656,1489,1550
1,0,1,2,-2.053936,0.585217,13.78433988942,1620,1708
1,0,0,2,-0.600021999999999,0.929167,17.36846881662,905,1005
1,0,0,1,2.864978,0.568333,15.289695604,1269,1623
1,0,1,1,1.930022,0.738333,4.896185365974,1592,1712
1,0,1,1,-1.425022,0.537917,39.027541071,1466,1530
1,0,1,2,-7.104322,0.494783,20.36171246942,1552,1605
1,0,1,1,-6.473032,0.437391,23.9303144843,1491,1538
1,0,1,1,-3.519994,0.506364,11.704488419,1597,1746
1,0,0,1,-1.315,0.544167,21.92820540126,1184,1472
1,0,0,1,4.890452,0.457391,28.12991296374,1192,1589
1,0,1,1,11.39,0.375833,45.06125606824,1705,1913
1,0,1,1,1.561742,0.314348,31.41762882172,1675,1815
1,0,1,1,5.005226,0.423478,27.14956097198,1897,2115
1,0,1,1,12.764978,0.505,24.81114328112,2216,2475
1,0,1,1,18.430022,0.516667,28.5657447665,2348,2927
1,0,0,1,10.345022,0.187917,54.71759379614,1103,1635
1,0,0,1,2.824322,0.407826,24.0704879983,1173,1812
1,0,0,2,4.019978,0.605,33.19373506988,912,1107
1,0,1,1,-3.973348,0.577778,21.09967210774,1376,1450
1,0,1,1,-1.365226,0.423043,10.14780763314,1778,1917
1,0,1,2,3.513032,0.697391,27.00992658688,1707,1807
1,0,1,2,8.046968,0.712174,37.36583797542,1341,1461
1,0,0,1,2.645,0.537917,20.11716360038,1545,1969
1,0,0,1,6.669548,0.68,13.50496329344,1708,2402
1,0,1,2,10.880018,0.876364,31.23561890508,1365,1446
1,0,1,1,1.600022,0.535,23.3361944365,1714,1851
1,0,1,1,6.11,0.449583,33.19233333474,1903,2134
1,0,1,1,-2.910022,0.318333,24.34210113812,1562,1685
1,0,1,2,1.270022,0.610417,21.92594105988,1730,1944
1,0,0,2,9.355022,0.789167,27.15818703438,1437,2077
1,0,0,2,8.850452,0.948261,37.01518853886,491,605
1,0,1,1,1.274774,0.551304,36.80654565456,1628,1872
1,0,1,1,3.305,0.420833,13.009180357,1817,2133
1,0,1,2,3.524978,0.775417,23.737845467,1700,1891
1,0,1,3,9.680006,0,28.23709178906,577,623
1,0,1,2,4.890452,0.649565,25.1201719666,1730,1977
1,0,0,1,5.725022,0.594583,23.8052365795,1408,2132
1,0,0,1,9.366968,0.527391,29.17808737112,1435,2417
1,0,1,1,5.464322,0.496957,14.76415275228,1687,2046
1,0,1,2,4.947806,0.655652,19.87326168602,1767,2056
1,0,1,2,8.104322,0.776522,21.90124895626,1871,2192
1,0,1,1,11.39,0.602917,22.59801914662,2320,2744
1,0,1,1,19.64,0.525217,24.90958821826,2355,3239
1,0,0,1,15.185,0.379167,39.69789394526,1693,3117
1,0,0,1,5.945,0.47375,22.39767884738,1424,2471
2,0,1,2,12.40871,0.737391,31.13825222574,1676,2077
2,0,1,1,13.150022,0.624583,24.341669835,2243,2703
2,0,1,2,6.899162,0.839565,25.25937504858,1918,2121
2,0,1,2,2.81,0.805833,26.28652342886,1699,1865
2,0,1,1,1.435022,0.495,24.8781030905,1910,2210
2,0,0,1,1.544978,0.394167,22.59715654038,1515,2496
2,0,0,2,0.700838000000001,0.493913,19.872291254,1221,1693
2,0,1,1,1.446968,0.302174,22.88106181912,1806,2028
2,0,1,1,3.965,0.314167,24.47602075688,2108,2425
2,0,1,2,3.8,0.646667,18.64178345264,1368,1536
2,0,1,3,1.709978,0.918333,23.46784971388,1506,1685
2,0,1,2,3.8,0.68625,27.89539189224,1920,2227
2,0,0,2,4.79,0.65375,21.25742122388,1354,2252
2,0,0,1,8.969978,0.48,19.64725885114,1598,3249
2,0,1,1,21.839978,0.42625,41.57449382038,2381,3115
2,0,1,2,11.335022,0.642083,41.84362696726,1628,1795
2,0,1,1,9.794978,0.470833,28.36497316414,2395,2808
2,0,1,1,12.875,0.602917,17.50141800336,2570,3141
2,0,1,2,6.164978,0.83625,24.47558945376,1299,1471
2,0,0,2,6.605,0.8775,14.34977827974,1576,2455
2,0,0,2,12.160022,0.8575,15.82526625326,1707,2895
2,0,1,2,23.313032,0.716956,34.98666213972,2493,3348
2,0,1,2,17.165,0.739167,29.63904258062,1777,2034
2,0,1,2,11.225,0.819167,27.02297350626,1953,2162
2,0,1,1,14.855,0.540417,11.936313846,2738,3267
