location,cost,yelp,google,chips_included,hunger,tortilla,temp,meat,fillings,meat_filling,uniformity,salsa,synergy,wrap,overall,lat,lon
Donato's taco shop,6.49,3.5,4.2,0.0,3.0,3.0,5.0,3.0,3.5,4.0,4.0,4.0,4.0,4.0,3.8,32.878979,-117.168501
Oscar's Mexican food,5.45,3.5,3.3,0.0,3.5,2.0,3.5,2.5,2.5,2.0,4.0,3.5,2.5,5.0,3.0,32.808156,-117.260863
Pollos Maria,6.59,4.0,3.8,1.0,4.0,4.0,5.0,4.0,3.5,4.5,5.0,2.5,4.5,4.0,4.2,33.161159,-117.344319
Los Primos Mexican Food,9.25,3.0,3.7,1.0,3.5,2.0,4.5,4.5,3.5,1.5,3.0,3.5,4.0,2.0,3.9,32.862724,-117.224403
JV's Mexican Food,6.25,4.0,4.1,0.0,3.5,2.5,1.5,1.5,3.0,4.5,3.0,1.5,2.0,4.5,2.0,32.76867,-117.20041
Tony's Fresh Mexican Food,6.95,3.0,4.1,1.0,2.0,3.0,4.0,4.0,3.0,4.0,4.0,1.0,2.0,1.0,3.0,33.186519,-117.329009
Taco Stand,7.49,4.5,4.4,0.0,4.0,3.0,2.5,4.0,4.0,3.5,2.5,3.5,5.0,4.5,4.2,32.839343,-117.276834
Graciela's Taco Shop,5.99,4.0,4.5,0.0,3.0,4.0,4.0,3.0,3.5,4.0,4.5,4.0,4.0,4.5,4.0,32.697556,-117.020203
Lolita's taco shop,8.75,4.0,4.4,0.0,3.5,1.5,2.0,3.0,3.5,4.0,1.0,3.5,4.5,4.0,4.0,32.629087,-117.046116
Lola's 7 Up Market & Deli,6.0,4.5,4.9,0.0,3.5,2.5,2.5,3.0,4.0,4.0,4.0,3.0,3.5,1.5,3.8,33.157097,-117.344921
Colima's Mexican Food,6.29,4.0,4.2,0.0,3.5,3.5,5.0,4.0,4.0,3.5,4.5,3.5,3.5,4.0,4.0,32.748602,-117.139893
Rigoberto's Taco Shop,6.6,4.0,4.4,0.0,3.5,4.0,2.0,4.0,3.5,4.5,4.0,3.5,4.0,1.0,4.25,32.879968,-117.162119
El Zarape,6.25,4.0,4.4,1.0,0.5,3.0,5.0,4.0,2.75,4.0,1.6,3.5,3.4,5.0,3.33333,32.761795,-117.146465
El Indio,7.84,3.5,3.9,0.0,4.0,4.0,4.0,3.5,4.0,4.5,4.0,3.5,3.5,4.5,4.0,32.74232,-117.180143
Cancun Mexican & Seafood,6.99,4.5,4.1,1.0,4.0,4.0,4.5,4.0,3.5,4.0,2.5,2.0,4.0,4.0,4.2,33.079382,-117.307862
Vallarta express,6.95,3.5,4.0,0.0,3.5,3.0,4.0,3.5,4.0,4.0,4.0,3.5,4.5,4.5,4.1,32.82133,-117.182653
Mikes Taco Club,8.59,4.5,4.9,0.0,2.5,4.0,4.5,3.5,5.0,2.5,2.0,4.0,4.5,4.0,4.3,32.747612,-117.252017
La Perla Cocina,7.99,4.5,4.7,0.0,3.5,4.0,4.0,2.0,3.0,1.5,3.0,2.5,1.0,3.0,2.5,32.79815,-117.256383
Porkyland,8.25,4.0,4.4,1.0,3.5,4.0,4.5,3.5,2.5,4.5,4.5,4.0,3.5,5.0,4.0,32.842944,-117.272557
Rudy's Taco Shop,6.6,4.0,4.3,0.0,3.5,3.5,3.0,4.0,4.5,3.0,1.0,3.0,4.0,0.5,2.8,32.990388,-117.26062400000001
California Burritos,6.25,4.5,4.4,1.0,4.0,4.5,4.5,2.5,3.5,3.5,3.5,3.0,4.0,5.0,4.1,32.793168,-117.15593
Jorge's Mexicatessen,5.95,4.0,4.5,0.0,3.5,2.5,2.5,3.5,4.0,3.0,4.5,4.0,4.5,4.5,3.8,33.052994,-117.26013
Senor Grubby's,9.0,4.0,4.1,0.0,2.0,2.0,3.5,3.0,1.5,1.0,1.0,2.5,1.5,3.5,1.5,33.158668,-117.349977
Mi Asador Mexican & Seafood,6.89,4.5,4.4,1.0,3.0,3.0,2.5,3.0,2.5,2.5,2.0,3.5,3.0,4.0,3.0,33.215946,-117.271857
Sotos Mexican Food,6.75,4.5,4.6,1.0,3.0,4.5,4.0,3.0,4.0,1.0,3.0,4.5,3.5,4.5,3.5,32.879182,-117.167243
Karina's Taco Shop,7.99,4.0,4.2,0.0,3.0,4.0,4.0,4.0,3.5,2.5,3.5,4.0,3.5,2.5,3.7,33.064779,-117.302631
Juanita's Taco Shop,5.55,4.0,4.5,0.0,3.5,4.0,4.5,3.0,3.0,5.0,3.0,4.0,3.0,5.0,3.5,33.0542,-117.296928
Goody's,7.25,3.5,4.1,0.0,3.5,1.5,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.8,32.88248,-117.234716
Taco Surf PB,7.14,4.0,4.6,0.0,3.5,4.0,2.0,4.0,5.0,4.0,2.0,4.0,4.5,5.0,4.4,32.79888,-117.256021
Roberto's Very Mexican Food,6.5,3.5,3.9,0.0,2.0,1.5,4.0,2.0,2.0,4.5,1.0,1.0,2.0,5.0,1.5,32.934223,-117.255151
Netos Mexican Food,5.99,4.5,4.1,1.0,4.0,4.5,5.0,3.0,4.0,2.0,2.0,2.0,3.75,4.0,3.2,33.142514,-117.20172
Pokirrito,11.95,4.0,4.3,1.0,4.0,3.5,4.0,4.0,4.5,2.5,2.5,3.0,4.0,2.0,4.2,32.824908,-117.155752
El Nopalito,4.87,4.0,4.0,1.0,2.0,3.0,4.0,1.5,2.0,3.0,5.0,3.0,2.5,5.0,2.6,33.037068,-117.28019
Los tacos,7.9,4.0,4.2,0.0,3.5,3.5,4.5,4.5,4.0,1.5,1.5,3.0,4.0,5.0,3.5,33.182721,-117.340754
Albertacos,5.7,3.5,3.9,0.0,3.5,3.5,3.0,3.0,4.0,1.5,4.0,4.0,4.0,4.0,3.7,33.139483,-117.172157
El Rey Moro,9.19,4.0,3.8,0.0,2.8,3.5,4.5,4.0,3.5,5.0,4.5,3.0,3.5,5.0,4.0,32.834215,-117.195739
Tacos por favor,7.85,4.0,4.1,1.0,3.0,3.0,4.5,4.5,3.5,3.5,3.5,1.0,4.0,1.0,3.5,33.483984,-117.143324
El dorado Mexican food,6.94,4.5,4.0,0.0,4.0,4.0,4.0,4.0,4.5,3.2,3.0,4.5,4.5,2.0,4.5,33.483984,-117.143324
Papa Chito's Mexican Food,6.25,2.5,3.3,0.0,3.5,3.5,3.5,2.5,2.5,2.5,4.0,2.0,1.5,5.0,2.2,32.853664,-117.203881
El Pueblo Mexican Food,4.99,4.0,4.7,0.0,4.0,4.5,4.5,3.5,4.0,4.5,5.0,2.5,4.5,5.0,4.3,33.026888,-117.273232
Burros and Fries,6.89,3.5,4.1,0.0,4.0,3.5,4.5,3.5,3.5,3.0,1.5,2.5,3.5,5.0,3.5,32.703199,-117.099938
King Burrito,4.99,4.0,3.9,0.0,3.5,3.0,3.0,3.0,3.0,2.5,2.0,2.5,3.0,4.0,2.8,33.178814,-117.294818
Carmen's Mexican Food,6.5,4.0,4.2,0.0,3.5,2.5,4.0,3.5,4.0,4.0,3.0,1.5,3.5,5.0,3.6,32.835303,-117.18681
Senor Panchos,6.25,4.0,4.2,0.0,3.5,2.5,3.5,3.0,3.0,5.0,4.5,3.5,2.0,5.0,2.9,33.131734,-117.209579
Los Cabos,5.99,4.0,4.1,1.0,4.0,4.0,4.5,2.5,2.5,2.5,1.5,3.0,4.0,5.0,3.0,33.147175,-117.199833
Rubios UCSD,7.99,3.5,3.4,1.0,3.5,1.5,4.0,3.0,3.0,1.5,4.5,2.5,3.0,1.5,3.2,32.879772,-117.236517
Lucha Libre North Park,8.25,3.5,4.3,1.0,4.0,3.0,2.5,3.0,3.0,3.0,3.0,3.5,3.0,3.0,3.0,32.748976,-117.129726
Roberto's Taco Shop Clairemont,5.79,4.0,4.0,0.0,4.0,3.0,4.5,4.0,4.0,4.0,5.0,2.5,3.0,5.0,3.6,32.797605,-117.192762
