area_number,area_name,median_age,num_households,family_households,family_w_kids,owner_ratio,mean_travel_time,percent_walk,median_income,perc_20_units
1,Rogers Park,30,25537,48,26,18,37,6,31602,49
2,West Ridge,35,25491,68,34,47,33,4,41144,19
3,Uptown,34,30633,36,16,24,35,6,32328,61
4,Lincoln Square,34,18651,52,24,31,34,6,40898,20
5,North Center,33,14796,47,19,41,34,4,51758,5
6,Lake View,31,56962,25,7,30,34,4,53881,53
7,Lincoln Park,31,35774,29,11,40,30,6,68613,42
8,Near North Side,37,45432,30,8,41,25,25,57811,87
9,Edison Park,41,4786,64,24,80,29,3,57083,5
10,Norwood Park,43,15440,66,24,80,30,2,53402,8
11,Jefferson Park,39,10496,64,26,67,32,2,49640,4
12,Forest Glen,42,6959,73,30,89,31,1,68269,1
13,North Park,36,6515,66,29,54,32,7,49208,18
14,Albany Park,30,17082,73,40,34,36,4,40711,14
15,Portage Park,36,23727,67,30,57,34,4,45117,5
16,Irving Park,33,20876,64,33,41,35,3,42037,10
17,Dunning,40,15571,71,28,80,33,2,49367,7
18,Montclare,35,4139,72,34,67,33,3,46636,2
19,Belmont Cragin,30,21851,79,44,55,37,3,43159,1
20,Hermosa,27,7266,81,50,45,35,2,38159,3
21,Avondale,30,13693,70,39,37,34,5,36677,3
22,Logan Square,29,28891,59,33,31,34,3,36245,10
23,Humboldt Park,25,17830,80,47,38,38,4,28728,5
24,West Town,30,35324,49,24,29,30,7,38915,10
25,Austin,30,35251,76,37,43,39,2,33663,9
26,West Garfield Park,28,6891,71,35,29,40,2,23121,17
27,East Garfield Park,29,6553,70,36,28,36,6,24216,11
28,Near West Side,28,18175,47,22,26,28,23,29588,49
29,North Lawndale,26,12402,76,42,26,39,4,18342,6
30,South Lawndale,26,19213,85,57,36,35,8,32320,3
31,Lower West Side,26,12797,73,46,26,34,9,27763,3
32,Loop,37,8996,33,7,46,23,34,65128,94
33,Near South Side,33,4647,45,23,37,32,12,34329,72
34,Armour Square,39,4730,62,26,29,29,14,22756,23
35,Douglas,30,10811,49,27,12,33,10,24835,74
36,Oakland,25,2260,61,40,9,41,4,10739,42
37,Fuller Park,36,1277,57,24,35,35,1,18412,23
38,Grand Boulevard,29,9983,58,33,13,37,8,14178,42
39,Kenwood,36,8935,45,22,29,32,6,36612,64
40,Washington Park,26,4742,64,37,10,48,4,15160,32
41,Hyde Park,32,14360,39,16,32,27,27,35991,56
42,Woodlawn,30,10163,57,30,18,42,7,18266,25
43,South Shore,33,25669,56,28,23,44,3,27748,33
44,Chatham,38,15717,60,24,41,41,1,32341,8
45,Avalon Park,39,4069,70,24,74,42,3,44344,3
46,South Chicago,29,12569,72,38,43,43,4,28279,5
47,Burnside,30,960,82,35,67,44,3,34790,0
48,Calumet Heights,41,5855,74,23,78,42,2,46326,1
49,Roseland,35,16750,75,28,64,45,2,38237,2
50,Pullman,33,3263,67,30,51,42,2,30966,5
51,South Deering,33,5543,76,34,69,42,1,34789,3
52,East Side,31,7404,77,41,70,34,3,39724,0
53,West Pullman,31,10681,79,34,70,47,1,40478,3
54,Riverdale,20,2868,81,55,13,45,4,13178,3
55,Hegewisch,38,3821,66,28,80,33,3,43665,0
56,Garfield Ridge,38,12901,72,29,81,36,2,45436,2
57,Archer Heights,32,4040,73,35,62,33,4,39431,1
58,Brighton Park,27,12465,78,49,51,34,4,36245,1
59,Mckinley Park,30,5097,72,40,51,32,5,36010,1
60,Bridgeport,33,12290,65,33,43,30,5,35535,1
61,New City,25,13990,77,48,35,36,8,25647,1
62,West Elsdon,33,5123,73,37,79,32,4,45310,1
63,Gage Park,26,9713,81,54,61,37,2,36463,2
64,Clearing,37,8653,66,28,74,34,2,45533,1
65,West Lawn,31,8949,76,40,83,34,2,47017,3
66,Chicago Lawn,26,17077,78,47,52,42,2,35983,4
67,West Englewood,29,12370,79,34,53,46,2,26693,2
68,Englewood,28,12619,69,36,32,44,3,18955,11
69,Greater Grand Crossing,34,14383,64,30,37,43,2,27916,10
70,Ashburn,34,12817,79,41,91,37,1,53633,0
71,Auburn Gresham,34,18270,74,30,53,45,2,34238,6
72,Beverly,38,8030,72,35,82,37,1,66823,4
73,Washington Heights,38,9849,77,24,77,42,2,43201,2
74,Mount Greenwood,36,6910,70,32,87,32,3,57493,5
75,Morgan Park,37,8508,73,31,77,38,2,53133,5
76,O'Hare,36,5924,50,17,37,32,3,43542,38
77,Edgewater,35,30873,39,16,31,37,5,35766,59
