carat,cut,color,clarity,depth,table,price,x,y,z
0.28,Ideal,F,VVS2,62.6,55.0,787,4.2,4.23,2.64
0.71,Very Good,F,SI1,62.1,59.0,2346,5.64,5.73,3.53
0.26,Ideal,G,VS1,62.1,55.0,478,4.09,4.12,2.55
1.0,Good,D,VS2,64.1,58.0,6389,6.24,6.33,4.03
1.2,Good,I,VS1,59.6,61.0,5818,6.84,6.89,4.09
0.57,Very Good,G,SI1,63.4,57.0,1369,5.26,5.21,3.32
0.75,Ideal,E,SI2,62.1,57.0,2278,5.81,5.85,3.62
0.3,Ideal,F,VS1,62.6,57.0,570,4.29,4.34,2.7
0.64,Good,F,IF,58.6,61.0,2980,5.69,5.71,3.34
0.73,Premium,E,VS2,62.0,57.0,2854,5.86,5.76,3.6
0.35,Ideal,J,VS1,62.6,53.7,483,4.51,4.54,2.83
0.52,Very Good,I,VS1,61.0,58.0,1310,5.18,5.22,3.17
1.01,Very Good,D,SI1,59.8,56.0,5394,6.57,6.6,3.94
0.32,Ideal,F,VS2,62.4,56.0,828,4.37,4.35,2.72
1.01,Good,G,VVS1,63.1,59.0,7279,6.33,6.42,4.02
0.59,Good,I,VVS2,57.8,61.0,1427,5.52,5.6,3.21
2.04,Premium,E,SI2,62.7,60.0,15398,8.04,8.0,5.03
0.56,Premium,D,SI1,61.4,58.0,1723,5.29,5.33,3.26
0.39,Very Good,F,VS2,58.8,59.0,821,4.8,4.83,2.83
0.61,Ideal,E,VVS1,59.9,61.0,3212,5.5,5.55,3.31
0.51,Ideal,I,SI1,62.5,57.0,1122,5.1,5.07,3.18
0.26,Good,F,VVS1,63.3,57.0,564,4.05,4.07,2.57
0.31,Good,G,VS1,63.3,57.0,583,4.28,4.31,2.72
0.7,Good,G,SI1,63.7,60.0,2150,5.57,5.51,3.53
1.16,Ideal,G,VVS1,62.0,57.0,9526,6.72,6.74,4.17
0.41,Premium,H,VVS1,61.4,60.0,1115,4.78,4.73,2.92
0.53,Premium,E,SI1,60.0,60.0,1607,5.27,5.24,3.21
1.11,Very Good,H,SI2,59.8,60.0,4456,6.66,6.75,4.01
0.36,Premium,D,SI1,60.4,58.0,851,4.64,4.6,2.79
0.44,Premium,I,VVS1,61.5,58.0,990,4.95,4.87,3.02
0.73,Good,G,I1,63.9,55.0,1210,5.76,5.69,3.65
1.08,Very Good,F,VS2,63.1,57.0,6319,6.56,6.5,4.12
2.01,Premium,E,SI1,60.4,61.0,12898,8.05,7.98,4.84
0.7,Good,H,VS2,64.5,57.0,2137,5.53,5.57,3.58
0.45,Premium,F,SI2,62.6,57.0,996,4.94,4.87,3.07
0.7,Premium,H,VVS1,58.3,60.0,2603,5.83,5.8,3.39
0.56,Ideal,G,VVS1,62.3,55.0,2055,5.25,5.31,3.29
0.31,Very Good,F,VS2,61.4,62.0,625,4.32,4.34,2.66
1.15,Ideal,G,VVS1,62.7,56.0,10644,6.69,6.67,4.19
1.78,Premium,H,VS1,60.2,59.0,15601,7.96,7.83,4.75
1.51,Premium,H,SI1,61.5,58.0,8752,7.38,7.31,4.52
1.03,Very Good,G,VS1,62.2,57.0,6539,6.42,6.47,4.01
0.63,Good,J,SI1,59.9,64.0,1134,5.63,5.58,3.36
0.8,Very Good,H,SI2,59.7,58.0,2263,6.03,6.09,3.62
1.07,Premium,F,SI2,58.2,58.0,4319,6.79,6.72,3.93
0.35,Good,G,SI1,63.8,54.0,522,4.46,4.48,2.85
1.34,Ideal,I,VS1,62.2,57.0,7016,7.02,7.06,4.38
1.14,Premium,H,SI1,62.1,59.0,4463,6.73,6.61,4.14
0.55,Ideal,G,VVS1,61.2,56.0,2077,5.27,5.3,3.24
0.51,Ideal,E,VS1,61.5,53.0,1708,5.17,5.24,3.2
1.15,Very Good,D,SI1,61.7,58.0,5932,6.69,6.76,4.15
0.78,Very Good,E,VS1,60.9,57.0,3420,5.94,5.88,3.59
1.0,Premium,F,SI2,61.6,61.0,4452,6.36,6.33,3.91
0.55,Very Good,F,SI1,59.5,61.0,1410,5.28,5.41,3.18
0.7,Premium,F,SI1,60.4,58.0,2196,5.76,5.82,3.5
0.97,Premium,F,SI2,58.9,58.0,4020,6.51,6.47,3.82
1.09,Ideal,I,VS2,61.8,57.0,5904,6.55,6.59,4.06
0.72,Ideal,F,SI2,61.2,58.0,2300,5.72,5.78,3.52
0.8,Very Good,F,VS1,63.8,55.0,3603,5.84,5.89,3.74
1.64,Premium,J,SI2,63.0,58.0,5624,7.54,7.49,4.74
0.3,Very Good,D,VS2,62.5,57.0,670,4.26,4.28,2.67
0.82,Premium,F,SI2,60.3,57.0,2723,6.07,6.03,3.65
0.54,Very Good,F,SI1,63.0,57.0,1255,5.18,5.23,3.28
1.61,Ideal,G,VS1,61.9,55.0,14341,7.58,7.55,4.68
0.55,Premium,I,VVS1,61.3,59.0,1593,5.27,5.3,3.24
1.83,Very Good,E,SI2,62.8,56.0,13134,7.76,7.82,4.89
0.6,Ideal,F,VVS2,60.8,57.0,2856,5.44,5.49,3.32
1.05,Premium,E,SI2,62.2,59.0,3886,6.51,6.44,4.03
1.28,Very Good,I,SI1,63.6,54.0,5920,6.87,6.9,4.38
0.41,Premium,G,VS1,62.7,57.0,961,4.77,4.74,2.98
0.9,Very Good,F,SI1,63.2,61.0,3881,6.13,6.09,3.86
0.7,Ideal,E,VS2,60.8,56.0,3504,5.74,5.78,3.5
0.42,Premium,I,SI1,61.2,60.0,803,4.82,4.78,2.94
0.33,Very Good,G,VS2,62.6,58.0,579,4.36,4.4,2.74
1.05,Good,E,I1,64.1,58.0,2066,6.46,6.32,4.09
0.35,Premium,H,SI2,61.6,58.0,566,4.54,4.49,2.78
0.9,Very Good,G,SI1,63.8,57.0,3752,6.04,6.13,3.88
0.56,Ideal,F,SI2,61.8,57.0,1103,5.28,5.33,3.28
1.01,Good,D,VS2,61.8,59.0,6912,6.28,6.35,3.9
0.9,Very Good,D,SI1,63.4,53.0,4187,6.1,6.17,3.89
0.35,Premium,G,VVS1,61.8,57.0,1103,4.53,4.5,2.79
0.52,Ideal,D,VS2,62.6,55.0,1822,5.12,5.14,3.21
0.33,Ideal,G,VS2,62.5,57.0,579,4.39,4.41,2.75
1.0,Very Good,E,SI2,60.6,60.0,4576,6.33,6.4,3.86
1.76,Premium,D,SI1,61.0,60.0,12063,7.76,7.68,4.77
0.53,Ideal,F,SI1,62.9,57.0,1363,5.18,5.15,3.25
0.3,Premium,E,SI1,62.4,58.0,675,4.28,4.24,2.66
1.07,Ideal,G,SI2,62.1,55.0,4752,6.54,6.61,4.08
0.5,Very Good,F,VS1,62.6,59.0,1738,5.03,5.06,3.16
0.7,Ideal,H,VVS1,62.0,57.0,2541,5.66,5.7,3.52
0.39,Premium,D,VS2,61.4,60.0,1024,4.72,4.7,2.89
0.51,Good,G,VVS2,63.7,54.0,1800,5.08,5.1,3.24
0.59,Very Good,E,SI2,63.8,57.0,1286,5.31,5.34,3.4
0.59,Ideal,E,SI1,60.7,56.0,1793,5.45,5.49,3.32
1.53,Premium,H,VS2,59.9,60.0,10827,7.5,7.46,4.48
0.9,Ideal,I,VS1,61.6,56.0,3677,6.22,6.16,3.81
0.38,Ideal,D,VS2,61.8,56.0,1013,4.65,4.67,2.88
0.35,Very Good,G,VVS2,62.8,58.0,798,4.44,4.48,2.8
1.57,Very Good,H,SI1,62.4,58.0,12392,7.39,7.49,4.64
0.41,Good,E,VS1,62.8,58.0,827,4.67,4.7,2.94
0.61,Ideal,E,VVS2,61.3,54.0,2823,5.51,5.59,3.4
2.07,Premium,I,SI1,62.9,59.0,16392,8.15,8.09,5.11
0.43,Premium,D,SI1,62.4,60.0,1022,4.82,4.79,3.0
0.9,Ideal,D,SI2,60.8,56.0,4241,6.24,6.26,3.8
0.79,Premium,H,SI1,61.8,59.0,2275,5.97,5.91,3.67
1.02,Good,H,SI1,63.9,55.0,4558,6.4,6.37,4.08
1.01,Fair,D,SI1,66.2,56.0,5122,6.05,6.1,4.02
0.4,Premium,F,VS1,60.4,59.0,1050,4.76,4.75,2.87
0.73,Ideal,I,VVS1,61.8,57.0,3239,5.75,5.77,3.56
0.5,Ideal,F,VVS2,62.2,54.0,2025,5.07,5.12,3.17
0.3,Premium,G,VS2,61.8,60.0,630,4.29,4.25,2.64
0.71,Ideal,G,VVS2,61.5,57.0,3909,5.74,5.78,3.54
0.23,Ideal,H,VS2,62.3,53.0,512,3.96,3.99,2.48
0.32,Ideal,F,VS2,61.3,56.0,828,4.43,4.41,2.71
1.05,Premium,E,SI1,61.2,58.0,5433,6.57,6.53,4.01
0.41,Ideal,F,VS1,62.1,56.0,1076,4.76,4.74,2.95
0.7,Very Good,G,SI1,61.7,56.0,2310,5.66,5.75,3.52
1.02,Premium,D,SI1,62.5,59.0,5998,6.4,6.34,3.98
2.1,Ideal,I,SI1,61.7,55.0,13182,8.21,8.13,5.04
0.33,Ideal,E,VS2,60.3,57.0,928,4.54,4.51,2.73
0.61,Ideal,G,VVS2,60.1,57.0,2816,5.52,5.54,3.32
1.34,Ideal,H,VS2,61.2,56.0,6078,7.09,7.05,4.33
0.38,Very Good,I,VS2,61.7,56.0,680,4.65,4.68,2.88
1.52,Premium,I,I1,61.2,58.0,3541,7.43,7.35,4.52
0.7,Premium,F,SI2,62.6,58.0,2075,5.64,5.6,3.52
1.03,Ideal,D,VS1,61.5,57.0,8742,6.48,6.52,4.0
0.52,Ideal,F,VS1,61.3,56.0,2123,5.19,5.22,3.19
0.51,Ideal,H,VS1,61.6,55.0,1668,5.17,5.19,3.19
0.9,Good,D,SI2,63.6,57.0,3740,6.07,6.03,3.85
0.38,Premium,F,VS1,62.4,59.0,998,4.63,4.57,2.87
1.31,Premium,I,VS2,61.9,59.0,6438,7.02,6.98,4.33
0.38,Premium,I,SI1,60.5,58.0,581,4.67,4.72,2.84
0.55,Ideal,F,VS2,61.1,57.0,1819,5.3,5.27,3.23
0.57,Very Good,D,VS2,61.4,56.0,1998,5.34,5.37,3.29
0.43,Very Good,E,VVS2,59.3,59.0,1291,4.95,4.97,2.94
0.7,Ideal,H,SI2,61.1,57.0,1817,5.73,5.76,3.51
0.31,Good,D,SI1,63.7,54.0,732,4.35,4.31,2.76
1.59,Premium,H,SI1,61.0,58.0,8829,7.58,7.51,4.6
1.73,Ideal,H,SI1,62.7,56.0,11688,7.62,7.67,4.79
1.06,Ideal,G,VS2,61.8,57.0,6128,6.52,6.56,4.04
1.02,Very Good,F,SI2,60.0,60.0,4207,6.53,6.57,3.93
0.78,Premium,F,SI2,62.7,56.0,2444,5.87,5.84,3.67
0.7,Fair,G,VS2,64.9,57.0,2479,5.55,5.54,3.6
1.01,Premium,G,VS2,62.4,58.0,6108,6.41,6.38,3.99
0.7,Fair,G,VVS2,65.3,61.0,2710,5.58,5.48,3.61
0.4,Ideal,H,SI1,61.8,57.0,896,4.75,4.77,2.94
0.4,Ideal,G,VVS2,61.4,53.0,883,4.73,4.81,2.93
1.02,Very Good,D,SI1,60.3,56.0,6863,6.55,6.57,3.96
1.0,Good,E,VVS2,65.3,56.0,7226,6.19,6.24,4.06
0.7,Very Good,G,VS1,60.8,56.0,2512,5.72,5.76,3.49
0.73,Ideal,F,SI2,62.1,56.0,2276,5.77,5.8,3.59
0.39,Very Good,E,VS1,62.5,58.0,914,4.67,4.7,2.93
1.29,Premium,I,SI1,62.2,58.0,6140,7.03,6.96,4.35
0.7,Ideal,E,SI1,60.2,58.0,2617,5.75,5.78,3.47
1.11,Very Good,D,SI2,59.9,57.0,5042,6.72,6.74,4.03
0.32,Premium,J,VS1,61.7,58.0,540,4.4,4.38,2.71
0.3,Ideal,G,VVS1,60.9,56.8,735,4.34,4.38,2.65
1.02,Premium,H,SI2,61.1,61.0,4113,6.51,6.48,3.97
0.39,Ideal,G,VS1,61.3,56.0,752,4.68,4.71,2.88
