departement,hollande,sarkozy,le_pen,melenchon,bayrou,joly,dupont_aignan,poutou,arthaud,cheminade,hollande_2,sarkozy_2,lat,lon
Paris,34.83,32.19,6.2,11.09,9.34,4.18,1.0,0.67,0.27,0.23,55.6,44.4,48.85664187,2.34232981
Seine-et-Marne,27.65,27.27,19.65,11.01,8.55,1.96,2.18,1.02,0.46,0.26,49.25,50.75,48.62746432,2.93395245
Yvelines,27.32,34.24,12.44,9.11,11.24,2.5,1.73,0.8,0.35,0.28,45.7,54.3,48.81528443,1.84141456
Essonne,30.39,25.46,15.2,12.26,9.33,2.35,3.41,0.94,0.41,0.24,53.43,46.57,48.52236344,2.24334662
Hauts-de-Seine,30.16,34.97,8.51,10.35,10.69,2.74,1.34,0.69,0.3,0.26,49.48,50.52,48.84731162,2.24576276
Seine-Saint-Denis,38.68,19.48,13.55,16.99,6.12,2.21,1.31,0.92,0.51,0.24,65.32,34.68,48.9175091,2.47795805
Val-de Marne,32.93,26.57,11.86,14.0,8.86,2.63,1.66,0.84,0.38,0.26,56.48,43.52,48.77739969,2.46879089
Val-de Oise,32.41,26.25,15.6,11.95,8.39,2.05,1.7,0.96,0.44,0.25,53.91,46.09,49.08263395,2.13091526
Ardennes,28.93,24.43,24.5,9.28,7.52,1.22,1.81,1.29,0.77,0.24,51.89,48.11,49.61611387,4.6407029
Aube,22.79,30.33,25.12,7.93,8.37,1.41,2.17,1.01,0.61,0.25,42.63,57.37,48.30451767,4.16127786
Marne,24.05,29.87,22.44,8.52,9.5,1.51,2.03,1.19,0.66,0.24,44.69,55.31,48.94948113,4.23863136
Haute-Marne,23.75,27.99,25.26,8.89,7.97,1.38,2.41,1.33,0.79,0.24,45.57,54.43,48.11051121,5.22535916
Aisne,27.1,24.2,26.33,10.19,6.68,1.16,1.96,1.3,0.84,0.25,52.4,47.6,49.56076629,3.55947511
Oise,24.9,26.59,25.08,10.11,7.61,1.51,1.95,1.22,0.78,0.25,47.34,52.66,49.41006897,2.42474223
Somme,28.37,23.9,23.77,11.0,7.31,1.22,2.02,1.28,0.89,0.22,54.41,45.59,49.95882548,2.27403201
Eure,24.65,27.78,22.75,10.34,8.41,1.66,2.11,1.37,0.65,0.27,47.55,52.45,49.11369489,0.9961688
Seine-Maritime,29.4,25.02,18.9,13.2,7.83,1.63,1.79,1.28,0.71,0.24,54.94,45.06,49.65460474,1.02647714
Cher,26.76,24.96,19.73,13.81,8.84,1.58,2.11,1.22,0.76,0.24,54.04,45.96,47.06589055,2.49111545
Eure-et-Loir,25.71,29.39,20.72,8.96,9.22,1.6,2.24,1.22,0.67,0.26,46.53,53.47,48.38798657,1.36997602
Indre,29.87,24.16,19.55,11.26,8.98,1.45,2.17,1.43,0.86,0.28,55.66,44.34,46.77828209,1.57602715
Indre-et-Loire,28.1,28.24,15.98,10.93,10.27,2.23,2.01,1.28,0.68,0.27,51.23,48.77,47.25848556,0.69106268
Loir-et-Cher,25.01,28.35,20.88,9.85,9.76,1.73,2.14,1.31,0.7,0.26,47.57,52.43,47.61685135,1.42782329
Loiret,25.45,29.31,20.58,9.53,9.31,1.89,2.11,1.01,0.56,0.25,45.97,54.03,47.91188613,2.34389524
Calvados,29.34,27.34,16.22,10.56,10.1,2.13,2.05,1.34,0.66,0.25,53.11,46.89,49.09936816,-0.36316254
Manche,27.04,28.82,16.64,9.85,11.2,1.83,2.27,1.35,0.72,0.29,49.9,50.1,49.07957599,-1.33113698
Orne,24.26,29.64,20.0,8.92,10.55,1.79,2.4,1.45,0.74,0.24,47.11,52.89,48.62296868,0.12801404
Côte-d'Or,27.79,28.57,18.84,9.51,9.37,2.1,1.95,1.06,0.56,0.24,48.45,51.55,47.4256148,4.77152001
Nièvre,32.64,22.51,19.58,11.95,7.46,1.64,1.96,1.28,0.72,0.26,58.81,41.19,47.11578317,3.50420155
Saône-et-Loire,28.69,26.01,20.03,10.64,8.83,1.67,2.03,1.22,0.63,0.25,51.86,48.14,46.64482672,4.54279812
Yonne,24.0,27.62,23.68,10.05,8.47,1.76,2.22,1.27,0.68,0.25,46.88,53.12,47.84046118,3.5631667400000002
Nord,27.97,24.7,21.91,12.62,7.48,1.75,1.54,1.1,0.7,0.23,52.88,47.12,50.44751289,3.21536799
Pas-de-Calais,29.44,21.86,25.53,11.54,6.4,1.21,1.66,1.29,0.85,0.21,56.18,43.82,50.4945668,2.28526186
Meurthe-et-Moselle,27.92,24.21,21.17,12.07,8.69,1.81,1.91,1.28,0.66,0.28,53.06,46.94,48.78844584,6.16218904
