annearn,exper,age,depends,married,tenure,educ,male,white,union,office,vacdays,sicklve,insur,pension,industry,region
15e3,14,36,2,1,15.0,18,1,1,0,1,974.8,421.0,617.81,1367.8,1.0,northeast
6500.0,7,23,0,0,8.0,10,1,1,0,0,0.0,0.0,0.0,0.0,1.0,south
6908.99,22,38,3,1,0.5,6,1,1,0,0,0.0,0.0,0.0,0.0,1.0,south
5512.5,2,18,0,0,0.5,12,1,1,0,0,0.0,0.0,0.0,0.0,1.0,south
7800.0,19,35,0,0,2.0,12,1,0,0,0,0.0,0.0,0.0,0.0,1.0,south
9187.5,24,40,3,1,8.0,13,1,1,0,0,343.3,107.93,473.31,503.96,1.0,northeast
8880.0,42,58,0,1,8.0,12,1,1,1,0,343.3,107.93,473.31,503.96,1.0,northeast
8532.69,21,37,1,1,0.5,13,1,1,0,0,343.3,107.93,473.31,503.96,1.0,north_central
8225.0,22,37,5,0,15.0,10,1,1,1,0,203.4,84.01,261.99,0.0,1.0,northeast
8916.0,40,59,0,1,8.0,6,1,1,1,0,30.93,0.0,465.29,494.64,1.0,south
8064.0,8,24,1,0,0.5,12,1,1,0,0,0.0,0.0,0.0,0.0,1.0,north_central
11232.0,19,39,3,1,2.0,10,1,1,0,0,0.0,0.0,494.75,0.0,1.0,south
16615.4,35,52,2,1,25.0,12,1,1,1,0,1302.86,760.0,1425.51,1190.8,1.0,west
12100.0,30,46,1,1,15.0,10,1,1,1,0,485.11,155.11,1300.4,1286.3,1.0,south
18e3,7,23,1,0,2.0,13,1,1,0,0,485.11,155.11,1300.4,1286.3,1.0,south
12862.5,40,60,0,1,15.0,10,1,1,1,0,485.11,155.11,1300.4,1286.3,1.0,northeast
13739.6,20,39,1,1,2.0,6,1,1,1,0,485.11,155.11,1300.4,1286.3,1.0,south
14726.2,5,21,1,1,2.0,12,1,1,0,0,430.0,231.0,648.0,0.0,1.0,south
12524.4,45,51,0,1,15.0,10,1,1,0,0,149.99,0.0,1153.97,1394.1,1.0,northeast
21168.0,7,23,2,1,8.0,12,1,1,0,0,139.56,0.0,356.26,0.0,1.0,north_central
16717.3,40,58,1,1,2.0,12,1,1,1,0,0.0,0.0,819.9,888.49,1.0,south
21732.5,14,34,0,1,2.0,13,1,1,1,0,0.0,0.0,819.9,888.49,1.0,west
19344.0,37,55,0,1,0.5,12,1,1,1,0,0.0,0.0,819.9,888.49,1.0,south
24200.0,35,51,2,0,0.5,13,1,1,1,0,0.0,0.0,819.9,888.49,1.0,north_central
16524.0,11,27,4,1,0.5,12,1,1,0,0,0.0,0.0,138.75,0.0,1.0,north_central
