wage,abil,educ,exper,region,region18,motheduc,fatheduc,brkhme14,sibs,urban,urban18
12.01923,5.027738,15,9,west,northeast,12,12,0,1,1,1
8.912656,2.03717,13,8,northeast,northeast,12,10,1,4,1,1
15.51433,2.475895,15,11,northeast,northeast,12,16,0,2,1,1
13.33333,3.60924,15,6,northeast,northeast,12,12,0,1,1,1
11.07011,2.636546,13,15,northeast,northeast,12,15,1,2,1,1
17.48252,3.474334,18,8,northeast,northeast,12,12,0,2,1,1
21.09705,-1.764808,13,13,northeast,northeast,13,12,0,5,1,1
11.6671,-0.1335983,12,14,south,northeast,12,12,1,4,0,1
16.96113,2.072431,13,9,northeast,northeast,10,12,1,3,1,1
11.53846,-0.3384597,12,9,northeast,northeast,14,12,0,1,1,1
14.81481,1.38071,12,13,northeast,northeast,9,10,1,2,1,1
20.69917,3.412799,12,14,northeast,northeast,12,16,0,1,0,1
28.68369,4.365496,17,4,west,northeast,17,16,0,1,1,1
12.5,1.090446,13,8,northeast,northeast,16,16,0,3,1,1
35.87115,5.082784,17,7,northeast,northeast,16,18,0,2,1,1
23.40322,2.129054,16,10,northeast,northeast,5,4,0,2,1,1
16.64145,3.469769,16,10,northeast,northeast,10,6,0,1,1,1
16.0451,4.268983,15,9,northeast,northeast,12,9,0,1,1,1
12.01923,2.417693,15,8,northeast,northeast,11,9,0,2,1,1
8.534851,3.125001,20,6,northeast,west,11,8,0,2,1,1
16.15385,4.236644,14,11,northeast,northeast,10,12,0,2,0,1
14.4609,5.316357,15,8,northeast,northeast,16,12,0,2,1,1
19.77612,2.63304,13,13,northeast,northeast,14,15,0,7,1,1
13.99491,3.046665,16,8,northeast,west,13,14,0,3,1,1
17.92453,2.57083,11,12,northeast,northeast,9,12,0,5,1,1
11.05769,1.112235,12,8,northeast,northeast,9,12,0,5,1,1
7.960199,1.088529,11,11,northeast,northeast,12,12,0,3,1,1
12.73585,3.54264,12,10,northeast,northeast,12,12,1,2,1,1
12.23092,-0.0316967,12,13,northeast,northeast,12,14,1,0,1,1
19.74026,1.890898,9,12,northeast,northeast,12,12,0,3,1,1
23.68421,4.802668,16,7,north_central,northeast,16,17,0,2,1,1
17.82178,3.646205,14,8,northeast,northeast,16,18,0,2,1,1
11.34454,3.609689,13,10,northeast,northeast,10,12,0,3,0,1
13.1291,3.786006,15,8,west,west,13,12,0,0,1,1
15.69966,1.759616,11,13,south,northeast,12,12,0,2,1,1
7.591093,2.10501,12,8,northeast,northeast,12,12,0,3,1,1
11.38747,1.548639,14,6,northeast,northeast,12,12,0,2,1,1
14.95163,2.905734,18,3,northeast,northeast,16,17,0,2,1,1
22.43437,2.492563,16,11,northeast,northeast,12,12,0,1,1,1
15.57789,2.936283,14,6,northeast,northeast,12,12,0,1,1,1
24.80916,4.194712,17,8,west,northeast,10,16,0,1,1,1
13.12649,5.898935,17,3,northeast,northeast,20,16,0,1,1,1
13.91304,2.87161,16,5,northeast,northeast,16,17,0,1,1,1
12.0,-0.7882329,12,14,northeast,northeast,12,12,0,2,1,1
60.89457,3.286462,15,12,northeast,northeast,13,20,0,1,1,1
12.8626,3.255798,14,10,west,northeast,16,16,0,1,1,0
10.52632,-1.925979,8,14,northeast,northeast,9,10,1,2,1,1
12.84797,2.321783,15,7,northeast,northeast,12,12,0,2,1,1
16.96676,2.813435,12,12,northeast,northeast,12,16,0,3,1,1
15.02732,4.559115,15,7,northeast,northeast,12,16,0,3,1,1
67.07992,2.757675,15,12,northeast,northeast,12,12,0,2,1,1
8.4134620000000009,0.7897384,15,5,northeast,northeast,12,8,0,2,1,1
4.864636,2.151329,13,10,northeast,northeast,10,14,0,3,0,1
5.764967,0.5502259,12,8,northeast,northeast,10,15,0,3,1,1
4.637437,-0.3780224,10,13,northeast,northeast,9,9,0,7,1,1
18.26923,3.52669,14,7,northeast,northeast,12,12,0,3,0,1
11.48148,2.178751,12,14,northeast,northeast,12,12,0,3,1,0
16.0,4.1021,16,5,south,northeast,12,12,0,3,1,1
11.07438,2.354122,19,7,south,northeast,13,8,1,4,1,1
6.134969,-1.869518,8,15,northeast,northeast,16,8,1,4,1,1
7.698888,-0.7081801,11,9,northeast,northeast,8,12,1,2,1,1
9.163803,2.466771,12,14,northeast,northeast,12,12,0,2,1,1
16.34615,5.17607,14,10,northeast,northeast,12,18,0,3,1,1
10.17699,4.189257,16,6,northeast,northeast,12,8,0,3,1,1
12.32394,1.497999,12,11,northeast,northeast,12,12,0,4,1,1
27.45098,3.038453,15,10,northeast,northeast,12,18,0,0,1,1
14.42308,2.498198,13,12,south,northeast,12,12,1,6,1,1
4.807693,0.5738209,12,13,northeast,northeast,16,13,0,2,1,1
14.95726,2.009659,12,10,south,northeast,12,14,0,1,1,1
17.79514,3.386478,18,5,northeast,northeast,13,13,0,3,1,1
18.69159,0.4010777,12,14,northeast,northeast,12,12,0,5,1,1
14.42308,-1.118699,12,12,northeast,northeast,12,8,0,4,1,1
9.615385,1.047658,11,10,northeast,northeast,11,10,0,3,1,1
9.134615,-0.9839756,11,10,northeast,northeast,12,12,0,2,1,1
8.576923,3.94461,15,10,northeast,northeast,12,18,0,2,0,1
7.804878,-1.039919,12,9,northeast,northeast,12,12,0,2,1,1
21.22642,2.825982,12,13,northeast,northeast,12,10,0,1,1,1
19.71154,5.719028,15,7,northeast,northeast,12,16,0,3,1,1
13.97098,1.355053,15,8,west,northeast,12,8,0,2,1,1
54.60994,1.037915,12,15,northeast,northeast,12,12,0,4,1,1
13.18102,1.243352,15,7,northeast,northeast,12,12,0,4,1,1
8.774495,2.370963,12,8,northeast,northeast,12,12,1,4,1,1
15.86539,1.781278,11,11,northeast,northeast,12,12,0,3,1,1
52.1327,0.5180065,15,12,northeast,northeast,12,13,0,3,1,1
23.09278,2.95704,15,12,northeast,northeast,12,12,0,3,1,1
5.812937,-2.741133,12,15,northeast,northeast,12,13,0,3,0,1
12.5182,3.80187,15,10,northeast,northeast,14,14,0,8,1,1
14.73297,2.316601,14,7,northeast,northeast,14,14,0,8,1,1
5.249344,-2.226822,11,13,northeast,northeast,4,4,0,2,1,1
16.72241,4.517169,12,13,northeast,northeast,11,12,0,3,1,1
12.9056,3.937986,12,10,northeast,northeast,11,12,0,3,1,1
9.202424,-3.78465,7,21,northeast,northeast,12,10,0,9,1,1
15.10791,4.534225,12,12,northeast,northeast,12,12,0,5,1,1
22.33624,3.591137,16,11,south,northeast,16,16,0,6,1,1
13.46154,2.896326,12,12,northeast,northeast,12,12,1,5,0,0
15.30398,-0.0330118,12,13,northeast,northeast,14,11,0,7,0,1
13.61796,2.007605,12,12,northeast,northeast,12,16,0,1,1,1
18.32994,3.928478,19,8,west,north_central,16,20,0,2,1,1
12.31127,5.000688,19,7,northeast,northeast,16,20,0,2,1,1
7.075472,-4.118465,12,14,northeast,northeast,12,12,0,2,1,1
4.573171,-3.489256,12,12,northeast,northeast,12,11,0,2,1,1
13.44086,2.415614,12,9,northeast,northeast,8,8,0,4,1,1
11.08825,-0.2220366,12,11,northeast,northeast,7,12,1,5,1,1
13.54167,1.93424,12,11,northeast,northeast,12,12,0,0,1,1
13.0597,-2.272709,12,9,northeast,northeast,12,9,0,1,1,1
8.653846,4.498102,14,9,northeast,northeast,16,14,0,1,1,1
9.620523,4.142873,15,5,northeast,northeast,14,16,0,1,1,1
7.692307,-3.452876,12,9,northeast,northeast,12,12,1,3,1,1
10.83916,0.3536051,12,8,northeast,northeast,12,12,0,4,1,1
22.72727,1.44702,16,10,northeast,northeast,12,14,0,2,1,1
14.74654,2.829643,15,10,northeast,northeast,15,14,0,2,1,1
17.78846,4.421232,15,8,northeast,northeast,12,18,0,2,1,1
4.977731,2.313246,12,13,northeast,northeast,12,12,0,1,1,1
12.59842,3.349177,13,12,northeast,northeast,12,12,0,3,1,1
13.67521,4.052535,15,11,northeast,northeast,12,12,0,3,1,1
2.625,-2.551893,10,13,north_central,north_central,8,6,1,4,1,1
7.620367,2.637522,12,9,north_central,north_central,12,12,0,1,1,1
15.38461,1.690285,17,10,north_central,north_central,12,12,0,2,1,1
44.3459,3.875353,18,9,south,north_central,16,16,0,2,1,1
14.08451,3.43554,17,8,north_central,north_central,16,16,0,2,1,1
11.05769,1.31293,12,16,north_central,north_central,12,10,0,4,1,1
6.990291,-1.255583,11,12,north_central,north_central,12,10,0,4,1,1
17.12329,1.239603,12,9,west,north_central,12,14,0,2,1,1
15.65295,2.125832,14,10,north_central,north_central,12,18,0,3,1,1
14.56311,2.655087,12,8,north_central,north_central,12,12,0,3,1,1
17.31419,3.74451,12,12,north_central,north_central,16,12,0,3,1,1
8.950086,-0.5281879,12,13,north_central,north_central,12,12,0,3,1,1
24.39818,-1.055467,12,13,north_central,north_central,11,11,0,2,1,1
