age,year,borough
19,2006,Hackney
24,2006,Lewisham
22,2006,Hillingdon
18,2006,Camden
26,2006,Camden
44,2006,Brent
39,2006,Croydon
21,2006,Lambeth
78,2006,Enfield
27,2006,Hackney
54,2006,Newham
31,2006,Brent
26,2006,Kensington & Chelsea
17,2006,Barking & Dagenham
25,2006,Hounslow
70,2006,Hillingdon
18,2006,Camden
36,2006,Newham
42,2006,Lambeth
62,2006,Hounslow
21,2006,Enfield
68,2006,Newham
29,2006,Croydon
22,2006,Hackney
39,2006,Bromley
22,2006,Merton
100,2006,Newham
52,2006,Wandsworth
61,2006,Westminster
67,2006,Bexley
36,2006,Hillingdon
53,2006,Lambeth
20,2006,Merton
30,2006,Greenwich
35,2006,Greenwich
20,2006,Croydon
21,2006,Croydon
44,2006,Waltham Forest
21,2006,Westminster
31,2006,Newham
71,2006,Camden
22,2006,Ealing
23,2006,Hackney
1,2006,Havering
29,2006,Bromley
42,2006,Barking & Dagenham
1,2006,Enfield
40,2006,Southwark
33,2006,Havering
70,2006,Newham
26,2006,Lewisham
38,2006,Barnet
1,2006,Barking & Dagenham
72,2006,Barking & Dagenham
3,2006,Barking & Dagenham
18,2006,Wandsworth
23,2006,Wandsworth
24,2006,Wandsworth
37,2006,Hackney
39,2006,Lambeth
25,2006,Islington
13,2006,Newham
54,2006,Lambeth
51,2006,Kingston
25,2006,Hounslow
24,2006,Havering
31,2006,Lambeth
30,2006,Wandsworth
55,2006,Lambeth
64,2006,Ealing
35,2006,Hillingdon
29,2006,Bromley
28,2006,Lambeth
29,2006,Brent
15,2006,Barnet
23,2006,Ealing
49,2006,Hammersmith & Fulham
39,2006,Croydon
34,2006,Ealing
15,2006,Lambeth
43,2006,Barking & Dagenham
39,2006,Waltham Forest
86,2006,Camden
60,2006,Croydon
49,2006,Camden
51,2006,Islington
3,2006,Haringey
27,2006,Ealing
81,2006,Camden
29,2006,Southwark
16,2006,Bexley
24,2006,Enfield
27,2006,Merton
53,2006,Wandsworth
29,2006,Brent
29,2006,Barnet
54,2006,Croydon
20,2006,Waltham Forest
69,2006,Lewisham
46,2006,Havering
33,2006,Richmond
32,2006,Haringey
24,2006,Harrow
18,2006,Islington
38,2006,Newham
24,2006,Westminster
43,2006,Hackney
22,2006,Newham
25,2006,Southwark
38,2006,Lambeth
36,2006,Hillingdon
34,2006,Westminster
16,2006,Newham
44,2006,Hackney
33,2006,Brent
51,2006,Lambeth
1,2006,Ealing
46,2006,Waltham Forest
43,2006,Newham
30,2006,Camden
52,2006,Greenwich
39,2006,Islington
32,2006,Ealing
25,2006,Harrow
36,2006,Newham
22,2006,Islington
29,2006,Lewisham
20,2006,Islington
22,2006,Camden
24,2006,Hounslow
45,2006,Wandsworth
51,2006,Kensington & Chelsea
40,2006,Hackney
29,2006,Merton
21,2006,Waltham Forest
46,2006,Camden
19,2006,Barking & Dagenham
33,2006,Hounslow
45,2006,Hillingdon
22,2006,Brent
22,2006,Ealing
54,2006,Greenwich
30,2006,Havering
19,2006,Newham
24,2006,Lambeth
19,2006,Haringey
53,2006,Newham
19,2006,Southwark
16,2006,Merton
65,2006,Hillingdon
53,2006,Camden
45,2006,Barking & Dagenham
19,2006,Barnet
22,2006,Hackney
20,2006,Hackney
41,2006,Merton
60,2006,Hillingdon
19,2006,Lewisham
55,2006,Kingston
36,2006,Sutton
44,2006,Lambeth
51,2006,Southwark
44,2006,Merton
46,2006,Haringey
25,2006,Bexley
35,2006,Lambeth
25,2006,Wandsworth
21,2006,Hackney
27,2006,Hammersmith & Fulham
1,2006,Sutton
1,2006,Havering
83,2006,Tower Hamlets
17,2007,Barking & Dagenham
25,2007,Barking & Dagenham
44,2007,Wandsworth
18,2007,Haringey
5,2007,Newham
6,2007,Newham
26,2007,Newham
28,2007,Lambeth
29,2007,Lambeth
50,2007,Hackney
57,2007,Barnet
18,2007,Westminster
34,2007,Ealing
29,2007,Ealing
3,2007,Hackney
10,2007,Hackney
