id,id_out,year,count
fordham,TRO,1871,1
villanova,RC1,1871,2
dartmouth,BR1,1872,1
fordham,TRO,1872,1
villanova,PH1,1872,1
fordham,NY2,1873,1
villanova,PH2,1873,1
yale,ELI,1873,1
villanova,PH2,1874,1
yale,NH1,1875,2
fordham,NY3,1876,1
setonhall,NY3,1876,1
villanova,SL3,1876,1
princeton,SL3,1877,1
washleeva,LS1,1877,1
michigan,ML2,1878,1
pennst,PRO,1878,2
brown,BSN,1879,2
brown,PRO,1879,1
harvard,BSN,1879,2
pennst,PRO,1879,2
brown,WOR,1880,2
nyuroch,BFN,1880,3
pennst,PRO,1880,2
unionny,TRN,1880,2
villanova,BFN,1880,1
brown,WOR,1881,2
nyuroch,DTN,1881,2
pennst,PRO,1881,2
stmarysca,PRO,1881,1
unionny,DTN,1881,2
brown,WOR,1882,2
genevapa,PT1,1882,1
nyuroch,DTN,1882,3
pennst,PRO,1882,2
stmarysca,PRO,1882,1
unionny,PH4,1882,2
unionny,WOR,1882,4
villanova,LS2,1882,1
brown,PRO,1883,2
casewestrn,CL2,1883,2
cornell,NY1,1883,1
nyuroch,DTN,1883,2
pennst,NY1,1883,2
stmarysca,PRO,1883,1
unionny,CL5,1883,2
villanova,PT1,1883,1
yale,BSN,1883,1
yale,CL5,1883,1
yale,DTN,1883,2
yale,PH4,1883,3
bostoncoll,BSN,1884,1
brown,BSU,1884,2
brown,PRO,1884,1
brown,WIL,1884,2
brown,WSU,1884,2
casewestrn,PHI,1884,1
cornell,NY1,1884,1
cornell,TL1,1884,1
cornell,WS7,1884,2
cornell,WSU,1884,1
holycross,PRO,1884,2
manhattan,NY1,1884,1
michigan,CHN,1884,2
michigan,TL1,1884,1
nyuroch,DTN,1884,3
oberlinoh,TL1,1884,1
pennst,NY1,1884,2
rutgers,CL2,1884,2
stmarysca,PHI,1884,2
stmarysca,PRO,1884,1
unionny,CL5,1884,2
unionny,SL4,1884,1
yale,KCU,1884,2
yale,PHI,1884,2
bostoncoll,BSN,1885,1
brown,PRO,1885,1
casewestrn,PHI,1885,1
cornell,DTN,1885,1
nyuroch,DTN,1885,2
pennst,NY1,1885,1
rutgers,BR3,1885,2
stmarysca,PHI,1885,1
stmarysca,PRO,1885,1
unionny,BFN,1885,1
unionny,CHN,1885,1
unionny,PT1,1885,2
yale,PH4,1885,2
yale,PHI,1885,2
akron,LS2,1886,2
bostoncoll,BSN,1886,1
brown,CN2,1886,2
brown,KCN,1886,1
casewestrn,PHI,1886,1
manhattan,NY1,1886,1
nyuroch,KCN,1886,2
pennst,NY1,1886,1
princeton,CN2,1886,2
rutgers,BR3,1886,2
stmarysca,PHI,1886,2
stmarysca,SL5,1886,1
unionny,BR3,1886,1
unionny,PT1,1886,2
akron,LS2,1887,2
bostoncoll,PHI,1887,1
brown,IN3,1887,1
casewestrn,PHI,1887,1
fordham,IN3,1887,2
newyorku,PH4,1887,1
nyuroch,DTN,1887,2
nyuroch,NY1,1887,2
nyuroch,NY4,1887,2
pennst,CHN,1887,2
pennst,NY1,1887,1
rutgers,BR3,1887,2
stmarysca,IN3,1887,1
stmarysca,PHI,1887,2
bostoncoll,PH4,1888,1
brown,IN3,1888,1
casewestrn,PHI,1888,1
dartmouth,CN2,1888,2
harvard,PHI,1888,2
hobartny,CHN,1888,2
newyorku,PH4,1888,1
nyuroch,NY1,1888,2
pennst,CHN,1888,2
pennst,NY1,1888,1
princeton,PHI,1888,1
roanokeva,PHI,1888,2
rutgers,BL2,1888,2
stmarysca,IN3,1888,2
stmarysca,PHI,1888,1
bostoncoll,PH4,1889,1
brown,IN3,1889,1
casewestrn,IN3,1889,1
casewestrn,PHI,1889,1
dartmouth,CN2,1889,2
hobartny,CHN,1889,2
pennst,CL6,1889,2
pennst,NY1,1889,1
roanokeva,PHI,1889,2
stmarysca,IN3,1889,1
stmarysca,PHI,1889,2
yale,CHN,1889,2
akron,SL4,1890,2
brown,NY1,1890,2
bucknell,CIN,1890,2
casewestrn,BRP,1890,1
cornell,LS2,1890,1
dartmouth,CIN,1890,2
dartmouth,CL4,1890,2
hobartny,CHP,1890,2
holycross,SR2,1890,2
newyorku,BL3,1890,1
notredame,CLP,1890,2
pennst,BRP,1890,1
pennst,CHN,1890,2
pennst,CHP,1890,2
pennst,PIT,1890,2
roanokeva,PHP,1890,2
stmarysca,NY1,1890,1
stmarysca,PHP,1890,1
syracuse,BR4,1890,1
upenn,PHI,1890,2
upenn,PIT,1890,2
yale,CHN,1890,2
akron,SL4,1891,2
brown,BS2,1891,1
brown,NY1,1891,2
brown,WS9,1891,1
bucknell,CIN,1891,2
casewestrn,CN3,1891,1
cornell,LS2,1891,1
dartmouth,CL4,1891,2
hobartny,CN3,1891,2
hobartny,ML3,1891,2
holycross,CHN,1891,1
holycross,LS2,1891,1
illinoisst,BS2,1891,2
illinoisst,SL4,1891,2
manhattan,NY1,1891,2
mansfield,LS2,1891,1
michigan,PIT,1891,1
newyorku,BL3,1891,1
notredame,CN3,1891,2
notredame,SL4,1891,2
ohwesleyan,PHI,1891,2
pennst,BRO,1891,1
pennst,PIT,1891,2
roanokeva,PH4,1891,2
