id,name_full,type
akron,University of Akron,college
alabama,University of Alabama,college
albevil,Bevill State Community College,college
alcalho,Calhoun Community College,college
alchatt,Chattahoochee Valley Community College,college
alenter,Enterprise-Ozark Community College,college
alfaulk,Faulkner University,college
alfscco,Faulkner State College,college
algadsd,Gadsden State Community College,college
aljeffd,Jefferson Davis Community College,college
allegheny,Allegheny College,college
almami,Alma College,college
almario,Marion Military Institute,college
alnorth,Northwest-Shoals Community College,college
alsuscc,Southern Union State Community College,college
alverniapa,Alvernia College,college
american,American University,college
amerintl,American International University,college
amherstma,Amherst College,college
andersonsc,Anderson College,college
appalst,Appalachian State University,college
aquinasmi,Aquinas College,college
arftsmi,University of Arkansas-Fort Smith,college
arizona,University of Arizona,college
arizonast,Arizona State University,college
arkansas,University of Arkansas,college
arkansaslr,University of Arkansas at Little Rock,college
arkansasst,Arkansas State University,college
arkmont,University of Arkansas at Monticello,college
arktech,Arkansas Tech University,college
armstratl,Armstrong Atlantic State University,college
arnorth,North Arkansas College,college
ashland,Ashland University,college
auburn,Auburn University,college
auburnmont,Auburn University at Montgomery,college
austincol,Austin College,college
austinpeay,Austin Peay State University,college
azcentr,Central Arizona College,college
azcochi,Cochise Community College,college
azmescc,Mesa Community College,college
azphoen,Phoenix College,college
azpimcc,Pima Community College,college
azscott,Scottsdale Community College,college
azsouth,South Mountain Community College,college
azusapac,Azusa Pacific University,college
azweste,Arizona Western College,college
azyavap,Yavapai College,college
baconeok,Bacone College,college
bakerks,Baker University,college
ballst,Ball State University,college
bartonnc,Barton College,college
baruchcuny,Bernard M Baruch College,college
batesme,Bates College,college
baylor,Baylor University,college
belmont,Belmont University,college
belmontab,Belmont Abbey College,college
beloitwi,Beloit College,college
benedctnks,Benedictine College,college
bethanywv,Bethany College,college
bethcook,Bethune-Cookman College,college
biolaca,Biola University,college
birmsouth,Birmingham-Southern College,college
blackbrnil,Blackburn College,college
bloomsburg,Bloomsburg University of Pennsylvania,college
boisest,Boise State University,college
bostoncoll,Boston College,college
bostonuniv,Boston University,college
bowdoinme,Bowdoin College,college
bowlgreen,Bowling Green State University,college
bradley,Bradley University,college
brandeisma,Brandeis University,college
brdgwatrva,Bridgewater College,college
brewparker,Brewton-Parker College,college
bridgeport,University of Bridgeport,college
bridgwtrst,Bridgewater State College,college
brklyncuny,"Brooklyn College, The City University of New York",college
brown,Brown University,college
bryant,Bryant College,college
bucknell,Bucknell University,college
buenavista,Buena Vista University,college
butler,Butler University,college
byu,Brigham Young University,college
caameri,American River College,college
caantel,Antelope Valley College,college
cabakjc,Bakersfield College,college
cabarst,Barstow Community College,college
cabutte,Butte College,college
cacabri,Cabrillo College,college
cacanad,Canada College,college
cacanyo,College of the Canyons,college
cacerri,Cerritos College,college
cachabo,Chabot College,college
cachaff,Chaffey College,college
cacitru,Citrus College,college
cacompt,Compton Community College,college
cacontr,Contra Costa College,college
cacosum,Cosumnes River College,college
cacsmat,College of San Mateo,college
cacuest,Cuesta College,college
cacypre,Cypress College,college
cadeanz,DeAnza College,college
cadiabl,Diablo Valley College,college
caelajc,East Los Angeles College,college
caelcam,El Camino College,college
cafeath,Feather River College,college
cafooth,Foothill College,college
cafrecc,Fresno City College,college
cafulle,Fullerton College,college
cagavil,Gavilan College,college
caglend,Glendale Community College,college
cagolde,Golden West College,college
caharbo,Los Angeles Harbor College,college
cahartn,Hartnell College,college
calacco,Los Angeles City College,college
calaney,Laney College,college
calasse,Lassen College,college
calavco,Los Angeles Valley College,college
california,"University of California, Berkeley",college
calipa,California University of Pennsylvania,college
calobcc,Long Beach City College,college
calpoly,"California Polytechnic State University, San Luis Obispo",college
calpolypom,"California Polytechnic State University, Pomona",college
calstfull,California State University Fullerton,college
calstla,California State University Los Angeles,college
calstnorth,California State University Northridge,college
calutheran,California Lutheran University,college
camarin,College of Marin,college
camendo,Mendocino College,college
camenlo,Menlo College,college
camerce,Merced College,college
cameronok,Cameron University,college
camerri,Merritt College,college
camirac,MiraCosta College,college
camissi,Mission College,college
camodes,Modesto Junior College,college
camoorp,Moorpark College,college
campbell,Campbell University,college
campjco,Monterey Peninsula College,college
camsajc,Mount San Antonio College,college
camsjjc,Mount San Jacinto College,college
caorang,Orange Coast College,college
capalom,Palomar College,college
capasad,Pasadena City College,college
capierc,Los Angeles Pierce College,college
caredwo,College of the Redwoods,college
careedl,Reedley College,college
carioho,Rio Hondo College,college
carivcc,Riverside Community College,college
carkansas,University of Central Arkansas,college
carsnewm,Carson-Newman College,college
carthagewi,Carthage College,college
casacra,Sacramento City College,college
casaddl,Saddleback College,college
casajco,Santa Ana College,college
casbcco,Santa Barbara City College,college
casbvjc,San Bernardino Valley College,college
casdmjc,San Diego Mesa College,college
casequo,College of the Sequoias,college
casewestrn,Case Western Reserve University,college
casfcco,City College of San Francisco,college
cashast,Shasta College,college
casierr,Sierra College,college
casiski,College of the Siskiyous,college
casjcco,San Jose City College,college
casjdjc,San Joaquin Delta College,college
casmjco,Santa Monica College,college
casrjco,Santa Rosa Junior College,college
catafjc,Taft College,college
catawba,Catawba College,college
catholic,Catholic University of America,college
caventu,Ventura College,college
cawhjco,West Hills College,college
cawlajc,West Los Angeles College,college
cawvjco,West Valley College,college
cconnst,Central Connecticut State University,college
ccri,Community College of Rhode Island,college
centenary,Centenary College of Louisiana,college
centok,University of Central Oklahoma,college
centralst,Central State University,college
centreky,Centre College,college
cflorida,University of Central Florida,college
chapmanca,Chapman University,college
charleston,College of Charleston,college
charleswv,University of Charleston,college
charlotte,University of North Carolina at Charlotte,college
charlsouth,Charleston Southern University,college
chicago,University of Chicago,college
chicost,California State University Chico,college
cincy,University of Cincinnati,college
citadel,The Citadel,college
clarion,Clarion University of Pennsylvania,college
clarksonny,Clarkson University,college
clemson,Clemson University,college
clevst,Cleveland State University,college
cmichigan,Central Michigan University,college
cmissouri,University of Central Missouri,college
cncrdiacol,Concordia College-Moorhead,college
coastcar,Coastal Carolina University,college
colamar,Lamar Community College,college
colbyme,Colby College,college
