teamID,teamID_out,yearID,n
MID,BR2,1872,1
MID,WS3,1872,8
BR1,BR2,1872,1
BR1,CH1,1872,5
BR1,CL1,1872,1
BR1,FW1,1872,2
BR1,NY2,1872,3
BR1,TRO,1872,12
BR1,WS3,1872,1
CL1,BL1,1872,1
CL1,BR1,1872,1
CL1,CH1,1872,1
CL1,NY2,1872,4
CL1,RC1,1872,1
CL1,WS3,1872,1
TRO,BL1,1872,1
TRO,BR1,1872,12
TRO,CH1,1872,8
TRO,WS3,1872,2
PH1,CH1,1872,1
PH1,RC1,1872,3
PH1,TRO,1872,3
BR2,BR1,1872,1
BR2,BS1,1872,1
BR2,CL1,1872,1
BR2,MID,1872,1
BR2,NY2,1872,2
BR2,TRO,1872,1
BS1,WS3,1872,1
WS3,FW1,1872,3
WS3,MID,1872,4
WS3,PH1,1872,1
WS3,TRO,1872,1
WS3,WS4,1872,1
NY2,PH1,1872,2
NY2,RC1,1872,1
NY2,TRO,1872,4
WS4,FW1,1872,2
WS4,WS3,1872,7
BL1,CL1,1872,1
BL1,FW1,1872,5
BL1,NY2,1872,1
BL1,PH1,1872,1
BL1,RC1,1872,5
BL1,TRO,1872,4
BL1,WS3,1872,3
PH2,BR1,1873,5
PH2,BS1,1873,1
PH2,CH1,1873,6
PH2,NY2,1873,4
PH2,PH1,1873,13
PH2,RC1,1873,5
PH2,TRO,1873,5
BS1,CL1,1873,3
BS1,MID,1873,1
BS1,PH2,1873,1
BS1,RC1,1873,1
BS1,WS3,1873,2
ELI,BR1,1873,5
ELI,BR2,1873,2
ELI,CL1,1873,6
ELI,MID,1873,1
ELI,NY2,1873,9
ELI,TRO,1873,1
ELI,WS3,1873,1
NY2,BL1,1873,5
NY2,BR1,1873,8
NY2,CL1,1873,1
NY2,ELI,1873,1
NY2,FW1,1873,5
NY2,TRO,1873,9
NY2,WS3,1873,1
PH1,BL1,1873,4
PH1,CL1,1873,3
PH1,MID,1873,2
PH1,NY2,1873,4
PH1,RC1,1873,5
PH1,TRO,1873,5
WS5,WS3,1873,12
WS5,WS4,1873,9
BR2,CL1,1873,4
BR2,ELI,1873,1
BR2,MID,1873,1
BR2,NY2,1873,7
BL1,BS1,1873,2
BL1,CL1,1873,1
BL1,FW1,1873,2
BL1,MID,1873,4
BL1,NY2,1873,4
BL1,PH1,1873,1
BL1,RC1,1873,1
BL1,TRO,1873,5
BL1,WS3,1873,13
BL4,FW1,1873,5
BL4,WS3,1873,3
BL4,WS4,1873,1
HR1,BL1,1874,12
HR1,BR2,1874,3
HR1,BS1,1874,2
HR1,CL1,1874,1
HR1,MID,1874,1
HR1,NY2,1874,2
HR1,PH1,1874,4
HR1,PH2,1874,1
HR1,RC1,1874,6
HR1,TRO,1874,1
