id,id_out,year,count
BLC,KEK,1872,2
BLC,NNA,1872,1
BLC,OLY,1872,3
BLC,PNA,1872,1
BLC,ROK,1872,2
BLC,TRO,1872,3
BNA,OLY,1872,1
BRA,BNA,1872,1
BRA,CFC,1872,1
BRA,NNA,1872,1
BRA,TRO,1872,1
CFC,CNA,1872,1
CFC,NNA,1872,1
CFC,OLY,1872,1
CFC,ROK,1872,1
ECK,CNA,1872,2
ECK,KEK,1872,1
ECK,NNA,1872,2
ECK,OLY,1872,1
MAN,OLY,1872,1
NAT,KEK,1872,2
NAT,OLY,1872,3
NNA,PNA,1872,1
NNA,ROK,1872,1
NNA,TRO,1872,1
OLY,KEK,1872,3
OLY,PNA,1872,1
OLY,TRO,1872,1
PNA,CNA,1872,1
PNA,ROK,1872,2
PNA,TRO,1872,2
TRO,CNA,1872,5
TRO,OLY,1872,2
BLC,BNA,1873,1
BLC,CFC,1873,1
BLC,KEK,1873,2
BLC,MAN,1873,1
BLC,NNA,1873,1
BLC,OLY,1873,5
BLC,PNA,1873,1
BLC,ROK,1873,1
BLC,TRO,1873,4
BNA,CFC,1873,2
BNA,MAN,1873,1
BNA,OLY,1873,2
BNA,ROK,1873,1
BRA,CFC,1873,1
BRA,MAN,1873,1
BRA,NNA,1873,3
MAR,KEK,1873,4
MAR,NAT,1873,1
MAR,OLY,1873,2
NNA,BLC,1873,2
NNA,CFC,1873,1
NNA,ECK,1873,5
NNA,KEK,1873,2
NNA,OLY,1873,1
NNA,TRO,1873,5
PNA,BLC,1873,1
PNA,CFC,1873,2
PNA,MAN,1873,2
PNA,NNA,1873,1
PNA,ROK,1873,2
PNA,TRO,1873,2
PWS,CNA,1873,3
PWS,ECK,1873,2
PWS,NNA,1873,2
PWS,PNA,1873,6
PWS,ROK,1873,3
PWS,TRO,1873,2
RES,BRA,1873,1
RES,CFC,1873,2
RES,ECK,1873,4
RES,MAN,1873,1
RES,NNA,1873,2
RES,OLY,1873,1
RES,TRO,1873,1
WBL,NAT,1873,6
WBL,OLY,1873,6
BLC,BNA,1874,3
BLC,CFC,1874,1
BLC,KEK,1874,3
BLC,MAN,1874,1
BLC,MAR,1874,5
BLC,NAT,1874,2
BLC,OLY,1874,4
BLC,PWS,1874,1
BLC,WBL,1874,4
BNA,BLC,1874,2
BNA,CFC,1874,1
BNA,MAN,1874,1
BNA,OLY,1874,3
BNA,WBL,1874,1
BRA,BNA,1874,1
BRA,CFC,1874,1
BRA,CNA,1874,1
BRA,ECK,1874,3
BRA,MAN,1874,1
