id,name_full
BS1,Boston Red Stockings
CH1,Chicago White Stockings
CL1,Cleveland Forest Citys
FW1,Fort Wayne Kekiongas
NY2,New York Mutuals
PH1,Philadelphia Athletics
RC1,Rockford Forest Citys
TRO,Troy Haymakers
WS3,Washington Olympics
BL1,Baltimore Canaries
BR1,Brooklyn Eckfords
BR2,Brooklyn Atlantics
BS1,Boston Red Stockings
CL1,Cleveland Forest Citys
MID,Middletown Mansfields
NY2,New York Mutuals
PH1,Philadelphia Athletics
TRO,Troy Haymakers
WS3,Washington Olympics
WS4,Washington Nationals
BL1,Baltimore Canaries
BL4,Baltimore Marylands
BR2,Brooklyn Atlantics
BS1,Boston Red Stockings
ELI,Elizabeth Resolutes
NY2,New York Mutuals
PH1,Philadelphia Athletics
PH2,Philadelphia Whites
WS5,Washington Blue Legs
BL1,Baltimore Canaries
BR2,Brooklyn Atlantics
BS1,Boston Red Stockings
CH2,Chicago White Stockings
HR1,Hartford Dark Blues
NY2,New York Mutuals
PH1,Philadelphia Athletics
PH2,Philadelphia Whites
BR2,Brooklyn Atlantics
BS1,Boston Red Stockings
CH2,Chicago White Stockings
HR1,Hartford Dark Blues
KEO,Keokuk Westerns
NH1,New Haven Elm Citys
NY2,New York Mutuals
PH1,Philadelphia Athletics
PH2,Philadelphia Whites
PH3,Philadelphia Centennials
SL1,St. Louis Red Stockings
SL2,St. Louis Brown Stockings
WS6,Washington Nationals
BSN,Boston Red Caps
CHN,Chicago White Stockings
CN1,Cincinnati Reds
HAR,Hartford Dark Blues
LS1,Louisville Grays
NY3,New York Mutuals
PHN,Philadelphia Athletics
SL3,St. Louis Brown Stockings
BSN,Boston Red Caps
CHN,Chicago White Stockings
CN1,Cincinnati Reds
HAR,Hartford Dark Blues
LS1,Louisville Grays
SL3,St. Louis Brown Stockings
BSN,Boston Red Caps
CHN,Chicago White Stockings
CN1,Cincinnati Reds
IN1,Indianapolis Blues
ML2,Milwaukee Grays
PRO,Providence Grays
BFN,Buffalo Bisons
BSN,Boston Red Caps
CHN,Chicago White Stockings
CL2,Cleveland Blues
CN1,Cincinnati Reds
PRO,Providence Grays
SR1,Syracuse Stars
TRN,Troy Trojans
BFN,Buffalo Bisons
BSN,Boston Red Caps
CHN,Chicago White Stockings
CL2,Cleveland Blues
CN1,Cincinnati Reds
PRO,Providence Grays
TRN,Troy Trojans
WOR,Worcester Ruby Legs
BFN,Buffalo Bisons
BSN,Boston Red Caps
CHN,Chicago White Stockings
CL2,Cleveland Blues
DTN,Detroit Wolverines
PRO,Providence Grays
TRN,Troy Trojans
WOR,Worcester Ruby Legs
BFN,Buffalo Bisons
BL2,Baltimore Orioles
BSN,Boston Red Caps
CHN,Chicago White Stockings
CL2,Cleveland Blues
CN2,Cincinnati Red Stockings
DTN,Detroit Wolverines
LS2,Louisville Eclipse
PH4,Philadelphia Athletics
PRO,Providence Grays
PT1,Pittsburg Alleghenys
SL4,St. Louis Brown Stockings
TRN,Troy Trojans
WOR,Worcester Ruby Legs
BFN,Buffalo Bisons
BL2,Baltimore Orioles
BSN,Boston Beaneaters
CHN,Chicago White Stockings
CL2,Cleveland Blues
CL5,Columbus Buckeyes
CN2,Cincinnati Red Stockings
DTN,Detroit Wolverines
LS2,Louisville Eclipse
NY1,New York Gothams
NY4,New York Metropolitans
PH4,Philadelphia Athletics
PHI,Philadelphia Quakers
PRO,Providence Grays
PT1,Pittsburg Alleghenys
SL4,St. Louis Browns
ALT,Altoona Mountain City
BFN,Buffalo Bisons
BL2,Baltimore Orioles
BLU,Baltimore Monumentals
BR3,Brooklyn Atlantics
BSN,Boston Beaneaters
BSU,Boston Reds
CHN,Chicago White Stockings
CHU,Chicago/Pittsburgh (Union League)
CL2,Cleveland Blues
CL5,Columbus Buckeyes
CN2,Cincinnati Red Stockings
CNU,Cincinnati Outlaw Reds
DTN,Detroit Wolverines
IN2,Indianapolis Hoosiers
KCU,Kansas City Cowboys
LS2,Louisville Eclipse
MLU,Milwaukee Brewers
NY1,New York Gothams
NY4,New York Metropolitans
PH4,Philadelphia Athletics
PHI,Philadelphia Quakers
PHU,Philadelphia Keystones
PRO,Providence Grays
PT1,Pittsburg Alleghenys
RIC,Richmond Virginians
SL4,St. Louis Browns
SLU,St. Louis Maroons
SPU,St. Paul White Caps
TL1,Toledo Blue Stockings
WIL,Wilmington Quicksteps
WS7,Washington Nationals
WSU,Washington Nationals
BFN,Buffalo Bisons
BL2,Baltimore Orioles
BR3,Brooklyn Grays
BSN,Boston Beaneaters
CHN,Chicago White Stockings
CN2,Cincinnati Red Stockings
DTN,Detroit Wolverines
LS2,Louisville Colonels
NY1,New York Giants
NY4,New York Metropolitans
PH4,Philadelphia Athletics
PHI,Philadelphia Quakers
PRO,Providence Grays
PT1,Pittsburg Alleghenys
SL4,St. Louis Browns
SL5,St. Louis Maroons
BL2,Baltimore Orioles
BR3,Brooklyn Grays
BSN,Boston Beaneaters
CHN,Chicago White Stockings
CN2,Cincinnati Red Stockings
DTN,Detroit Wolverines
KCN,Kansas City Cowboys
LS2,Louisville Colonels
NY1,New York Giants
NY4,New York Metropolitans
PH4,Philadelphia Athletics
PHI,Philadelphia Quakers
PT1,Pittsburg Alleghenys
SL4,St. Louis Browns
SL5,St. Louis Maroons
WS8,Washington Nationals
BL2,Baltimore Orioles
BR3,Brooklyn Grays
BSN,Boston Beaneaters
CHN,Chicago White Stockings
CL3,Cleveland Blues
CN2,Cincinnati Red Stockings
DTN,Detroit Wolverines
IN3,Indianapolis Hoosiers
LS2,Louisville Colonels
NY1,New York Giants
NY4,New York Metropolitans
PH4,Philadelphia Athletics
PHI,Philadelphia Quakers
PIT,Pittsburg Alleghenys
SL4,St. Louis Browns
WS8,Washington Nationals
BL2,Baltimore Orioles
BR3,Brooklyn Bridegrooms
BSN,Boston Beaneaters
CHN,Chicago White Stockings
CL3,Cleveland Blues
CN2,Cincinnati Red Stockings
DTN,Detroit Wolverines
IN3,Indianapolis Hoosiers
KC2,Kansas City Cowboys
LS2,Louisville Colonels
NY1,New York Giants
PH4,Philadelphia Athletics
PHI,Philadelphia Quakers
PIT,Pittsburg Alleghenys
SL4,St. Louis Browns
WS8,Washington Nationals
BL2,Baltimore Orioles
BR3,Brooklyn Bridegrooms
BSN,Boston Beaneaters
CHN,Chicago White Stockings
CL4,Cleveland Spiders
CL6,Columbus Solons
CN2,Cincinnati Red Stockings
IN3,Indianapolis Hoosiers
KC2,Kansas City Cowboys
LS2,Louisville Colonels
NY1,New York Giants
PH4,Philadelphia Athletics
PHI,Philadelphia Quakers
PIT,Pittsburg Alleghenys
SL4,St. Louis Browns
WS8,Washington Nationals
BFP,Buffalo Bisons
BL3,Baltimore Orioles
BR4,Brooklyn Gladiators
BRO,Brooklyn Bridegrooms
BRP,Brooklyn Ward's Wonders
BSN,Boston Beaneaters
BSP,Boston Reds
CHN,Chicago Colts
CHP,Chicago Pirates
CIN,Cincinnati Reds
CL4,Cleveland Spiders
CL6,Columbus Solons
CLP,Cleveland Infants
LS2,Louisville Colonels
NY1,New York Giants
NYP,New York Giants
PH4,Philadelphia Athletics
PHI,Philadelphia Phillies
PHP,Philadelphia Athletics
PIT,Pittsburg Alleghenys
PTP,Pittsburgh Burghers
RC2,Rochester Broncos
SL4,St. Louis Browns
SR2,Syracuse Stars
TL2,Toledo Maumees
BL3,Baltimore Orioles
BRO,Brooklyn Grooms
BS2,Boston Reds
BSN,Boston Beaneaters
CHN,Chicago Colts
CIN,Cincinnati Reds
CL4,Cleveland Spiders
CL6,Columbus Solons
CN3,Cincinnati Kelly's Killers
LS2,Louisville Colonels
ML3,Milwaukee Brewers
NY1,New York Giants
PH4,Philadelphia Athletics
PHI,Philadelphia Phillies
PIT,Pittsburgh Pirates
SL4,St. Louis Browns
WS9,Washington Statesmen
BLN,Baltimore Orioles
BRO,Brooklyn Grooms
BSN,Boston Beaneaters
CHN,Chicago Colts
CIN,Cincinnati Reds
CL4,Cleveland Spiders
LS3,Louisville Colonels
NY1,New York Giants
PHI,Philadelphia Phillies
PIT,Pittsburgh Pirates
SLN,St. Louis Browns
WAS,Washington Senators
BLN,Baltimore Orioles
BRO,Brooklyn Grooms
BSN,Boston Beaneaters
CHN,Chicago Colts
CIN,Cincinnati Reds
CL4,Cleveland Spiders
LS3,Louisville Colonels
NY1,New York Giants
PHI,Philadelphia Phillies
PIT,Pittsburgh Pirates
SLN,St. Louis Browns
WAS,Washington Senators
BLN,Baltimore Orioles
BRO,Brooklyn Grooms
BSN,Boston Beaneaters
CHN,Chicago Colts
CIN,Cincinnati Reds
CL4,Cleveland Spiders
LS3,Louisville Colonels
NY1,New York Giants
PHI,Philadelphia Phillies
PIT,Pittsburgh Pirates
SLN,St. Louis Browns
WAS,Washington Senators
BLN,Baltimore Orioles
BRO,Brooklyn Grooms
BSN,Boston Beaneaters
CHN,Chicago Colts
CIN,Cincinnati Reds
CL4,Cleveland Spiders
LS3,Louisville Colonels
NY1,New York Giants
PHI,Philadelphia Phillies
PIT,Pittsburgh Pirates
SLN,St. Louis Browns
WAS,Washington Senators
BLN,Baltimore Orioles
BRO,Brooklyn Bridegrooms
BSN,Boston Beaneaters
CHN,Chicago Colts
CIN,Cincinnati Reds
CL4,Cleveland Spiders
LS3,Louisville Colonels
NY1,New York Giants
PHI,Philadelphia Phillies
PIT,Pittsburgh Pirates
SLN,St. Louis Browns
WAS,Washington Senators
BLN,Baltimore Orioles
BRO,Brooklyn Bridegrooms
BSN,Boston Beaneaters
CHN,Chicago Colts
CIN,Cincinnati Reds
CL4,Cleveland Spiders
LS3,Louisville Colonels
NY1,New York Giants
PHI,Philadelphia Phillies
PIT,Pittsburgh Pirates
SLN,St. Louis Browns
WAS,Washington Senators
BLN,Baltimore Orioles
BRO,Brooklyn Bridegrooms
BSN,Boston Beaneaters
CHN,Chicago Orphans
CIN,Cincinnati Reds
CL4,Cleveland Spiders
LS3,Louisville Colonels
NY1,New York Giants
PHI,Philadelphia Phillies
PIT,Pittsburgh Pirates
SLN,St. Louis Browns
WAS,Washington Senators
BLN,Baltimore Orioles
BRO,Brooklyn Superbas
BSN,Boston Beaneaters
CHN,Chicago Orphans
CIN,Cincinnati Reds
CL4,Cleveland Spiders
LS3,Louisville Colonels
NY1,New York Giants
PHI,Philadelphia Phillies
PIT,Pittsburgh Pirates
SLN,St. Louis Perfectos
WAS,Washington Senators
BRO,Brooklyn Superbas
BSN,Boston Beaneaters
CHN,Chicago Orphans
CIN,Cincinnati Reds
NY1,New York Giants
PHI,Philadelphia Phillies
PIT,Pittsburgh Pirates
SLN,St. Louis Cardinals
BLA,Baltimore Orioles
BOS,Boston Americans
BRO,Brooklyn Superbas
