id,franchID,franchName,wins,losses,R,AB,salary_mean,salary_sum
1872,BLC,Baltimore Canaries,35,19,617,2576,NA,NA
1872,BNA,Boston Red Stockings,39,8,521,2137,NA,NA
1872,BRA,Brooklyn Atlantics,9,28,237,1466,NA,NA
1872,CFC,Cleveland Forest Citys,6,16,174,935,NA,NA
1872,ECK,Brooklyn Eckfords,3,26,152,1075,NA,NA
1872,MAN,Middletown Mansfields,5,19,220,1014,NA,NA
1872,NAT,Washington Nationals,0,11,80,460,NA,NA
1872,NNA,New York Mutuals,34,20,523,2423,NA,NA
1872,OLY,Washington Olympics,2,7,54,363,NA,NA
1872,PNA,Philadelphia Athletics,30,14,539,2140,NA,NA
1872,TRO,Troy Haymakers,15,10,273,1124,NA,NA
1873,BLC,Baltimore Canaries,34,22,644,2563,NA,NA
1873,BNA,Boston Red Stockings,43,16,739,2755,NA,NA
1873,BRA,Brooklyn Atlantics,17,37,366,2210,NA,NA
1873,MAR,Baltimore Marylands,0,6,26,211,NA,NA
1873,NNA,New York Mutuals,29,24,424,2214,NA,NA
1873,PNA,Philadelphia Athletics,28,23,474,2266,NA,NA
1873,PWS,Philadelphia White Stockings,36,17,526,2325,NA,NA
1873,RES,Elizabeth Resolutes,2,21,98,868,NA,NA
1873,WBL,Washington Blue Legs,8,31,283,1563,NA,NA
1874,BLC,Baltimore Canaries,9,38,227,1781,NA,NA
1874,BNA,Boston Red Stockings,52,18,735,3122,NA,NA
1874,BRA,Brooklyn Atlantics,22,33,301,2165,NA,NA
1874,CNA,Chicago White Stockings,28,31,418,2457,NA,NA
1874,HNA,Hartford Dark Blues,16,37,371,2140,NA,NA
1874,NNA,New York Mutuals,42,23,500,2719,NA,NA
1874,PNA,Philadelphia Athletics,33,22,441,2260,NA,NA
1874,PWS,Philadelphia White Stockings,29,29,476,2432,NA,NA
1875,BNA,Boston Red Stockings,71,8,831,3516,NA,NA
1875,BRA,Brooklyn Atlantics,2,42,132,1547,NA,NA
1875,CEN,Philadelphia Centennials,2,12,70,529,NA,NA
1875,CNA,Chicago White Stockings,30,37,379,2658,NA,NA
1875,HNA,Hartford Dark Blues,54,28,557,3342,NA,NA
1875,NHV,New Haven Elm Citys,7,40,170,1708,NA,NA
1875,NNA,New York Mutuals,30,38,328,2683,NA,NA
1875,PNA,Philadelphia Athletics,53,20,699,3245,NA,NA
1875,PWS,Philadelphia White Stockings,37,31,470,2717,NA,NA
1875,SLR,St. Louis Red Stockings,4,15,60,688,NA,NA
1875,SNA,St. Louis Brown Stockings,39,29,386,2679,NA,NA
1875,WES,Keokuk Westerns,1,12,45,449,NA,NA
1875,WNT,Washington Nationals,5,23,107,997,NA,NA
1876,ATH,Philadelphia Athletics,14,45,378,2387,NA,NA
1876,ATL,Atlanta Braves,39,31,471,2722,NA,NA
1876,CHC,Chicago Cubs,52,14,624,2748,NA,NA
1876,CNR,Cincinnati Reds,9,56,238,2372,NA,NA
1876,HAR,Hartford Dark Blues,47,21,429,2664,NA,NA
1876,LGR,Louisville Grays,30,36,280,2570,NA,NA
1876,NYU,New York Mutuals,21,35,260,2180,NA,NA
1876,SBS,St. Louis Brown Stockings,45,19,386,2478,NA,NA
1877,ATL,Atlanta Braves,42,18,419,2368,NA,NA
1877,CHC,Chicago Cubs,26,33,366,2273,NA,NA
1877,CNR,Cincinnati Reds,15,42,291,2135,NA,NA
1877,HAR,Hartford Dark Blues,31,27,341,2358,NA,NA
1877,LGR,Louisville Grays,35,25,339,2355,NA,NA
1877,SBS,St. Louis Brown Stockings,28,32,284,2178,NA,NA
1878,ATL,Atlanta Braves,41,19,298,2220,NA,NA
1878,CHC,Chicago Cubs,30,30,371,2333,NA,NA
1878,CNR,Cincinnati Reds,37,23,333,2281,NA,NA
1878,IBL,Indianapolis Blues,24,36,293,2300,NA,NA
1878,MLG,Milwaukee Grays,15,45,256,2212,NA,NA
1878,PRO,Providence Grays,33,27,353,2298,NA,NA
1879,ATL,Atlanta Braves,54,30,562,3217,NA,NA
1879,BUF,Buffalo Bisons,46,32,394,2906,NA,NA
1879,CBL,Cleveland Blues,27,55,322,2987,NA,NA
1879,CHC,Chicago Cubs,46,33,437,3116,NA,NA
1879,CNR,Cincinnati Reds,43,37,485,3085,NA,NA
1879,PRO,Providence Grays,59,25,612,3392,NA,NA
1879,SYR,Syracuse Stars,22,48,276,2611,NA,NA
1879,TRT,Troy Trojans,19,56,321,2841,NA,NA
1880,ATL,Atlanta Braves,40,44,416,3080,NA,NA
1880,BUF,Buffalo Bisons,24,58,331,2962,NA,NA
1880,CBL,Cleveland Blues,47,37,387,3002,NA,NA
1880,CHC,Chicago Cubs,67,17,538,3135,NA,NA
1880,CNR,Cincinnati Reds,21,59,296,2895,NA,NA
1880,PRO,Providence Grays,52,32,419,3196,NA,NA
1880,TRT,Troy Trojans,41,42,392,3007,NA,NA
1880,WOR,Worcester Ruby Legs,40,43,412,3024,NA,NA
1881,ATL,Atlanta Braves,38,45,349,2916,NA,NA
1881,BUF,Buffalo Bisons,45,38,440,3019,NA,NA
1881,CBL,Cleveland Blues,36,48,392,3117,NA,NA
1881,CHC,Chicago Cubs,56,28,550,3114,NA,NA
1881,DTN,Detroit Wolverines,41,43,439,2995,NA,NA
1881,PRO,Providence Grays,47,37,447,3077,NA,NA
1881,TRT,Troy Trojans,39,45,399,3046,NA,NA
1881,WOR,Worcester Ruby Legs,32,50,410,3093,NA,NA
1882,ATL,Atlanta Braves,45,39,472,3118,NA,NA
1882,BLO,Baltimore Orioles,19,54,273,2583,NA,NA
1882,BUF,Buffalo Bisons,45,39,500,3128,NA,NA
1882,CBL,Cleveland Blues,42,40,402,3009,NA,NA
1882,CHC,Chicago Cubs,55,29,604,3225,NA,NA
1882,CIN,Cincinnati Reds,55,25,489,3007,NA,NA
1882,DTN,Detroit Wolverines,42,41,407,3144,NA,NA
1882,LOU,Louisville Colonels,42,38,443,2806,NA,NA
1882,PHA,Philadelphia Athletics,41,34,406,2707,NA,NA
1882,PIT,Pittsburgh Pirates,39,39,428,2904,NA,NA
1882,PRO,Providence Grays,52,32,463,3104,NA,NA
1882,STL,St. Louis Cardinals,37,43,399,2865,NA,NA
1882,TRT,Troy Trojans,35,48,430,3057,NA,NA
1882,WOR,Worcester Ruby Legs,18,66,379,2984,NA,NA
1883,ATL,Atlanta Braves,63,35,669,3657,NA,NA
1883,BLO,Baltimore Orioles,28,68,471,3534,NA,NA
1883,BUF,Buffalo Bisons,52,45,614,3729,NA,NA
1883,CBK,Columbus Buckeyes,32,65,476,3553,NA,NA
1883,CBL,Cleveland Blues,55,42,476,3457,NA,NA
1883,CHC,Chicago Cubs,59,39,679,3658,NA,NA
1883,CIN,Cincinnati Reds,61,37,662,3669,NA,NA
1883,DTN,Detroit Wolverines,40,58,524,3726,NA,NA
1883,LOU,Louisville Colonels,52,45,564,3553,NA,NA
1883,NYP,New York Metropolitans,54,42,498,3534,NA,NA
1883,PHA,Philadelphia Athletics,66,32,720,3714,NA,NA
1883,PHI,Philadelphia Phillies,17,81,437,3576,NA,NA
1883,PIT,Pittsburgh Pirates,31,67,525,3609,NA,NA
1883,PRO,Providence Grays,58,40,636,3685,NA,NA
1883,SFG,San Francisco Giants,46,50,530,3524,NA,NA
1883,STL,St. Louis Cardinals,65,33,549,3495,NA,NA
1884,ALT,Altoona Mountain City,6,19,90,899,NA,NA
1884,ATL,Atlanta Braves,73,38,684,4189,NA,NA
1884,BLO,Baltimore Orioles,63,43,636,3845,NA,NA
1884,BLU,Baltimore Monumentals,58,47,662,3883,NA,NA
1884,BRD,Boston Reds,58,51,636,3940,NA,NA
1884,BUF,Buffalo Bisons,64,47,700,4197,NA,NA
1884,CBK,Columbus Buckeyes,69,39,585,3759,NA,NA
1884,CBL,Cleveland Blues,35,77,458,3934,NA,NA
1884,CHC,Chicago Cubs,62,50,834,4182,NA,NA
1884,CIN,Cincinnati Reds,68,41,754,4090,NA,NA
1884,COR,Cincinnati Outlaw Reds,69,36,703,3786,NA,NA
1884,CPI,Chicago/Pittsburgh (Union League),41,50,438,3212,NA,NA
1884,DTN,Detroit Wolverines,28,84,445,3970,NA,NA
1884,IHO,Indianapolis Hoosiers,29,78,462,3813,NA,NA
1884,KCU,Kansas City Cowboys,16,63,311,2802,NA,NA
1884,LAD,Los Angeles Dodgers,40,64,476,3763,NA,NA
1884,LOU,Louisville Colonels,68,40,573,3957,NA,NA
1884,MLU,Milwaukee Brewers,8,4,53,395,NA,NA
1884,NYP,New York Metropolitans,75,32,734,4012,NA,NA
1884,PHA,Philadelphia Athletics,61,46,700,3959,NA,NA
1884,PHI,Philadelphia Phillies,39,73,549,3998,NA,NA
1884,PHK,Philadelphia Keystones,21,46,414,2518,NA,NA
1884,PIT,Pittsburgh Pirates,30,78,406,3689,NA,NA
1884,PRO,Providence Grays,84,28,665,4093,NA,NA
1884,RIC,Richmond Virginians,12,30,194,1469,NA,NA
1884,SFG,San Francisco Giants,62,50,693,4124,NA,NA
1884,SLM,St. Louis Maroons,94,19,887,4285,NA,NA
1884,STL,St. Louis Cardinals,67,40,658,3952,NA,NA
1884,STP,St. Paul Apostles,2,6,24,272,NA,NA
1884,TOL,Toledo Blue Stockings,46,58,463,3712,NA,NA
1884,WIL,Wilmington Quicksteps,2,16,35,521,NA,NA
1884,WNA,Washington Nationals,47,65,572,3926,NA,NA
1884,WST,Washington Statesmen,12,51,248,2166,NA,NA
1885,ATL,Atlanta Braves,46,66,528,3950,NA,NA
1885,BLO,Baltimore Orioles,41,68,541,3820,NA,NA
1885,BUF,Buffalo Bisons,38,74,495,3900,NA,NA
1885,CHC,Chicago Cubs,87,25,834,4093,NA,NA
1885,CIN,Cincinnati Reds,63,49,642,4050,NA,NA
1885,DTN,Detroit Wolverines,41,67,514,3773,NA,NA
1885,LAD,Los Angeles Dodgers,53,59,624,3943,NA,NA
