name,state,lat,lon,score,commute,pop,region,division
Johnson City,TN,36.4703712463379,-82.4363861083984,0.0621988103,0.325,2,South,East South Central
Morristown,TN,36.0965385437012,-83.4072494506836,0.0536519401,0.276,2,South,East South Central
Middlesborough,TN,36.5515403747559,-83.5353317260742,0.0726351365,0.359,2,South,East South Central
Knoxville,TN,35.9522590637207,-84.242790222168,0.0562812127,0.269,3,South,East South Central
Winston-Salem,NC,36.0812759399414,-80.5053329467773,0.0448007919,0.292,2,South,South Atlantic
Martinsville,VA,36.7005882263184,-80.2941131591797,0.0518358536,0.313,2,South,South Atlantic
Greensboro,NC,36.311107635498,-79.7673873901367,0.0473969392,0.305,3,South,South Atlantic
North Wilkesboro,NC,36.2834167480469,-81.2522048950195,0.0516631268,0.289,2,South,South Atlantic
Galax,VA,36.5919990539551,-81.039924621582,0.0795698911,0.325,2,South,South Atlantic
Spartanburg,SC,34.8730812072754,-81.7859649658203,0.0431111902,0.299,2,South,South Atlantic
Gastonia,NC,35.4115333557129,-81.6222229003906,0.0515273064,0.288,2,South,South Atlantic
Charlotte,NC,35.0905609130859,-80.691764831543,0.0437852368,0.241,3,South,South Atlantic
Boone,NC,36.196964263916,-81.8403930664062,0.0560836494,0.375,2,South,South Atlantic
Morganton,NC,35.8018951416016,-81.9952087402344,0.0544464625,0.315,2,South,South Atlantic
Hickory,NC,35.8712272644043,-81.2875671386719,0.0449696705,0.322,2,South,South Atlantic
Franklin,NC,34.9771461486816,-83.3769378662109,0.0566615611,0.416,2,South,South Atlantic
Sylva,NC,35.347770690918,-83.4053268432617,0.0606653616,0.412,2,South,South Atlantic
Asheville,NC,35.5480651855469,-82.6990661621094,0.0633802786,0.314,2,South,South Atlantic
Andrews,NC,34.9651565551758,-83.8927536010742,0.0804810375,0.361,2,South,South Atlantic
Bennettsville,SC,34.5340118408203,-79.9775314331055,0.0297968406,0.34,2,South,South Atlantic
Florence,SC,33.9225311279297,-79.712776184082,0.0356782004,0.327,2,South,South Atlantic
Fayetteville,NC,35.0354957580566,-79.331413269043,0.0382470116,0.322,2,South,South Atlantic
Wilmington,NC,34.4779357910156,-78.3368682861328,0.0418033972,0.317,2,South,South Atlantic
Wilson,NC,35.9106788635254,-77.7810287475586,0.0319583789,0.36,2,South,South Atlantic
Raleigh,NC,35.7296524047852,-78.7137908935547,0.0499866344,0.25,3,South,South Atlantic
Henderson,NC,36.349494934082,-78.2416152954102,0.0336088166,0.345,2,South,South Atlantic
Goldsboro,NC,35.0529937744141,-78.1784744262695,0.0453549512,0.348,2,South,South Atlantic
Jacksonville,NC,35.192928314209,-77.1085052490234,0.0470072404,0.375,2,South,South Atlantic
Virginia Beach,VA,36.498649597168,-76.2944564819336,0.0535509437,0.253,3,South,South Atlantic
Washington,NC,35.6822280883789,-76.5391998291016,0.0497884788,0.387,2,South,South Atlantic
South Boston,VA,36.9987564086914,-78.5038604736328,0.0490487516,0.318,2,South,South Atlantic
Lynchburg,VA,37.3504180908203,-79.2872543334961,0.067359142,0.309,2,South,South Atlantic
Richmond,VA,37.4937553405762,-77.3593826293945,0.0547646731,0.238,3,South,South Atlantic
Newport News,VA,37.1789703369141,-76.745735168457,0.0513657629,0.29,2,South,South Atlantic
Roanoke Rapids,NC,36.2598991394043,-77.3320770263672,0.0327529013,0.357,2,South,South Atlantic
Gulfport,MS,30.6803550720215,-89.4176559448242,0.0671070293,0.298,2,South,East South Central
Laurel,MS,31.800952911377,-89.1161804199219,0.0692070574,0.32,2,South,East South Central
Hattiesburg,MS,31.2641201019287,-89.4493865966797,0.0605108887,0.358,2,South,East South Central
Kosciusko,MS,33.1420021057129,-90.0540618896484,0.0354896672,0.365,2,South,East South Central
Yazoo City,MS,32.897403717041,-90.47216796875,0.0247895233,0.417,2,South,East South Central
Jackson,MS,32.2902183532715,-90.2277221679688,0.0375340469,0.267,2,South,East South Central
McComb,MS,31.2274875640869,-90.7779388427734,0.0625297204,0.341,2,South,East South Central
Brookhaven,MS,31.5236892700195,-90.2544555664062,0.0642954856,0.321,2,South,East South Central
Jena,LA,31.5846118927002,-91.9713516235352,0.1264222562,0.369,1,South,West South Central
Natchez,MS,31.6362190246582,-91.4330596923828,0.0487460271,0.418,2,South,East South Central
Vicksburg,MS,32.1802291870117,-91.1058883666992,0.0311782081,0.379,2,South,East South Central
