country,long,lat,group
AG,-61.71606445,17.03701172,1
AG,-61.74814453,16.99716797,1
AG,-61.85966797,17.01333008,1
AG,-61.88203125,17.06313477,1
AG,-61.88710937,17.09814453,1
AG,-61.81728516,17.16894531,1
AG,-61.73857422,17.13847656,1
AG,-61.70820313,17.10507813,1
AG,-61.68603516,17.0984375,1
AG,-61.68647461,17.06982422,1
AG,-61.6949707,17.04892578,1
AG,-61.71606445,17.03701172,1
AG,-61.74711914,17.57495117,2
AG,-61.76201172,17.54868164,2
AG,-61.84379883,17.59614258,2
AG,-61.86875,17.68544922,2
AG,-61.86616211,17.70429687,2
AG,-61.85244141,17.7140625,2
AG,-61.81992188,17.696875,2
AG,-61.77675781,17.69047852,2
AG,-61.74960938,17.66132812,2
AG,-61.74711914,17.57495117,2
AI,-63.0012207,18.22177734,3
AI,-63.16000977,18.17138672,3
AI,-63.15332031,18.20029297,3
AI,-63.02602539,18.26972656,3
AI,-62.97958984,18.26479492,3
AI,-63.0012207,18.22177734,3
AW,-69.89912109,12.45200195,4
AW,-69.89570312,12.42299805,4
AW,-69.9421875,12.43852539,4
AW,-70.00415039,12.50048828,4
AW,-70.06611328,12.54697266,4
AW,-70.05087891,12.59707031,4
AW,-70.03510742,12.61411133,4
AW,-69.97314453,12.56762695,4
AW,-69.91181641,12.48046875,4
AW,-69.89912109,12.45200195,4
BB,-59.49331055,13.08198242,5
BB,-59.521875,13.06220703,5
BB,-59.61132812,13.10209961,5
BB,-59.64277344,13.15029297,5
BB,-59.64667969,13.303125,5
BB,-59.59160156,13.31767578,5
BB,-59.48789062,13.19682617,5
BB,-59.42763672,13.1527832,5
BB,-59.49331055,13.08198242,5
BL,-62.83193359,17.87646484,6
BL,-62.84692383,17.87519531,6
BL,-62.85893555,17.88364258,6
BL,-62.86938477,17.89858398,6
BL,-62.87543945,17.91357422,6
BL,-62.87421875,17.92226562,6
BL,-62.86542969,17.91826172,6
BL,-62.79970703,17.90869141,6
BL,-62.80703125,17.89765625,6
BL,-62.81816406,17.88544922,6
BL,-62.83193359,17.87646484,6
BM,-64.73027344,32.29345703,7
BM,-64.82011719,32.25961914,7
BM,-64.84506836,32.26230469,7
BM,-64.8628418,32.27387695,7
BM,-64.77119141,32.30771484,7
BM,-64.69462891,32.38691406,7
BM,-64.66831055,32.38193359,7
BM,-64.73027344,32.29345703,7
BO,-58.15976562,-20.16464844,8
BO,-58.13994141,-19.99882813,8
BO,-58.16005859,-19.85488281,8
BO,-58.18017578,-19.81787109,8
BO,-58.47421875,-19.64609375,8
BO,-58.74111328,-19.49023437,8
BO,-59.09052734,-19.28623047,8
BO,-59.54086914,-19.29179688,8
BO,-60.00737305,-19.29755859,8
BO,-60.45161133,-19.38876953,8
BO,-60.88876953,-19.47851562,8
BO,-61.09599609,-19.52099609,8
BO,-61.51181641,-19.60644531,8
BO,-61.75683594,-19.6453125,8
BO,-61.82089844,-19.80947266,8
BO,-61.91694336,-20.05537109,8
BO,-62.01181641,-20.19902344,8
BO,-62.12163086,-20.34990234,8
BO,-62.27631836,-20.5625,8
BO,-62.27651367,-20.82080078,8
BO,-62.27666016,-21.06601563,8
BO,-62.3188236,-21.2,8
BO,-68.26571097,-21.2,8
BO,-68.31386719,-21.1296875,8
BO,-68.43549805,-20.94824219,8
BO,-68.53383789,-20.92363281,8
BO,-68.55825195,-20.90195313,8
BO,-68.56894531,-20.84980469,8
BO,-68.57104492,-20.76914063,8
BO,-68.56318359,-20.72011719,8
BO,-68.48740234,-20.64072266,8
BO,-68.48432617,-20.62841797,8
BO,-68.49985352,-20.61201172,8
BO,-68.69580078,-20.49296875,8
BO,-68.74516602,-20.45859375,8
BO,-68.76054687,-20.41621094,8
BO,-68.75922852,-20.37802734,8
BO,-68.71230469,-20.33896484,8
BO,-68.68857422,-20.31005859,8
BO,-68.73457031,-20.22519531,8
BO,-68.7300293,-20.1484375,8
BO,-68.75932617,-20.11552734,8
BO,-68.75581055,-20.09082031,8
BO,-68.72749023,-20.06962891,8
BO,-68.60019531,-20.04492187,8
BO,-68.56069336,-19.96708984,8
BO,-68.559375,-19.90234375,8
BO,-68.57827148,-19.85654297,8
BO,-68.69619141,-19.74072266,8
BO,-68.69829102,-19.72109375,8
BO,-68.57529297,-19.56015625,8
BO,-68.48701172,-19.45439453,8
BO,-68.46289062,-19.4328125,8
BO,-68.47016602,-19.40996094,8
BO,-68.49199219,-19.38193359,8
BO,-68.54785156,-19.34111328,8
BO,-68.62055664,-19.29667969,8
BO,-68.68066406,-19.24238281,8
BO,-68.75908203,-19.16220703,8
BO,-68.85795898,-19.09335938,8
BO,-68.93100586,-19.02519531,8
BO,-68.96831055,-18.96796875,8
BO,-68.9690918,-18.90966797,8
BO,-68.97885742,-18.81298828,8
BO,-69.02680664,-18.65625,8
BO,-69.0394043,-18.55009766,8
BO,-69.06015625,-18.43300781,8
BO,-69.08095703,-18.35664063,8
BO,-69.09228516,-18.28242188,8
BO,-69.12636719,-18.20244141,8
BO,-69.14545898,-18.14404297,8
