date,season,team,elo
1946-11-01,1947,NYK,1306.7233
1946-11-01,1947,TRH,1293.2767
1946-11-02,1947,BOS,1294.8458
1946-11-02,1947,CHS,1309.6521
1946-11-02,1947,DTF,1279.6189
1946-11-02,1947,NYK,1297.0712
1946-11-02,1947,PIT,1295.3092
1946-11-02,1947,PRO,1305.1542
1946-11-02,1947,STB,1304.6908
1946-11-02,1947,WSC,1320.3811
1946-11-03,1947,CLR,1307.1233
1946-11-03,1947,TRH,1286.1534
1946-11-04,1947,PIT,1277.9456
1946-11-04,1947,WSC,1337.7448
1946-11-05,1947,BOS,1288.4139
1946-11-05,1947,CHS,1316.084
1946-11-05,1947,DTF,1271.4624
1946-11-05,1947,STB,1312.8473
1946-11-07,1947,CHS,1309.735
1946-11-07,1947,NYK,1307.3197
1946-11-07,1947,PHW,1304.667
1946-11-07,1947,PIT,1273.2786
1946-11-07,1947,PRO,1311.5032
1946-11-07,1947,STB,1302.5988
1946-11-08,1947,DTF,1268.4468
1946-11-08,1947,TRH,1289.1691
1946-11-09,1947,BOS,1275.2767
1946-11-09,1947,CHS,1315.2522
1946-11-09,1947,DTF,1281.584
1946-11-09,1947,PIT,1267.4674
1946-11-09,1947,PRO,1317.3143
1946-11-09,1947,STB,1305.7323
1946-11-09,1947,TRH,1283.6519
1946-11-09,1947,WSC,1334.6112
1946-11-10,1947,CLR,1321.1034
1946-11-10,1947,WSC,1320.6311
1946-11-11,1947,CHS,1329.3558
1946-11-11,1947,NYK,1293.2161
1946-11-11,1947,PIT,1277.5587
1946-11-11,1947,PRO,1307.223
1946-11-13,1947,BOS,1269.8861
1946-11-13,1947,CHS,1334.7465
1946-11-13,1947,DTF,1275.3634
1946-11-13,1947,PRO,1313.4436
1946-11-14,1947,BOS,1267.1501
1946-11-14,1947,PHW,1308.6625
1946-11-14,1947,STB,1308.4683
1946-11-14,1947,WSC,1316.6356
1946-11-15,1947,PRO,1302.3401
1946-11-15,1947,TRH,1294.7554
1946-11-16,1947,BOS,1271.9004
1946-11-16,1947,CHS,1321.4366
1946-11-16,1947,CLR,1314.2461
1946-11-16,1947,DTF,1291.9098
1946-11-16,1947,NYK,1296.2185
