offense_team,defense_team,yards_gained,yards_net,yards_to_go,down,quarter,first_down,interception,fumble,pass,pass_complete,poss_team_score,def_team_score,yards_to_touchdown,drive,pass_location,run_location,passer,rusher,receiver
PIT,NE,18,18,10,1,1,1,0,0,0,0,0,0,80,1,,right,,D.Hightower,
PIT,NE,9,31,10,1,1,0,0,0,1,1,0,0,62,1,right,,B.Roethlisberger,,A.Brown
PIT,NE,4,31,1,2,1,1,0,0,0,0,0,0,53,1,,right,,J.Collins,
PIT,NE,14,45,10,1,1,1,0,0,1,1,0,0,49,1,right,,B.Roethlisberger,,H.Miller
PIT,NE,11,56,10,1,1,1,0,0,0,0,0,0,35,1,,right,,J.Collins,
PIT,NE,6,54,28,2,1,0,0,0,0,0,0,0,42,1,,right,,W.Johnson,
PIT,NE,10,54,22,3,1,0,0,0,1,1,0,0,36,1,right,,B.Roethlisberger,,H.Miller
NE,PIT,13,10,10,1,1,1,0,0,1,1,0,0,66,2,left,,T.Brady,,J.Edelman
NE,PIT,12,10,10,1,1,1,0,0,1,1,0,0,68,2,left,,T.Brady,,D.Lewis
NE,PIT,13,23,10,1,1,1,0,0,1,1,0,0,56,2,left,,T.Brady,,D.Lewis
NE,PIT,0,23,10,1,1,0,0,0,1,0,0,0,43,2,right,,T.Brady,,R.Gronkowski
NE,PIT,0,23,10,2,1,0,0,0,1,0,0,0,43,2,right,,T.Brady,,D.Amendola
PIT,NE,6,6,10,1,1,0,0,0,0,0,0,0,93,3,,left,,A.Branch,
PIT,NE,-1,5,4,2,1,0,0,0,0,0,0,0,87,3,,left,,C.Jones,
PIT,NE,10,15,5,3,1,1,0,0,1,1,0,0,88,3,left,,B.Roethlisberger,,A.Brown
PIT,NE,3,13,15,1,1,0,0,0,1,1,0,0,83,3,right,,B.Roethlisberger,,A.Brown
PIT,NE,17,24,18,3,1,0,0,0,1,1,0,0,86,3,left,,B.Roethlisberger,,H.Miller
NE,PIT,8,8,10,1,1,0,0,0,0,0,0,0,90,4,,left,,D.Lewis,
NE,PIT,1,9,2,2,1,0,0,0,0,0,0,0,82,4,,middle,,D.Lewis,
NE,PIT,1,10,1,3,1,1,0,0,0,0,0,0,81,4,,middle,,T.Brady,
NE,PIT,9,9,20,1,1,0,0,0,1,1,0,0,90,4,left,,T.Brady,,A.Dobson
NE,PIT,9,18,11,2,1,0,0,0,1,1,0,0,81,4,left,,T.Brady,,J.Edelman
NE,PIT,9,27,2,3,2,1,0,0,0,0,0,0,72,4,,right,,J.Edelman,
NE,PIT,-3,24,10,1,2,0,0,0,0,0,0,0,63,4,,left,,B.Bolden,
NE,PIT,7,31,13,2,2,0,0,0,1,1,0,0,66,4,left,,T.Brady,,D.Lewis
NE,PIT,8,39,6,3,2,1,0,0,1,1,0,0,59,4,middle,,T.Brady,,J.Edelman
NE,PIT,3,42,10,1,2,0,0,0,0,0,0,0,51,4,,right,,D.Lewis,
NE,PIT,13,55,7,2,2,1,0,0,1,1,0,0,48,4,right,,T.Brady,,J.Edelman
NE,PIT,19,74,10,1,2,1,0,0,1,1,0,0,35,4,right,,T.Brady,,R.Gronkowski
NE,PIT,16,90,10,1,2,0,0,0,1,1,6,0,16,4,right,,T.Brady,,R.Gronkowski
PIT,NE,2,2,10,1,2,0,0,0,0,0,0,7,80,5,,middle,,S.Siliga,
PIT,NE,0,2,8,2,2,0,0,0,1,0,0,7,78,5,left,,B.Roethlisberger,,H.Miller
PIT,NE,43,45,8,3,2,1,0,0,1,1,0,7,78,5,left,,B.Roethlisberger,,D.Heyward
PIT,NE,6,51,10,1,2,0,0,0,0,0,0,7,35,5,,right,,D.Hightower,
PIT,NE,1,52,4,2,2,0,0,0,0,0,0,7,29,5,,right,,J.Sheard,
