state_abbreviation,county,fips,prop_hillary,RHI825214,EDU685213,time_code,division,lat,lon
AL,Autauga,1001.0,0.8143978164448994,75.6,20.9,2,East South Central,32.534921,-86.642757
AL,Baldwin,1003.0,0.6625751503006012,83.0,27.7,2,East South Central,30.660974,-87.749845
AL,Barbour,1005.0,0.9204015776263894,46.6,13.4,2,East South Central,31.869603,-85.393197
AL,Bibb,1007.0,0.7929292929292929,74.5,12.1,2,East South Central,32.998644,-87.126439
AL,Blount,1009.0,0.5881126173096975,87.8,12.1,2,East South Central,33.980867,-86.567371
AL,Bullock,1011.0,0.9322936477748194,22.1,12.5,2,East South Central,32.100554,-85.715697
AL,Butler,1013.0,0.9336734693877551,53.1,14.0,2,East South Central,31.752434,-86.680289
AL,Calhoun,1015.0,0.7785891858297079,72.9,16.1,2,East South Central,33.771428,-85.826035
AL,Chambers,1017.0,0.902834008097166,56.8,11.8,2,East South Central,32.914372,-85.392043
AL,Cherokee,1019.0,0.726530612244898,91.6,12.8,2,East South Central,34.175956,-85.603794
AL,Chilton,1021.0,0.7484769364664926,80.3,12.9,2,East South Central,32.847853,-86.718814
AL,Choctaw,1023.0,0.8665036674816626,56.1,11.8,2,East South Central,32.019611,-88.263201
AL,Clarke,1025.0,0.936626004165427,53.1,11.2,2,East South Central,31.67666,-87.83081
AL,Clay,1027.0,0.856687898089172,79.7,9.2,2,East South Central,33.269086,-85.860547
AL,Cleburne,1029.0,0.7542662116040956,92.3,9.0,2,East South Central,33.674558,-85.518768
AL,Coffee,1031.0,0.7933049946865037,71.3,22.5,2,East South Central,31.402627,-85.988207
AL,Colbert,1033.0,0.7429611185596628,78.8,17.7,2,East South Central,34.700434,-87.804984
AL,Conecuh,1035.0,0.7887378640776699,51.1,8.8,2,East South Central,31.429267,-86.993681
AL,Coosa,1037.0,0.890061565523307,64.8,9.8,2,East South Central,32.936227,-86.247659
AL,Covington,1039.0,0.7967567567567567,83.1,14.2,2,East South Central,31.248493,-86.451248
AL,Crenshaw,1041.0,0.8945812807881773,70.6,12.7,2,East South Central,31.731486,-86.313548
AL,Cullman,1043.0,0.6381381381381381,92.1,14.8,2,East South Central,34.131941,-86.867619
AL,Dale,1045.0,0.7881572230729964,70.2,17.0,2,East South Central,31.431819,-85.611032
AL,Dallas,1047.0,0.8286155926963579,28.5,14.2,2,East South Central,32.325975,-87.106479
AL,DeKalb,1049.0,0.6603869653767821,80.6,10.7,2,East South Central,34.459773,-85.804141
AL,Elmore,1051.0,0.8130891462429303,73.7,21.0,2,East South Central,32.596648,-86.149147
AL,Escambia,1053.0,0.8996893031513538,60.6,11.7,2,East South Central,31.126123,-87.16162
AL,Etowah,1055.0,0.7677895874617187,78.4,14.8,2,East South Central,34.045254,-86.034762
