id,id_out,time
15,31,140
15,22,160
15,16,500
15,16,520
16,22,560
16,22,580
16,22,600
16,22,620
16,22,680
11,16,680
11,22,700
11,22,720
11,22,740
11,22,760
11,22,780
11,22,800
11,22,820
11,22,840
11,22,860
11,22,880
11,22,900
15,16,920
11,22,920
11,16,920
15,16,940
11,16,940
15,16,960
11,16,960
11,16,980
14,22,1800
14,22,1820
14,22,1840
3,37,2260
3,37,2340
15,22,2420
15,22,2440
15,22,2480
3,37,2580
3,37,2620
5,37,2700
3,37,2720
3,6,2900
3,37,3200
5,7,3720
5,7,3740
5,37,3760
1,20,3980
3,5,4020
3,37,4020
1,17,4080
3,37,4160
8,17,4160
17,37,4180
31,37,4180
3,37,4180
5,17,4180
8,17,4180
8,37,4180
5,31,4200
8,17,4200
5,31,4220
6,37,4240
23,31,4240
5,31,4240
8,17,4240
5,23,4260
23,37,4260
10,13,4280
5,31,4280
1,6,4280
8,17,4280
5,37,4280
23,37,4280
8,23,4300
17,23,4300
8,17,4300
23,37,4300
8,23,4320
17,37,4320
17,23,4320
3,17,4320
23,37,4320
8,37,4320
17,37,4340
6,8,4340
3,19,4340
3,31,4360
1,6,4360
19,31,4360
6,8,4380
23,31,4380
3,31,4380
1,6,4380
20,31,4400
3,31,4400
17,31,4400
1,6,4400
3,17,4400
6,8,4420
20,37,4420
1,6,4420
31,37,4420
3,37,4420
3,17,4420
1,6,4440
31,37,4440
3,31,4460
3,37,4460
3,5,4480
1,23,4480
3,31,4480
3,23,4480
3,37,4480
5,23,4480
5,37,4480
3,5,4500
3,31,4500
3,23,4500
5,23,4500
23,37,4500
8,23,4520
3,23,4520
3,37,4520
3,8,4520
23,37,4520
3,5,4540
3,23,4540
15,22,4540
3,37,4540
5,23,4540
23,37,4540
8,23,4560
3,5,4560
3,23,4560
15,22,4560
3,37,4560
3,8,4560
5,37,4560
23,37,4560
3,5,4580
15,22,4580
5,23,4580
5,37,4580
3,31,4600
15,22,4600
5,13,4600
13,31,4620
15,22,4620
3,5,4640
13,31,4640
15,22,4640
15,22,4660
15,22,4680
13,31,4700
15,22,4700
10,13,4720
15,22,4720
1,6,4740
15,22,4740
15,22,4760
6,10,4780
15,22,4780
15,22,4800
15,22,4820
15,22,4840
15,22,4860
10,23,4860
23,37,4860
15,22,4880
3,6,4900
15,22,4900
6,23,4900
15,22,4920
15,22,4940
15,22,4960
15,22,4980
15,22,5000
13,31,5020
15,22,5020
15,22,5040
15,22,5060
5,23,5060
15,22,5080
15,22,5100
13,31,5120
15,22,5120
5,37,5120
23,37,5120
15,22,5140
23,37,5140
13,31,5160
15,22,5160
13,31,5180
15,22,5180
15,22,5200
5,23,5200
15,22,5220
5,23,5220
15,22,5240
5,23,5240
15,22,5260
5,23,5260
15,22,5280
5,23,5280
1,6,5300
15,22,5300
5,23,5300
13,31,5320
15,22,5320
15,22,5340
15,22,5360
15,22,5380
23,37,5380
15,22,5400
23,37,5400
15,22,5420
3,6,5440
3,23,5440
15,22,5440
23,37,5440
15,22,5460
3,37,5460
3,8,5460
5,37,5460
23,37,5460
5,10,5480
15,22,5480
5,37,5480
23,37,5480
13,31,5500
3,23,5500
15,22,5500
10,37,5520
13,31,5520
15,22,5520
3,37,5520
13,31,5540
15,22,5540
10,37,5560
13,31,5560
8,10,5560
3,10,5560
15,22,5560
10,37,5580
15,22,5580
3,37,5580
15,22,5600
31,37,5600
5,17,5600
3,8,5600
15,22,5620
15,22,5640
31,37,5640
3,17,5640
3,8,5640
15,22,5660
31,37,5660
3,37,5660
15,22,5680
31,37,5680
15,22,5700
15,22,5720
15,22,5740
15,22,5760
15,22,5780
15,22,5800
15,22,5820
15,22,5840
15,22,5860
15,22,5880
15,22,5900
15,22,5920
15,22,5940
15,22,5960
15,22,5980
15,22,6000
15,22,6020
15,22,6040
15,22,6060
15,22,6080
15,22,6100
15,22,6120
15,22,6140
15,22,6160
14,18,6180
15,22,6180
15,22,6200
15,22,6220
14,23,6240
15,22,6240
15,22,6260
15,22,6280
14,18,6300
15,22,6300
1,14,6320
15,22,6320
15,22,6340
15,22,6360
6,11,6380
15,22,6380
15,22,6400
10,23,6400
6,8,6420
15,22,6420
15,22,6440
15,22,6460
15,22,6480
15,22,6500
15,22,6520
6,14,6540
15,22,6540
15,22,6560
15,22,6580
15,22,6600
15,22,6620
15,22,6640
15,22,6660
15,22,6680
15,22,6700
19,24,6720
15,22,6720
15,22,6740
15,22,6760
15,22,6780
15,22,6800
15,22,6820
15,22,6840
15,22,6860
15,22,6880
15,22,6900
15,22,6920
15,22,6940
15,22,6960
15,22,6980
15,22,7000
15,22,7020
15,22,7040
15,22,7060
15,22,7080
15,22,7100
15,22,7120
15,22,7140
15,22,7160
15,22,7180
15,22,7200
15,22,7220
15,22,7240
15,22,7260
15,22,7280
15,22,7300
15,22,7320
15,22,7340
15,22,7420
15,22,7440
15,22,7460
15,22,7480
15,22,7500
15,22,7520
15,22,7540
15,22,7560
15,22,7580
15,22,7600
15,22,7620
15,22,7640
15,22,7660
15,22,7680
15,22,7700
15,22,7720
15,22,7740
15,22,7760
15,22,7780
15,22,7800
15,22,7820
15,22,7840
15,22,7860
15,22,7880
15,22,7900
15,22,7920
15,22,7940
15,22,7960
1,22,7980
1,22,8000
15,22,8000
1,15,8000
6,22,8020
6,22,8040
6,22,8060
19,22,8060
15,18,8060
1,22,8080
1,24,8080
6,22,8080
15,18,8080
14,22,8100
15,22,8180
14,22,8200
15,22,8220
14,22,8220
15,22,8260
14,15,8300
15,22,8300
14,22,8300
6,14,8320
15,22,8460
14,15,8480
15,22,8480
15,22,8500
15,22,8520
15,22,8560
14,22,8560
23,24,8760
23,24,8880
23,24,8900
23,24,8920
6,19,9060
8,19,9080
6,19,9080
6,19,9100
19,45,9140
11,15,9200
14,15,9200
23,24,9200
14,22,9220
11,22,9240
11,15,9240
23,24,9240
14,22,9240
11,22,9260
11,15,9260
15,22,9260
14,22,9260
11,15,9280
23,24,9280
15,22,9280
14,22,9280
23,45,9300
11,15,9300
19,40,9300
14,22,9300
11,15,9320
19,45,9320
23,45,9340
6,8,9340
11,15,9340
23,24,9340
6,22,9360
19,22,9360
6,22,9380
6,22,9400
11,15,9420
19,23,9420
11,15,9440
11,15,9460
6,22,9460
23,24,9480
19,45,9480
11,15,9500
23,24,9500
19,45,9500
11,15,9520
19,45,9520
19,45,9540
19,45,9560
11,15,9580
19,45,9580
19,45,9600
11,15,9620
14,15,9620
19,45,9620
11,15,9640
14,15,9640
19,45,9640
19,45,9660
19,45,9680
19,45,9700
19,45,9720
11,15,9740
23,24,9740
14,22,9740
19,45,9740
11,15,9760
23,24,9760
14,22,9760
19,45,9760
11,15,9780
14,22,9780
19,45,9780
11,15,9800
14,22,9800
19,45,9800
14,22,9820
19,45,9820
14,22,9860
14,22,9880
23,24,9900
14,22,9900
1,22,9920
23,24,9920
14,22,9920
23,24,9940
14,22,9940
14,22,9960
19,45,9960
23,24,9980
19,45,9980
23,24,10000
14,22,10000
23,24,10020
14,22,10020
23,24,10040
14,22,10040
23,24,10060
23,24,10080
18,22,10080
23,24,10100
18,22,10100
23,24,10120
23,24,10140
15,22,10140
23,24,10160
23,24,10180
15,22,10180
23,24,10200
1,6,10200
15,22,10200
11,22,10220
11,15,10220
23,24,10220
11,22,10240
11,22,10260
11,15,10260
23,24,10260
11,22,10280
23,24,10280
15,22,10280
11,22,10300
23,24,10320
1,6,10320
11,22,10340
23,24,10340
11,22,10360
11,22,10380
11,22,10400
11,15,10420
11,15,10460
11,22,10520
11,22,10540
1,23,10560
11,22,10560
6,23,10560
1,23,10580
1,6,10580
6,23,10580
1,15,10620
1,23,10640
23,24,10660
15,22,10660
15,22,10680
15,22,10700
15,22,10720
15,22,10740
15,22,10760
15,22,10780
15,22,10800
15,22,10820
15,22,10840
15,22,10880
15,22,10900
15,22,10920
23,45,10940
15,22,10940
15,22,11000
15,22,11020
15,22,11040
15,23,11080
1,22,11100
15,44,11100
22,23,11120
15,68,11120
22,23,11140
23,24,11220
15,44,11320
18,22,11320
15,44,11340
15,44,11360
15,44,11380
15,44,11420
14,22,11420
14,22,11440
14,22,11460
14,22,11480
14,22,11500
15,44,11520
14,22,11520
15,44,11540
14,22,11540
14,22,11560
14,22,11580
14,22,11600
18,22,11600
14,45,11620
14,45,11640
15,44,11660
14,45,11660
15,44,11680
14,45,11680
14,45,11700
15,44,11720
14,68,11720
14,68,11740
15,44,11760
14,68,11760
14,15,11780
14,68,11780
15,44,11800
14,68,11800
14,68,11820
15,44,11840
14,68,11840
15,44,11860
15,44,11880
14,68,11880
15,44,11900
14,68,11900
15,44,11920
14,68,11920
14,68,11940
14,68,11960
14,68,11980
11,16,11980
14,68,12000
11,16,12000
14,68,12020
15,44,12040
11,22,12040
14,68,12040
