e1,e2,count
329US69,329US249,16.0
329US394,329US402,16.0
329US249,329US416,14.0
329US69,330US422,19.0
329US249,330US422,42.0
329US416,330US422,11.0
330US501,330US518,11.0
330US258,330US585,21.0
330US767,331US218,17.0
329US129,331US549,11.0
330US75,331US549,19.0
329US459,332US46,12.0
329US173,332US134,13.0
329US663,332US134,11.0
329US187,332US261,10.0
332US319,332US392,11.0
332US261,332US463,11.0
331US682,332US507,13.0
331US145,332US581,10.0
332US46,332US596,12.0
331US145,333US10,31.0
332US581,333US10,18.0
330US258,333US56,10.0
330US258,333US257,13.0
331US367,333US257,10.0
332US46,333US257,13.0
333US196,333US257,10.0
330US1,333US203,28.0
329US394,333US287,10.0
329US402,333US287,13.0
329US637,333US287,13.0
329US394,333US364,11.0
329US402,333US364,10.0
332US392,333US364,11.0
333US287,333US364,21.0
330US75,333US507,10.0
332US1,333US507,16.0
333US95,333US507,13.0
329US362,333US611,13.0
329US173,333US640,11.0
329US459,333US640,10.0
329US663,333US640,12.0
332US46,333US640,17.0
332US134,333US640,19.0
332US708,333US640,12.0
332US46,334US1,11.0
333US683,334US37,10.0
329US69,334US62,10.0
332US218,334US100,13.0
332US392,334US110,13.0
334US100,334US110,15.0
332US218,334US131,10.0
332US319,334US131,12.0
332US392,334US131,22.0
333US287,334US131,17.0
333US364,334US131,10.0
334US100,334US131,20.0
334US110,334US131,19.0
332US218,334US219,12.0
332US633,334US410,18.0
334US385,334US410,12.0
332US218,334US495,12.0
332US392,334US495,11.0
334US100,334US495,15.0
334US110,334US495,12.0
334US131,334US495,19.0
334US219,334US495,11.0
334US343,334US541,11.0
330US75,334US558,10.0
333US507,334US558,19.0
329US249,334US653,19.0
330US422,334US653,18.0
329US663,334US672,11.0
332US134,334US672,14.0
332US174,334US672,18.0
333US640,334US672,15.0
331US145,334US699,28.0
332US581,334US699,13.0
333US10,334US699,34.0
329US69,335US80,13.0
329US249,335US80,31.0
329US416,335US80,13.0
330US422,335US80,23.0
334US653,335US80,10.0
330US75,335US106,13.0
333US507,335US106,10.0
332US134,335US437,13.0
333US640,335US437,18.0
331US145,335US451,28.0
333US10,335US451,43.0
334US699,335US451,28.0
335US632,335US701,20.0
330US767,336US18,10.0
329US649,336US53,11.0
330US1,336US77,14.0
330US75,336US77,20.0
331US367,336US77,11.0
332US46,336US77,11.0
333US507,336US77,26.0
334US558,336US77,31.0
335US106,336US77,15.0
329US565,336US132,10.0
329US249,336US169,14.0
330US422,336US169,12.0
330US767,336US245,13.0
329US211,336US440,13.0
330US75,336US490,13.0
333US507,336US490,14.0
336US77,336US490,17.0
329US69,336US525,10.0
329US249,336US525,28.0
330US422,336US525,17.0
331US218,336US525,14.0
332US507,336US525,11.0
334US385,336US525,17.0
335US80,336US525,18.0
330US767,336US725,16.0
331US218,336US725,17.0
336US525,336US725,12.0
331US145,336US793,10.0
330US75,337US1,11.0
333US507,337US1,15.0
334US558,337US1,13.0
335US106,337US1,14.0
336US77,337US1,23.0
336US490,337US1,11.0
329US69,337US154,10.0
336US53,337US163,12.0
332US218,337US293,11.0
332US392,337US293,21.0
333US287,337US293,10.0
334US100,337US293,10.0
334US110,337US293,12.0
334US131,337US293,19.0
334US495,337US293,21.0
332US507,337US498,11.0
337US530,337US535,11.0
331US642,337US582,10.0
329US69,337US662,12.0
329US249,337US662,19.0
330US422,337US662,17.0
334US653,337US662,11.0
335US80,337US662,25.0
336US525,337US662,12.0
330US731,337US682,26.0
334US672,337US773,10.0
331US145,338US25,15.0
332US46,338US25,23.0
333US10,338US25,28.0
334US699,338US25,15.0
335US451,338US25,20.0
331US145,338US74,10.0
332US46,338US49,13.0
332US596,338US49,26.0
332US742,338US49,13.0
332US596,338US62,13.0
338US49,338US62,17.0
332US596,338US68,14.0
338US49,338US68,20.0
338US62,338US68,17.0
331US145,338US160,17.0
332US581,338US160,16.0
333US10,338US160,41.0
334US699,338US160,16.0
335US451,338US160,19.0
338US25,338US160,20.0
333US364,338US338,11.0
336US53,338US430,10.0
337US163,338US430,10.0
331US682,338US464,10.0
332US507,338US464,13.0
337US498,338US464,10.0
331US145,339US56,39.0
332US581,339US56,14.0
333US10,339US56,44.0
334US699,339US56,32.0
335US451,339US56,33.0
336US793,339US56,11.0
338US25,339US56,22.0
338US74,339US56,12.0
338US160,339US56,30.0
332US174,339US200,14.0
334US266,339US200,10.0
334US672,339US200,19.0
332US463,339US282,21.0
330US1,339US382,17.0
330US75,339US382,25.0
331US549,339US382,10.0
332US46,339US382,10.0
333US203,339US382,10.0
333US507,339US382,26.0
334US558,339US382,17.0
335US106,339US382,18.0
336US77,339US382,39.0
336US490,339US382,12.0
337US1,339US382,23.0
330US767,339US454,10.0
336US245,339US454,12.0
336US490,339US460,19.0
336US490,339US470,14.0
339US460,339US470,18.0
332US218,339US485,10.0
334US219,339US485,11.0
336US490,339US532,12.0
339US460,339US532,15.0
339US470,339US532,14.0
332US495,339US542,17.0
339US306,339US594,10.0
332US631,339US629,11.0
339US629,339US637,14.0
332US134,339US660,12.0
333US640,339US660,15.0
335US437,339US660,12.0
332US19,339US699,18.0
332US19,339US707,18.0
339US699,339US707,13.0
329US637,339US827,16.0
333US287,339US827,16.0
333US364,339US827,10.0
332US319,340US76,12.0
332US392,340US76,13.0
333US287,340US76,13.0
333US364,340US76,14.0
334US110,340US76,12.0
334US131,340US76,15.0
337US293,340US76,10.0
339US827,340US76,10.0
331US284,340US216,14.0
334US37,340US231,11.0
330US1,340US268,18.0
330US75,340US268,12.0
333US203,340US268,10.0
333US507,340US268,18.0
334US558,340US268,32.0
336US77,340US268,38.0
336US106,340US268,10.0
337US1,340US268,20.0
339US382,340US268,22.0
330US75,340US290,11.0
333US507,340US290,21.0
334US558,340US290,32.0
336US77,340US290,31.0
337US1,340US290,15.0
339US382,340US290,22.0
340US268,340US290,33.0
333US507,340US315,15.0
334US558,340US315,15.0
336US77,340US315,19.0
337US1,340US315,13.0
339US382,340US315,20.0
340US268,340US315,23.0
340US290,340US315,17.0
336US525,340US349,16.0
337US137,340US367,15.0
340US159,340US367,10.0
330US767,340US383,14.0
336US245,340US383,15.0
339US454,340US383,16.0
329US69,340US511,15.0
329US249,340US534,12.0
329US249,340US602,23.0
329US416,340US602,10.0
330US422,340US602,14.0
334US653,340US602,15.0
335US80,340US602,16.0
336US525,340US602,11.0
337US662,340US602,15.0
341US58,341US70,10.0
341US70,341US97,12.0
330US75,341US123,14.0
330US127,341US123,11.0
333US257,341US123,10.0
337US265,341US123,12.0
337US682,341US123,10.0
339US306,341US123,12.0
339US382,341US123,19.0
339US594,341US123,13.0
332US1,341US223,12.0
333US507,341US223,18.0
337US472,341US341,10.0
340US159,341US479,12.0
340US367,341US479,21.0
330US1,341US494,10.0
330US75,341US494,19.0
331US367,341US494,13.0
331US549,341US494,10.0
332US1,341US494,10.0
332US46,341US494,15.0
333US95,341US494,12.0
333US507,341US494,37.0
334US558,341US494,20.0
335US106,341US494,19.0
336US77,341US494,39.0
336US490,341US494,23.0
337US1,341US494,24.0
339US382,341US494,63.0
339US460,341US494,11.0
339US470,341US494,10.0
340US268,341US494,28.0
340US290,341US494,23.0
340US315,341US494,25.0
341US123,341US494,13.0
341US223,341US494,12.0
332US218,341US593,11.0
332US319,341US593,13.0
332US392,341US593,15.0
333US287,341US593,10.0
334US100,341US593,10.0
334US110,341US593,13.0
334US131,341US593,12.0
337US293,341US593,10.0
340US76,341US593,12.0
331US586,341US609,14.0
329US249,341US622,15.0
330US1,341US622,10.0
330US75,341US622,12.0
330US422,341US622,12.0
333US507,341US622,16.0
334US558,341US622,17.0
336US77,341US622,32.0
336US490,341US622,13.0
336US525,341US622,22.0
337US1,341US622,13.0
339US382,341US622,18.0
340US268,341US622,24.0
340US290,341US622,21.0
340US315,341US622,14.0
341US494,341US622,24.0
341US70,341US651,13.0
341US675,341US694,10.0
339US382,341US716,19.0
341US494,341US716,12.0
337US541,342US1,11.0
331US145,342US48,21.0
333US10,342US48,27.0
334US699,342US48,20.0
335US451,342US48,31.0
338US25,342US48,16.0
338US160,342US48,20.0
339US56,342US48,26.0
332US46,342US55,12.0
332US596,342US55,17.0
338US49,342US55,22.0
338US68,342US55,11.0
334US672,342US104,10.0
339US200,342US104,10.0
338US25,342US117,10.0
334US131,342US143,13.0
334US219,342US143,12.0
334US495,342US143,13.0
332US46,342US165,29.0
333US257,342US165,10.0
338US25,342US165,25.0
338US49,342US165,11.0
339US56,342US165,12.0
332US174,342US205,20.0
334US266,342US205,13.0
339US200,342US205,13.0
337US682,342US299,15.0
332US1,342US337,11.0
333US507,342US337,10.0
336US169,342US382,14.0
329US249,342US389,11.0
341US622,342US389,13.0
335US525,342US421,16.0
330US75,342US485,13.0
333US507,342US485,10.0
339US382,342US485,15.0
341US494,342US485,14.0
341US716,342US485,17.0
335US160,342US524,14.0
341US123,342US524,15.0
341US494,342US524,12.0
335US160,342US580,13.0
339US382,342US580,12.0
341US123,342US580,11.0
342US524,342US580,18.0
330US258,343US1,11.0
333US257,343US1,12.0
339US542,343US99,11.0
332US596,343US181,15.0
338US49,343US181,19.0
342US55,343US181,13.0
330US75,343US250,14.0
331US367,343US250,13.0
332US46,343US250,19.0
333US507,343US250,33.0
334US558,343US250,15.0
335US106,343US250,14.0
336US77,343US250,38.0
336US490,343US250,20.0
337US1,343US250,23.0
339US382,343US250,36.0
340US268,343US250,23.0
340US290,343US250,19.0
340US315,343US250,15.0
341US494,343US250,47.0
341US622,343US250,22.0
330US1,343US306,26.0
333US203,343US306,27.0
336US77,343US451,10.0
333US683,343US470,10.0
334US37,343US470,10.0
330US75,343US495,11.0
333US507,343US495,25.0
334US558,343US495,17.0
335US106,343US495,14.0
336US77,343US495,33.0
336US490,343US495,10.0
337US1,343US495,14.0
339US382,343US495,21.0
340US268,343US495,27.0
340US290,343US495,22.0
340US315,343US495,12.0
341US494,343US495,28.0
341US622,343US495,17.0
343US250,343US495,26.0
333US103,343US579,13.0
331US145,343US747,10.0
333US10,343US747,11.0
335US451,343US747,10.0
338US25,343US747,15.0
339US56,343US747,11.0
330US75,344US183,16.0
339US382,344US183,17.0
341US123,344US183,18.0
341US494,344US183,13.0
341US716,344US183,20.0
342US485,344US183,19.0
330US75,344US237,11.0
339US306,344US293,10.0
333US683,344US392,14.0
332US46,344US443,13.0
332US134,344US443,10.0
332US174,344US443,20.0
332US261,344US443,14.0
332US463,344US443,12.0
332US596,344US443,18.0
332US708,344US443,10.0
332US742,344US443,10.0
333US257,344US443,10.0
333US640,344US443,14.0
334US266,344US443,12.0
334US672,344US443,21.0
338US49,344US443,22.0
338US68,344US443,10.0
339US200,344US443,32.0
339US282,344US443,10.0
342US55,344US443,20.0
342US104,344US443,13.0
342US205,344US443,15.0
343US181,344US443,19.0
336US440,344US604,10.0
333US507,345US41,14.0
336US77,345US41,10.0
339US382,345US41,16.0
341US494,345US41,15.0
343US250,345US41,11.0
343US495,345US41,11.0
336US490,345US192,14.0
339US460,345US192,11.0
339US470,345US192,12.0
339US532,345US192,11.0
341US494,345US192,10.0
338US537,345US206,12.0
342US524,345US206,11.0
342US580,345US206,13.0
344US590,345US206,12.0
332US507,345US295,12.0
338US464,345US295,10.0
329US362,345US361,11.0
340US47,345US361,10.0
334US62,345US379,11.0
333US507,345US395,14.0
334US558,345US395,22.0
336US77,345US395,29.0
337US1,345US395,13.0
339US382,345US395,19.0
340US268,345US395,28.0
340US290,345US395,23.0
340US315,345US395,16.0
341US494,345US395,20.0
341US622,345US395,14.0
343US250,345US395,17.0
343US495,345US395,16.0
334US541,345US528,12.0
332US463,345US559,17.0
339US282,345US559,15.0
332US218,345US594,14.0
332US392,345US594,19.0
333US287,345US594,12.0
333US364,345US594,10.0
333US683,345US594,10.0
334US100,345US594,15.0
334US110,345US594,12.0
334US131,345US594,24.0
334US219,345US594,12.0
334US495,345US594,20.0
337US293,345US594,22.0
340US211,345US594,12.0
342US143,345US594,15.0
340US36,345US629,12.0
334US37,346US61,10.0
332US46,346US156,20.0
332US596,346US156,20.0
332US742,346US156,14.0
333US257,346US156,10.0
333US640,346US156,14.0
334US1,346US156,11.0
335US410,346US156,10.0
338US25,346US156,10.0
338US49,346US156,27.0
338US62,346US156,11.0
338US68,346US156,13.0
342US55,346US156,23.0
342US165,346US156,12.0
343US181,346US156,17.0
344US443,346US156,30.0
334US1,346US249,11.0
341US123,346US249,16.0
332US258,346US379,10.0
330US767,346US485,11.0
331US218,346US485,11.0
336US245,346US485,12.0
336US301,346US485,11.0
339US454,346US485,12.0
340US383,346US485,13.0
340US268,346US587,11.0
343US495,346US587,14.0
340US474,347US17,11.0
333US10,347US62,10.0
345US361,347US81,13.0
331US145,347US128,24.0
332US46,347US128,11.0
333US10,347US128,22.0
