from,to,count
329US69,329US249,16
329US394,329US402,16
329US249,329US416,14
329US69,330US422,19
329US249,330US422,42
329US416,330US422,11
330US501,330US518,11
330US258,330US585,21
330US767,331US218,17
329US129,331US549,11
330US75,331US549,19
329US459,332US46,12
329US173,332US134,13
329US663,332US134,11
329US187,332US261,10
332US319,332US392,11
332US261,332US463,11
331US682,332US507,13
331US145,332US581,10
332US46,332US596,12
331US145,333US10,31
332US581,333US10,18
330US258,333US56,10
330US258,333US257,13
331US367,333US257,10
332US46,333US257,13
333US196,333US257,10
330US1,333US203,28
329US394,333US287,10
329US402,333US287,13
329US637,333US287,13
329US394,333US364,11
329US402,333US364,10
332US392,333US364,11
333US287,333US364,21
330US75,333US507,10
332US1,333US507,16
333US95,333US507,13
329US362,333US611,13
329US173,333US640,11
329US459,333US640,10
329US663,333US640,12
332US46,333US640,17
332US134,333US640,19
332US708,333US640,12
332US46,334US1,11
333US683,334US37,10
329US69,334US62,10
332US218,334US100,13
332US392,334US110,13
334US100,334US110,15
332US218,334US131,10
332US319,334US131,12
332US392,334US131,22
333US287,334US131,17
333US364,334US131,10
334US100,334US131,20
334US110,334US131,19
332US218,334US219,12
332US633,334US410,18
334US385,334US410,12
332US218,334US495,12
332US392,334US495,11
334US100,334US495,15
334US110,334US495,12
334US131,334US495,19
334US219,334US495,11
334US343,334US541,11
330US75,334US558,10
333US507,334US558,19
329US249,334US653,19
330US422,334US653,18
329US663,334US672,11
332US134,334US672,14
332US174,334US672,18
333US640,334US672,15
331US145,334US699,28
332US581,334US699,13
333US10,334US699,34
329US69,335US80,13
329US249,335US80,31
329US416,335US80,13
330US422,335US80,23
334US653,335US80,10
330US75,335US106,13
333US507,335US106,10
332US134,335US437,13
333US640,335US437,18
331US145,335US451,28
333US10,335US451,43
334US699,335US451,28
335US632,335US701,20
330US767,336US18,10
329US649,336US53,11
330US1,336US77,14
330US75,336US77,20
331US367,336US77,11
332US46,336US77,11
333US507,336US77,26
334US558,336US77,31
335US106,336US77,15
329US565,336US132,10
329US249,336US169,14
330US422,336US169,12
330US767,336US245,13
329US211,336US440,13
330US75,336US490,13
333US507,336US490,14
336US77,336US490,17
329US69,336US525,10
329US249,336US525,28
330US422,336US525,17
331US218,336US525,14
332US507,336US525,11
334US385,336US525,17
335US80,336US525,18
330US767,336US725,16
331US218,336US725,17
336US525,336US725,12
331US145,336US793,10
330US75,337US1,11
333US507,337US1,15
334US558,337US1,13
335US106,337US1,14
336US77,337US1,23
336US490,337US1,11
329US69,337US154,10
336US53,337US163,12
332US218,337US293,11
332US392,337US293,21
333US287,337US293,10
334US100,337US293,10
334US110,337US293,12
334US131,337US293,19
334US495,337US293,21
332US507,337US498,11
337US530,337US535,11
331US642,337US582,10
329US69,337US662,12
329US249,337US662,19
330US422,337US662,17
334US653,337US662,11
335US80,337US662,25
336US525,337US662,12
330US731,337US682,26
334US672,337US773,10
331US145,338US25,15
332US46,338US25,23
333US10,338US25,28
334US699,338US25,15
335US451,338US25,20
331US145,338US74,10
332US46,338US49,13
332US596,338US49,26
332US742,338US49,13
332US596,338US62,13
338US49,338US62,17
332US596,338US68,14
338US49,338US68,20
338US62,338US68,17
331US145,338US160,17
332US581,338US160,16
333US10,338US160,41
334US699,338US160,16
335US451,338US160,19
338US25,338US160,20
333US364,338US338,11
336US53,338US430,10
337US163,338US430,10
331US682,338US464,10
332US507,338US464,13
337US498,338US464,10
331US145,339US56,39
332US581,339US56,14
333US10,339US56,44
334US699,339US56,32
335US451,339US56,33
336US793,339US56,11
338US25,339US56,22
338US74,339US56,12
338US160,339US56,30
332US174,339US200,14
334US266,339US200,10
334US672,339US200,19
332US463,339US282,21
330US1,339US382,17
330US75,339US382,25
331US549,339US382,10
332US46,339US382,10
333US203,339US382,10
333US507,339US382,26
334US558,339US382,17
335US106,339US382,18
336US77,339US382,39
336US490,339US382,12
337US1,339US382,23
330US767,339US454,10
336US245,339US454,12
336US490,339US460,19
336US490,339US470,14
339US460,339US470,18
332US218,339US485,10
334US219,339US485,11
336US490,339US532,12
339US460,339US532,15
339US470,339US532,14
332US495,339US542,17
339US306,339US594,10
332US631,339US629,11
339US629,339US637,14
332US134,339US660,12
333US640,339US660,15
335US437,339US660,12
332US19,339US699,18
332US19,339US707,18
339US699,339US707,13
329US637,339US827,16
333US287,339US827,16
333US364,339US827,10
332US319,340US76,12
332US392,340US76,13
333US287,340US76,13
333US364,340US76,14
334US110,340US76,12
334US131,340US76,15
337US293,340US76,10
339US827,340US76,10
331US284,340US216,14
334US37,340US231,11
330US1,340US268,18
330US75,340US268,12
333US203,340US268,10
333US507,340US268,18
334US558,340US268,32
336US77,340US268,38
336US106,340US268,10
337US1,340US268,20
339US382,340US268,22
330US75,340US290,11
333US507,340US290,21
334US558,340US290,32
336US77,340US290,31
337US1,340US290,15
339US382,340US290,22
340US268,340US290,33
333US507,340US315,15
334US558,340US315,15
336US77,340US315,19
337US1,340US315,13
339US382,340US315,20
340US268,340US315,23
340US290,340US315,17
336US525,340US349,16
337US137,340US367,15
340US159,340US367,10
330US767,340US383,14
336US245,340US383,15
339US454,340US383,16
329US69,340US511,15
329US249,340US534,12
329US249,340US602,23
329US416,340US602,10
330US422,340US602,14
334US653,340US602,15
335US80,340US602,16
336US525,340US602,11
337US662,340US602,15
341US58,341US70,10
341US70,341US97,12
330US75,341US123,14
330US127,341US123,11
333US257,341US123,10
337US265,341US123,12
337US682,341US123,10
339US306,341US123,12
339US382,341US123,19
339US594,341US123,13
