usid,term,chief,name,issue,issue_description,liberal_flag,precedent
347US483,1953,Warren,BROWN et al. v. BOARD OF EDUCATION OF TOPEKA et al.,20050,"desegregation, schools",1,1
499US400,1990,Rehnquist,POWERS v. OHIO,20040,"desegregation (other than as pertains to school desegregation, employment discrimination, and affirmative action)",1,0
392US409,1967,Warren,JONES ET UX. v. ALFRED H. MAYER CO. et al.,20040,"desegregation (other than as pertains to school desegregation, employment discrimination, and affirmative action)",1,1
429US252,1976,Burger,VILLAGE OF ARLINGTON HEIGHTS et al. v. METROPOLITAN HOUSING DEVELOPMENT CORP. et al.,20040,"desegregation (other than as pertains to school desegregation, employment discrimination, and affirmative action)",0,0
347US475,1953,Warren,HERNANDEZ v. TEXAS,20040,"desegregation (other than as pertains to school desegregation, employment discrimination, and affirmative action)",1,0
398US144,1969,Burger,ADICKES v. S. H. KRESS & CO.,20040,"desegregation (other than as pertains to school desegregation, employment discrimination, and affirmative action)",0,0
403US217,1970,Burger,"PALMER et al. v. THOMPSON, MAYOR OF THE CITY OF JACKSON, et al.",20040,"desegregation (other than as pertains to school desegregation, employment discrimination, and affirmative action)",0,0
379US184,1964,Warren,MCLAUGHLIN et al. v. FLORIDA,20040,"desegregation (other than as pertains to school desegregation, employment discrimination, and affirmative action)",1,0
402US1,1970,Burger,SWANN et al. v. CHARLOTTE-MECKLENBURG BOARD OF EDUCATION et al.,20050,"desegregation, schools",1,0
334US1,1947,Vinson,SHELLEY ET UX. v. KRAEMER ET UX.,20040,"desegregation (other than as pertains to school desegregation, employment discrimination, and affirmative action)",1,0
391US430,1967,Warren,GREEN et al. v. COUNTY SCHOOL BOARD OF NEW KENT COUNTY et al.,20050,"desegregation, schools",1,0
405US625,1971,Burger,ALEXANDER v. LOUISIANA,20040,"desegregation (other than as pertains to school desegregation, employment discrimination, and affirmative action)",1,0
433US267,1976,Burger,"MILLIKEN, GOVERNOR OF MICHIGAN, et al. v. BRADLEY et al.",20050,"desegregation, schools",1,0
402US43,1970,Burger,NORTH CAROLINA STATE BOARD OF EDUCATION et al. v. SWANN et al.,20050,"desegregation, schools",1,0
339US629,1949,Vinson,SWEATT v. PAINTER et al.,20050,"desegregation, schools",1,0
379US241,1964,Warren,"HEART OF ATLANTA MOTEL, INC. v. UNITED STATES et al.",20040,"desegregation (other than as pertains to school desegregation, employment discrimination, and affirmative action)",1,0
380US202,1964,Warren,SWAIN v. ALABAMA,20040,"desegregation (other than as pertains to school desegregation, employment discrimination, and affirmative action)",0,0
365US715,1960,Warren,BURTON v. WILMINGTON PARKING AUTHORITY et al.,20040,"desegregation (other than as pertains to school desegregation, employment discrimination, and affirmative action)",1,0
413US189,1972,Burger,"KEYES et al. v. SCHOOL DISTRICT NO. 1, DENVER, COLORADO, et al.",20050,"desegregation, schools",1,0
443US449,1978,Burger,COLUMBUS BOARD OF EDUCATION et al. v. PENICK et al.,20050,"desegregation, schools",1,0
500US614,1990,Rehnquist,"THADDEUS DONALD EDMONSON v. LEESVILLE CONCRETE CO., INC.",20040,"desegregation (other than as pertains to school desegregation, employment discrimination, and affirmative action)",1,0
430US482,1976,Burger,"CASTANEDA, SHERIFF v. PARTIDA",20040,"desegregation (other than as pertains to school desegregation, employment discrimination, and affirmative action)",1,0
349US294,1954,Warren,BROWN et al. v. BOARD OF EDUCATION OF TOPEKA et al.,20050,"desegregation, schools",1,0
418US717,1973,Burger,"MILLIKEN, GOVERNOR OF MICHIGAN, et al. v. BRADLEY et al.",20050,"desegregation, schools",0,0
373US526,1962,Warren,WATSON et al. v. CITY OF MEMPHIS et al.,20040,"desegregation (other than as pertains to school desegregation, employment discrimination, and affirmative action)",1,0
332US463,1947,Vinson,PATTON v. MISSISSIPPI,20040,"desegregation (other than as pertains to school desegregation, employment discrimination, and affirmative action)",1,0
427US160,1975,Burger,"RUNYON ET UX., DBA BOBBE'S SCHOOL v. MCCRARY et al.",20050,"desegregation, schools",1,0
476US79,1985,Burger,BATSON v. KENTUCKY,20040,"desegregation (other than as pertains to school desegregation, employment discrimination, and affirmative action)",1,1
500US352,1990,Rehnquist,DIONISIO HERNANDEZ v. NEW YORK,20040,"desegregation (other than as pertains to school desegregation, employment discrimination, and affirmative action)",0,0
346US249,1952,Vinson,BARROWS ET AL. v. JACKSON,20040,"desegregation (other than as pertains to school desegregation, employment discrimination, and affirmative action)",1,0
387US369,1966,Warren,REITMAN et al. v. MULKEY et al.,20040,"desegregation (other than as pertains to school desegregation, employment discrimination, and affirmative action)",1,0
505US42,1991,Rehnquist,"GEORGIA v. THOMAS MCCOLLUM, WILLIAM JOSEPH MCCOLLUM AND ELLA HAMPTON MCCOLLUM",20040,"desegregation (other than as pertains to school desegregation, employment discrimination, and affirmative action)",1,0
396US320,1969,Burger,CARTER et al. v. JURY COMMISSION OF GREENE COUNTY et al.,20040,"desegregation (other than as pertains to school desegregation, employment discrimination, and affirmative action)",0,0
433US406,1976,Burger,DAYTON BOARD OF EDUCATION et al. v. BRINKMAN et al.,20050,"desegregation, schools",0,0
377US218,1963,Warren,GRIFFIN et al. v. COUNTY SCHOOL BOARD OF PRINCE EDWARD COUNTY et al.,20050,"desegregation, schools",1,0
373US683,1962,Warren,"GOSS et al. v. BOARD OF EDUCATION OF KNOXVILLE, TENNESSEE, et al.",20050,"desegregation, schools",1,0
407US451,1971,Burger,WRIGHT et al. v. COUNCIL OF THE CITY OF EMPORIA et al.,20050,"desegregation, schools",1,0
503US467,1991,Rehnquist,"ROBERT R. FREEMAN, et al. v. WILLIE EUGENE PITTS, et al.",20050,"desegregation, schools",0,0
407US163,1971,Burger,MOOSE LODGE NO. 107 v. IRVIS et al.,20040,"desegregation (other than as pertains to school desegregation, employment discrimination, and affirmative action)",0,0
515US70,1994,Rehnquist,"MISSOURI, et al. v. KALIMA JENKINS, et al.",20050,"desegregation, schools",0,0
347US497,1953,Warren,BOLLING et al. v. SHARPE et al.,20050,"desegregation, schools",1,0
356US584,1957,Warren,EUBANKS v. LOUISIANA,20040,"desegregation (other than as pertains to school desegregation, employment discrimination, and affirmative action)",1,0
505US717,1991,Rehnquist,"UNITED STATES v. KIRK FORDICE, GOVERNOR OF MISSISSIPPI, et al.",20050,"desegregation, schools",1,0
443US526,1978,Burger,DAYTON BOARD OF EDUCATION et al. v. BRINKMAN et al.,20050,"desegregation, schools",1,0
