length_of_stay,age,irisk,culture_ratio,xray_ratio,beds,school,region,patients,nurses,services
7.13,55.7,4.1,9.0,39.6,279,0.0,west,207,241,60.0
8.82,58.2,1.6,3.8,51.7,80,0.0,northcentral,51,52,40.0
8.34,56.9,2.7,8.1,74.0,107,0.0,south,82,54,20.0
8.95,53.7,5.6,18.9,122.8,147,0.0,west,53,148,40.0
11.2,56.5,5.7,34.5,88.9,180,0.0,northeast,134,151,40.0
9.76,50.9,5.1,21.9,97.0,150,0.0,northcentral,147,106,40.0
9.68,57.8,4.6,16.7,79.0,186,0.0,south,151,129,40.0
11.18,45.7,5.4,60.5,85.8,640,1.0,northcentral,399,360,60.0
8.67,48.2,4.3,24.4,90.8,182,0.0,south,130,118,40.0
8.84,56.3,6.3,29.6,82.6,85,0.0,northeast,59,66,40.0
11.07,53.2,4.9,28.5,122.0,768,1.0,northeast,591,656,80.0
8.3,57.2,4.3,6.8,83.8,167,0.0,south,105,59,40.0
12.78,56.8,7.7,46.0,116.9,322,1.0,northeast,252,349,57.1
7.58,56.7,3.7,20.8,88.0,97,0.0,northcentral,59,79,37.1
9.0,56.3,4.2,14.6,76.4,72,0.0,south,61,38,17.1
11.08,50.2,5.5,18.6,63.6,387,0.0,south,326,405,57.1
8.28,48.1,4.5,26.0,101.8,108,0.0,west,84,73,37.1
11.62,53.9,6.4,25.5,99.2,133,0.0,northeast,113,101,37.1
9.06,52.8,4.2,6.9,75.9,134,0.0,northcentral,103,125,37.1
9.35,53.8,4.1,15.9,80.9,833,0.0,south,547,519,77.1
7.53,42.0,4.2,23.1,98.9,95,0.0,west,47,49,17.1
10.24,49.0,4.8,36.3,112.6,195,0.0,northcentral,163,170,37.1
9.78,52.3,5.0,17.6,95.9,270,1.0,northeast,240,198,57.1
9.84,62.2,4.8,12.0,82.3,600,0.0,south,468,497,57.1
9.2,52.2,4.0,17.5,71.1,298,1.0,west,244,236,57.1
8.28,49.5,3.9,12.0,113.1,546,1.0,northcentral,413,436,57.1
9.31,47.2,4.5,30.2,101.3,170,0.0,northeast,124,173,37.1
8.19,52.1,3.2,10.8,59.2,176,0.0,northeast,156,88,37.1
11.65,54.5,4.4,18.6,96.1,248,0.0,northeast,217,189,37.1
9.89,50.5,4.9,17.7,103.6,167,0.0,northcentral,113,106,37.1
