age,black,clerical,construc,educ,earns74,gdhlth,inlf,sleep,slpnaps,spsepay,totwrk,union,yrsmarr
32,0,0.0,0.0,12,0,0,1,3113,3163,0,3438,0,13
31,0,0.0,0.0,14,9500,1,1,2920,2920,0,5020,0,0
44,0,0.0,0.0,17,42500,1,1,2670,2760,20000,2815,0,0
30,0,0.0,0.0,12,42500,1,1,3083,3083,5000,3786,0,12
64,0,0.0,0.0,14,2500,1,1,3448,3493,2400,2580,0,33
41,0,0.0,0.0,12,0,1,1,4063,4078,0,1205,0,23
35,0,0.0,0.0,12,8250,1,1,3180,3810,12000,2113,0,0
47,0,0.0,0.0,13,0,1,1,2928,3003,0,3608,0,24
32,0,0.0,0.0,17,18750,1,1,3368,3368,0,2353,1,11
30,0,0.0,0.0,15,11750,1,1,3018,3168,6000,2851,0,7
43,0,0.0,0.0,8,21250,1,1,1575,1988,0,6415,0,23
23,0,0.0,0.0,16,1000,1,1,3295,3355,3000,370,0,4
24,0,0.0,0.0,16,1000,1,1,3798,3798,3000,2438,0,4
48,0,0.0,0.0,5,18750,1,1,3008,3008,6000,2693,0,0
33,0,0.0,0.0,12,6750,1,1,3248,3248,9000,2526,0,9
23,0,0.0,0.0,12,4500,0,1,3683,3683,5000,2950,0,4
46,0,0.0,0.0,17,32500,1,1,3201,3201,3000,3003,0,21
37,0,0.0,0.0,14,13750,1,1,2580,2580,1000,4011,0,17
53,0,0.0,0.0,12,0,1,1,3420,3525,0,2300,0,26
45,0,0.0,0.0,17,42500,1,1,3090,3090,0,1543,0,22
46,0,0.0,0.0,17,42500,1,1,2760,2760,0,3473,0,0
40,0,0.0,0.0,13,18750,1,1,2880,3030,8300,3276,0,0
53,0,0.0,0.0,12,11750,1,1,3470,3560,5200,2506,0,31
29,0,0.0,0.0,13,16250,1,1,2673,2673,0,2651,1,0
29,0,0.0,0.0,12,6750,1,1,2820,2850,8400,4580,0,4
53,0,0.0,0.0,12,13750,1,1,2873,3243,12000,3588,1,0
