match,decision,decision_partner,male_flag,samerace,age,age_partner,goal_code,date_frequency,go_out_frequency,expected_happy,score_attractive,score_sincere,score_intelligence,score_fun,score_ambition,score_interest,score_overall,score_prob_match
0,1,0,0,0,21,27,2,7,1,3,6.0,9.0,7.0,7.0,6.0,5.0,7.0,6.0
0,1,0,0,0,21,22,2,7,1,3,7.0,8.0,7.0,8.0,5.0,6.0,7.0,5.0
1,1,1,0,0,21,23,2,7,1,3,7.0,6.0,8.0,7.0,6.0,8.0,7.0,6.0
1,1,1,0,0,21,24,2,7,1,3,5.0,6.0,7.0,7.0,6.0,6.0,6.0,6.0
0,0,1,0,0,21,25,2,7,1,3,4.0,9.0,7.0,4.0,6.0,4.0,6.0,5.0
0,1,0,0,0,21,30,2,7,1,3,7.0,6.0,7.0,4.0,6.0,7.0,6.0,5.0
0,0,0,0,0,21,27,2,7,1,3,4.0,9.0,7.0,6.0,5.0,6.0,6.0,7.0
1,1,1,0,0,21,28,2,7,1,3,7.0,6.0,8.0,9.0,8.0,8.0,7.0,7.0
0,1,0,0,0,21,24,2,7,1,3,5.0,6.0,6.0,8.0,10.0,8.0,6.0,6.0
0,0,0,0,1,24,27,1,5,1,4,5.0,7.0,8.0,4.0,6.0,3.0,6.0,4.0
0,0,0,0,1,24,22,1,5,1,4,8.0,5.0,6.0,6.0,9.0,6.0,7.0,3.0
0,0,1,0,0,24,22,1,5,1,4,5.0,8.0,9.0,6.0,3.0,4.0,6.0,7.0
1,1,1,0,1,24,23,1,5,1,4,7.0,9.0,7.0,6.0,5.0,7.0,7.0,8.0
0,0,1,0,0,24,24,1,5,1,4,6.0,8.0,7.0,9.0,7.0,8.0,8.0,6.0
0,0,1,0,1,24,25,1,5,1,4,8.0,7.0,8.0,3.0,6.0,2.0,6.0,5.0
0,1,0,0,1,24,30,1,5,1,4,7.0,5.0,9.0,6.0,7.0,9.0,8.0,7.0
0,0,1,0,1,24,27,1,5,1,4,5.0,8.0,7.0,5.0,9.0,5.0,5.0,6.0
1,1,1,0,1,24,28,1,5,1,4,7.0,6.0,8.0,9.0,4.0,5.0,5.0,6.0
0,1,0,0,1,24,24,1,5,1,4,6.0,7.0,8.0,7.0,9.0,8.0,8.0,7.0
0,0,0,0,1,25,27,6,3,1,4,7.0,9.0,10.0,7.0,8.0,9.0,8.0,7.0
0,0,0,0,1,25,22,6,3,1,4,9.0,7.0,9.0,8.0,9.0,7.0,8.0,7.0
0,0,1,0,0,25,22,6,3,1,4,7.0,9.0,9.0,7.0,9.0,7.0,8.0,7.0
0,0,1,0,1,25,23,6,3,1,4,9.0,7.0,9.0,7.0,9.0,7.0,8.0,7.0
0,0,0,0,1,25,30,6,3,1,4,8.0,9.0,10.0,7.0,7.0,9.0,8.0,7.0
0,0,0,0,1,25,27,6,3,1,4,7.0,9.0,9.0,8.0,9.0,7.0,8.0,7.0
0,0,1,0,1,25,28,6,3,1,4,9.0,9.0,9.0,9.0,9.0,9.0,9.0,7.0
0,0,0,0,1,25,24,6,3,1,4,8.0,7.0,9.0,7.0,9.0,7.0,8.0,7.0
0,0,0,0,1,23,27,1,5,1,1,4.0,10.0,8.0,5.0,8.0,7.0,6.0,7.0
0,0,0,0,1,23,22,1,5,1,1,8.0,7.0,8.0,10.0,7.0,8.0,8.0,1.0
0,0,1,0,0,23,22,1,5,1,1,4.0,7.0,8.0,8.0,6.0,7.0,4.0,1.0
1,1,1,0,1,23,23,1,5,1,1,8.0,10.0,7.0,10.0,7.0,10.0,8.0,10.0
0,0,1,0,0,23,24,1,5,1,1,6.0,9.0,8.0,9.0,8.0,9.0,7.0,7.0
0,0,1,0,1,23,25,1,5,1,1,5.0,10.0,8.0,4.0,8.0,2.0,4.0,3.0
0,0,1,0,1,23,30,1,5,1,1,7.0,10.0,10.0,7.0,10.0,5.0,5.0,1.0
0,0,0,0,1,23,27,1,5,1,1,5.0,9.0,9.0,5.0,9.0,7.0,6.0,6.0
1,1,1,0,1,23,28,1,5,1,1,9.0,8.0,10.0,10.0,7.0,8.0,8.0,8.0
0,1,0,0,1,23,24,1,5,1,1,8.0,9.0,10.0,10.0,8.0,8.0,10.0,8.0
0,0,0,0,1,21,27,2,4,1,7,5.0,8.0,8.0,2.0,2.0,2.0,7.0,5.0
0,0,0,0,1,21,22,2,4,1,7,8.0,6.0,6.0,5.0,5.0,5.0,6.0,4.0
0,0,1,0,0,21,22,2,4,1,7,4.0,6.0,8.0,8.0,6.0,5.0,6.0,5.0
1,1,1,0,1,21,23,2,4,1,7,8.0,5.0,5.0,7.0,7.0,9.0,8.0,2.0
0,0,0,0,0,21,24,2,4,1,7,6.0,7.0,7.0,5.0,4.0,8.0,7.0,4.0
0,1,0,0,1,21,25,2,4,1,7,5.0,6.0,7.0,5.0,7.0,8.0,7.0,3.0
0,1,0,0,1,21,30,2,4,1,7,6.0,6.0,8.0,5.0,5.0,6.0,6.0,3.0
0,1,0,0,1,21,27,2,4,1,7,5.0,5.0,7.0,6.0,7.0,5.0,6.0,4.0
1,1,1,0,1,21,28,2,4,1,7,7.0,5.0,7.0,8.0,7.0,9.0,9.0,4.0
