season,series,city,country,year,month,day,round,group,num_skater,name,nationality,rank_in_group,start_position,time,qualification,rank_lap1,time_lap1,rank_lap2,time_lap2,rank_lap3,time_lap3,rank_lap4,time_lap4,rank_lap5,time_lap5,time_event
2012/2013,World Cup,Calgary,CAN,2012,10,19,Preliminaries,1,175,Vladimir GRIGOREV,RUS,1,4,40.344,Q,3,6.91,1,8.47,1,8.2,1,8.26,1,8.51,2012.8
2012/2013,World Cup,Calgary,CAN,2012,10,19,Preliminaries,1,100,HAMELIN Francois,CAN,2,2,40.443,Q,1,6.69,2,8.78,2,8.25,2,8.24,2,8.49,2012.8
2012/2013,World Cup,Calgary,CAN,2012,10,19,Preliminaries,1,138,Anthony LOBELLO,ITA,3,1,42.024,q,2,6.87,3,9.05,3,8.51,3,8.68,3,8.92,2012.8
2012/2013,World Cup,Calgary,CAN,2012,10,19,Preliminaries,1,182,Myukerrem TOP,TUR,4,5,44.081,NA,5,7.3,4,9.7,4,8.96,4,8.97,4,9.16,2012.8
2012/2013,World Cup,Calgary,CAN,2012,10,19,Preliminaries,1,92,Ronald CALDECUTT,AUS,NA,3,NA,PEN,4,7.0,5,18.98,5,10.55,5,10.02,NA,NA,2012.8
2012/2013,World Cup,Calgary,CAN,2012,10,19,Preliminaries,2,190,J R CELSKI,USA,1,2,40.502,Q,1,6.69,1,8.66,1,8.25,1,8.33,1,8.58,2012.8
2012/2013,World Cup,Calgary,CAN,2012,10,19,Preliminaries,2,180,BLACKBURN Mackenzie,TPE,2,3,41.714,Q,2,6.8,2,8.81,2,8.43,2,8.54,2,9.14,2012.8
2012/2013,World Cup,Calgary,CAN,2012,10,19,Preliminaries,2,149,BEKZHANOV Aydar,KAZ,3,5,41.78,q,5,7.2,4,8.74,4,8.36,4,8.46,3,9.02,2012.8
2012/2013,World Cup,Calgary,CAN,2012,10,19,Preliminaries,2,183,Valentyn DANILOVSKYI,UKR,4,4,42.857,NA,4,7.03,5,9.11,5,8.66,5,8.87,4,9.19,2012.8
2012/2013,World Cup,Calgary,CAN,2012,10,19,Preliminaries,2,120,Paul STANLEY,GBR,NA,1,NA,PEN,3,6.93,3,8.79,3,8.35,3,8.52,NA,NA,2012.8
2012/2013,World Cup,Calgary,CAN,2012,10,19,Preliminaries,3,106,LIANG Wenhao,CHN,1,1,41.52,Q,1,6.97,1,8.86,1,8.39,1,8.55,1,8.75,2012.8
2012/2013,World Cup,Calgary,CAN,2012,10,19,Preliminaries,3,141,Takayuki MURATAKE,JPN,2,5,42.069,Q,5,7.39,3,9.06,3,8.55,3,8.41,2,8.66,2012.8
2012/2013,World Cup,Calgary,CAN,2012,10,19,Preliminaries,3,168,Adam FILIPOWICZ,POL,3,3,43.057,NA,2,7.03,2,9.02,2,8.5,2,8.65,3,9.86,2012.8
2012/2013,World Cup,Calgary,CAN,2012,10,19,Preliminaries,3,184,Viktor KOROLOV,UKR,4,4,43.567,NA,3,7.22,4,9.36,4,8.84,4,8.95,4,9.2,2012.8
2012/2013,World Cup,Calgary,CAN,2012,10,19,Preliminaries,3,160,Jekabs SAULITIS,LAT,5,2,44.283,NA,4,7.23,5,9.43,5,9.08,5,9.13,5,9.42,2012.8
2012/2013,World Cup,Calgary,CAN,2012,10,19,Preliminaries,4,101,Olivier JEAN,CAN,1,3,41.093,Q,1,6.84,1,8.87,1,8.28,1,8.43,1,8.68,2012.8
2012/2013,World Cup,Calgary,CAN,2012,10,19,Preliminaries,4,146,WATANABE Keita,JPN,2,1,42.653,Q,2,7.1,2,9.14,2,8.65,2,8.76,2,9.01,2012.8
2012/2013,World Cup,Calgary,CAN,2012,10,19,Preliminaries,4,114,JEANNE Vincent,FRA,3,2,42.954,NA,3,7.19,3,9.24,3,8.7,3,8.86,3,8.97,2012.8
2012/2013,World Cup,Calgary,CAN,2012,10,19,Preliminaries,4,129,BURJAN Csaba,HUN,4,4,43.418,NA,5,7.46,5,9.16,5,8.7,5,8.88,4,9.22,2012.8
