name,type,score,price,num_reviews
irish_breakfast,black,96,10,3675
earl_grey_bravo,black,95,10,3520
golden_monkey,black,95,27,1125
black_dragon_pearls,black,96,32,1748
yunnan_noir,black,95,17,988
earl_grey_moonlight,black,95,10,2510
english_breakfast,black,93,17,1008
keemun_concerto,black,92,17,499
yunnan_gold,black,95,40,1094
ceylon_sonata,black,94,12,1525
earl_grey_lavender,black,94,10,1638
yunnan_jig,black,95,17,923
assam_harmony,black,93,27,492
lapsang_souchong,black,90,12,1160
assam_melody,black,94,12,1029
darjeeling_no2,black,94,34,497
darjeeling_no22,black,94,17,852
fujian_baroque,black,94,12,566
keemun_encore,black,93,47,150
golden_spring,black,94,32,331
rwanda_rukeri,black,91,8,317
darjeeling_spring,black,92,25,144
mambo,black,93,20,419
ceylon_waltz,black,92,15,194
earl_grey_bella_luna,black,96,19,166
red_bloom,black,92,100,176
keemun_rhapsody,black,92,32,124
pu_erh_hazelberry,pu_erh,94,15,830
pu_erh_poe,pu_erh,89,37,364
pu_erh_pearls,pu_erh,94,30,210
pu_erh_dante,pu_erh,89,17,642
pu_erh_chorange,pu_erh,93,15,569
pu_erh_spice,pu_erh,92,15,391
pu_erh_tahiti,pu_erh,90,15,308
pumpkin_spice,flavors,90,10,1056
apricot,flavors,94,10,644
cream,flavors,93,10,2069
vanilla,flavors,93,10,1452
mango,flavors,94,10,1040
coconut,flavors,93,10,1438
chestnut,flavors,95,10,922
cinnamon,flavors,92,10,823
raspberry,flavors,93,10,844
strawberry,flavors,93,10,950
caramel,flavors,92,10,1259
candy_cane,flavors,94,10,871
hazelnut,flavors,94,10,971
peach,flavors,95,10,976
ginger_peach,flavors,91,10,768
almond,flavors,92,10,888
passionfruit,flavors,92,10,653
summer_rose,flavors,94,10,881
orange,flavors,91,10,490
candy_apple,flavors,89,10,575
chocolate,flavors,90,10,898
tiger_eye,flavors,93,10,898
forest_berries,flavors,92,10,634
christmas,flavors,92,10,1502
oriental_spice,flavors,92,10,1118
blueberry,flavors,93,10,886
ginger,flavors,89,10,626
currant,flavors,91,10,461
valentines,flavors,93,10,2073
blackberry,flavors,92,10,754
cherry,flavors,88,10,523
hibiscus,flavors,91,10,532
gingerbread,flavors,90,10,630
lemon_soleil,flavors,91,10,677
pomegranate,flavors,90,10,409
cranberry,flavors,91,10,320
chocolate_chip,flavors,92,10,964
grapefruit,flavors,92,10,377
masala_chai,chai,95,12,2425
rooibos_vanilla_chai,chai,95,12,1560
honeybush_pumpkin_chai,chai,92,12,278
chocolate_chai,chai,92,12,1372
spiced_apple_chai,chai,93,12,1494
thai_chai,chai,94,12,1551
green_chai,chai,93,12,498
gaucho_mate_chai,chai,94,12,25
white_chai,chai,92,12,422
peach_oolong,oolong,95,15,1356
jade_oolong,oolong,94,20,745
ti_kuan_yin,oolong,94,32,505
ali_shan,oolong,95,47,371
almond_oolong,oolong,92,15,1419
milk_oolong,oolong,92,50,116
ooooh_darjeeling,oolong,94,39,684
vanilla_oolong,oolong,94,15,870
coconut_pouchong,oolong,93,29,519
fujian_rain,oolong,94,19,395
formosa_fancy,oolong,94,45,508
grapefruit_oolong,oolong,93,15,550
pouchong,oolong,93,34,489
dancong_aria,oolong,94,34,328
wuyi_ensemble,oolong,93,39,467
formosa,oolong,92,15,851
silver_needle,white,95,64,963
jasmine_silver_needle,white,96,49,678
white_symphony,white,94,32,577
white_peach,white,95,19,1669
white_strawberry,white,94,19,488
white_peony,white,93,25,1113
white_blueberry,white,94,19,1353
white_eternal_spring,white,92,19,340
white_pear,white,91,19,814
white_darjeeling,white,94,46,107
white_fuzzy_navel,white,93,19,17
white_grapefruit,white,92,19,379
white_pearls,white,92,20,49
white_tropics,white,90,19,620
white_tangerine,white,90,19,495
snowbud,white,93,32,575
white_cucumber,white,88,19,521
dragon_pearl,green,96,32,1801
gunpowder,green,94,10,1745
genmai_cha,green,94,15,1317
dragonwell,green,93,37,770
jasmine_yin_hao,green,94,17,1042
sencha_premier,green,93,25,332
citron_green,green,95,12,1693
gyokuro,green,93,40,470
sleeping_dragon,green,92,12,816
mango_green,green,94,12,713
apricot_green,green,94,12,1244
casablanca_twist,green,95,19,1441
kukicha,green,93,17,569
pomegranate_green,green,91,12,630
sencha,green,93,20,470
vanilla_green,green,93,12,879
cocomint_green,green,92,12,1052
cherry_green,green,89,12,638
jasmine,green,93,12,768
raspberry_green,green,93,12,549
white_monkey,green,93,24,986
ginseng_green,green,91,12,598
green_pekoe,green,92,19,372
earl_grey_green,green,93,12,668
mandarin_green,green,91,12,574
calypso_green,green,94,12,370
hunan_gold,green,95,32,182
jade_snail,green,93,22,158
