state,admn90,admn85,open90,open85,dthrte90,dthrte85,speed90
AL,0,0,0,0,2.6,2.9,1
AK,1,1,1,0,2.1,3.2,0
AZ,1,0,0,0,2.5,4.4,1
AR,0,0,0,0,2.9,3.4,1
CA,1,0,1,1,2.0,2.6,1
CO,1,1,0,0,1.9,2.4,1
CT,1,0,0,0,1.5,2.0,0
DE,1,1,0,0,2.2,2.2,0
DC,1,1,0,0,1.6,3.0,0
FL,1,0,1,0,2.7,3.4,1
GA,0,0,0,0,2.0,2.7,1
HI,0,0,1,1,2.3,2.0,0
ID,0,0,1,1,2.9,3.5,1
IL,1,0,1,1,1.9,2.3,1
IN,1,1,0,0,1.8,2.6,1
IA,1,1,1,1,2.1,2.4,1
KS,1,0,1,1,2.1,2.6,1
KY,0,0,0,0,2.6,2.6,1
LA,1,1,0,0,2.5,3.0,1
ME,1,1,0,0,1.8,2.4,1
MD,1,0,1,1,1.9,2.3,0
MA,0,0,0,0,1.3,1.9,0
MI,0,0,1,1,1.9,2.4,1
MN,1,1,1,1,1.5,2.0,1
MS,1,1,0,0,3.2,3.6,1
MO,1,1,0,0,2.3,2.6,1
MT,0,0,1,1,2.5,3.1,1
NE,0,0,0,0,1.9,2.1,1
NV,1,1,0,0,3.6,3.9,1
NH,0,0,0,0,1.6,2.6,1
NJ,0,0,0,0,1.5,1.9,0
NM,1,1,1,0,3.1,4.2,1
NY,0,0,0,0,2.0,2.3,0
NC,1,1,1,1,2.3,3.1,1
ND,1,1,1,1,1.9,2.2,1
OH,0,0,0,0,1.8,2.1,1
OK,1,1,1,1,2.0,2.5,1
OR,1,1,1,1,2.2,2.8,1
PA,0,0,0,0,1.9,2.4,0
RI,0,0,0,0,1.3,2.1,0
SC,0,0,1,1,2.9,3.5,1
SD,0,0,1,1,2.3,2.3,1
TN,0,0,0,0,2.6,3.4,1
TX,0,0,0,0,2.0,2.7,1
UT,1,1,1,1,2.0,2.8,1
VT,1,0,0,0,1.5,2.5,1
VA,0,0,0,0,1.8,2.1,1
WA,0,1,1,1,1.9,2.3,1
WV,1,1,0,0,3.2,3.6,1
WI,1,0,1,1,1.8,2.1,1
WY,1,1,0,0,2.2,2.7,1
