date,approve,disapprove
2018-02-12,43.30393,52.30949
2018-02-11,43.31694,52.39967
2018-02-10,43.31694,52.39967
2018-02-09,43.31694,52.39967
2018-02-08,43.32616,52.06881
2018-02-07,43.29857,52.21658
2018-02-06,42.77346,52.30897
2018-02-05,42.46733,52.63002
2018-02-04,42.38263,52.74967
2018-02-03,42.38263,52.74967
2018-02-02,42.3483,52.75233
2018-02-01,42.01125,53.27848
2018-01-31,41.70512,53.58346
2018-01-30,40.68484,55.03505
2018-01-29,40.38136,55.4905
2018-01-28,40.48121,55.45601
2018-01-27,40.48121,55.45601
2018-01-26,40.48121,55.45601
2018-01-25,40.7399,55.1729
2018-01-24,41.14259,54.98185
2018-01-23,40.41182,55.01748
2018-01-22,40.72579,54.58442
2018-01-21,41.39082,54.03265
2018-01-20,41.31607,54.06738
2018-01-19,41.31607,54.06738
2018-01-18,41.49497,53.70368
2018-01-17,41.63647,53.43866
2018-01-16,41.6681,53.28009
2018-01-15,40.84966,54.04315
2018-01-14,40.67689,54.10226
2018-01-13,40.67689,54.10226
2018-01-12,40.67689,54.10226
2018-01-11,40.9217,54.31938
2018-01-10,40.85157,54.47198
2018-01-09,40.5409,54.79406
2018-01-08,40.48848,54.79395
2018-01-07,40.64473,54.73632
2018-01-06,40.64473,54.73632
2018-01-05,40.64473,54.73632
2018-01-04,40.28809,55.00038
2018-01-03,40.21217,55.12443
2018-01-02,39.89989,55.2852
2018-01-01,39.47977,55.76954
2017-12-31,39.47977,55.76954
2017-12-30,39.47977,55.76954
2017-12-29,39.47977,55.76954
2017-12-28,39.59424,55.86306
2017-12-27,39.06779,56.30027
2017-12-26,38.8737,56.64392
2017-12-25,38.84623,56.60857
2017-12-24,38.84623,56.60857
2017-12-23,38.84623,56.60857
2017-12-22,38.84623,56.60857
2017-12-21,38.74059,56.77304
2017-12-20,38.77604,56.78464
2017-12-19,38.20256,57.26283
2017-12-18,38.38718,56.61967
2017-12-17,38.28982,56.81938
2017-12-16,38.28982,56.81938
2017-12-15,38.28982,56.81938
2017-12-14,38.49307,56.5584
2017-12-13,38.08359,56.67448
2017-12-12,39.10435,55.95634
2017-12-11,39.00207,55.85435
2017-12-10,39.03798,55.87618
2017-12-09,39.24728,55.49886
2017-12-08,39.24728,55.49886
2017-12-07,39.37215,55.45115
2017-12-06,40.18172,54.5077
2017-12-05,39.69933,54.95476
2017-12-04,39.90506,55.0077
2017-12-03,40.03389,54.96639
2017-12-02,40.03389,54.96639
2017-12-01,40.03389,54.96639
2017-11-30,40.03595,54.90004
2017-11-29,40.27305,54.68724
2017-11-28,39.71597,55.04973
2017-11-27,40.05172,54.71221
2017-11-26,40.0748,54.76105
2017-11-25,40.0748,54.76105
2017-11-24,40.0748,54.76105
2017-11-23,40.0748,54.76105
2017-11-22,40.0748,54.76105
2017-11-21,39.89044,55.191
2017-11-20,39.11744,55.79084
2017-11-19,39.22339,55.75001
2017-11-18,39.28837,55.46194
2017-11-17,39.28837,55.46194
2017-11-16,39.17174,55.44165
2017-11-15,39.02678,55.44995
2017-11-14,38.96594,55.51689
2017-11-13,39.11507,55.69787
2017-11-12,38.91225,55.91314
2017-11-11,38.91225,55.91314
2017-11-10,38.91225,55.91314
2017-11-09,38.82508,56.00803
2017-11-08,38.78871,56.07062
2017-11-07,38.78378,56.08299
2017-11-06,38.76372,56.23228
2017-11-05,38.76653,56.29507
2017-11-04,38.97559,55.98032
2017-11-03,38.97559,55.98032
2017-11-02,39.50467,55.37743
2017-11-01,39.45043,55.40435
2017-10-31,38.73505,56.16645
2017-10-30,38.96075,56.08945
2017-10-29,38.7843,56.29276
2017-10-28,38.7843,56.29276
2017-10-27,38.7843,56.29276
2017-10-26,39.07314,56.0741
2017-10-25,38.67745,56.31491
2017-10-24,38.9423,55.83633
2017-10-23,39.28416,55.52995
2017-10-22,39.44123,55.12551
2017-10-21,39.44123,55.12551
2017-10-20,39.44123,55.12551
2017-10-19,39.58765,54.8556
2017-10-18,39.87877,54.70084
2017-10-17,39.582,55.04752
2017-10-16,40.2318,54.40153
2017-10-15,39.6197,55.18693
2017-10-14,39.6197,55.18693
2017-10-13,39.6197,55.18693
2017-10-12,40.22272,54.57459
2017-10-11,40.12806,54.69553
2017-10-10,40.01473,55.25956
2017-10-09,40.09864,55.25847
2017-10-08,40.17117,55.22769
2017-10-07,40.17117,55.22769
2017-10-06,40.17117,55.22769
2017-10-05,40.60885,54.87642
2017-10-04,40.7621,54.79143
2017-10-03,40.37353,54.85959
2017-10-02,40.15312,54.81033
2017-10-01,40.34256,54.64625
2017-09-30,40.34256,54.64625
2017-09-29,40.34256,54.64625
2017-09-28,40.31269,54.41755
2017-09-27,40.31173,54.26196
2017-09-26,41.01126,53.54343
2017-09-25,41.57793,53.08458
2017-09-24,41.49499,52.96284
2017-09-23,41.25188,52.82355
2017-09-22,41.25188,52.82355
2017-09-21,40.87155,52.63753
2017-09-20,40.86275,52.65388
2017-09-19,40.38954,53.92811
2017-09-18,40.48919,53.73187
2017-09-17,40.4518,53.72972
2017-09-16,40.4518,53.72972
2017-09-15,40.4518,53.72972
2017-09-14,40.09134,54.549
2017-09-13,39.74465,54.93554
2017-09-12,39.55527,55.24317
2017-09-11,40.31529,54.72517
2017-09-10,40.44044,54.6344
2017-09-09,40.44044,54.6344
2017-09-08,40.44044,54.6344
2017-09-07,39.82632,55.34008
2017-09-06,39.78395,55.35294
2017-09-05,39.3034,55.7341
2017-09-04,38.7773,56.08899
2017-09-03,38.72445,56.20359
2017-09-02,38.72445,56.20359
2017-09-01,38.72445,56.20359
2017-08-31,38.60115,56.26993
2017-08-30,38.63689,56.25348
2017-08-29,38.09775,56.34618
2017-08-28,38.49717,56.13604
2017-08-27,38.49583,56.11722
2017-08-26,38.49583,56.11722
2017-08-25,38.49583,56.11722
2017-08-24,38.61401,55.61862
2017-08-23,38.47126,55.76075
2017-08-22,39.12299,55.47832
2017-08-21,39.59126,54.82199
2017-08-20,39.6217,54.81041
2017-08-19,39.6217,54.81041
2017-08-18,39.6217,54.81041
2017-08-17,40.14403,53.8097
2017-08-16,39.79543,53.64213
2017-08-15,39.32666,54.21491
2017-08-14,39.25485,54.94202
2017-08-13,39.34763,54.87801
2017-08-12,39.34763,54.87801
2017-08-11,39.34763,54.87801
2017-08-10,38.53228,56.22918
2017-08-09,38.39414,56.41191
2017-08-08,38.25177,56.82254
2017-08-07,37.74126,57.28339
2017-08-06,37.39128,57.57107
2017-08-05,37.27709,57.64736
2017-08-04,37.27709,57.64736
2017-08-03,37.2991,57.72597
2017-08-02,37.31966,57.76991
2017-08-01,38.21495,57.22556
2017-07-31,38.83294,56.40698
2017-07-30,38.97818,56.00404
2017-07-29,38.97818,56.00404
2017-07-28,38.97818,56.00404
2017-07-27,39.90546,54.90348
2017-07-26,40.10891,54.68523
2017-07-25,40.00367,54.72099
2017-07-24,40.00105,54.82607
2017-07-23,39.92391,54.90389
2017-07-22,39.92391,54.90389
2017-07-21,39.92391,54.90389
2017-07-20,40.24314,54.3571
2017-07-19,40.23778,54.35539
2017-07-18,40.80437,53.83469
2017-07-17,40.74656,53.64394
2017-07-16,40.88952,54.01481
2017-07-15,41.46784,53.40601
2017-07-14,41.46821,53.40542
2017-07-13,41.25047,53.57362
2017-07-12,41.33458,53.47686
2017-07-11,41.28938,53.67112
2017-07-10,40.97753,53.88207
2017-07-09,40.9719,53.88918
2017-07-08,40.9719,53.88918
2017-07-07,40.9719,53.88918
2017-07-06,40.9981,53.72767
2017-07-05,41.05097,53.6532
2017-07-04,41.50266,53.08095
2017-07-03,41.5316,53.03595
2017-07-02,41.68539,52.85609
2017-07-01,41.68539,52.85609
2017-06-30,41.68539,52.85609
2017-06-29,41.86575,52.88573
2017-06-28,41.81993,52.67577
2017-06-27,41.78716,53.23951
2017-06-26,42.26113,53.22862
2017-06-25,42.15164,53.26928
2017-06-24,42.15164,53.26928
2017-06-23,42.15164,53.26928
2017-06-22,41.33515,53.73629
2017-06-21,41.27916,53.78546
2017-06-20,41.74133,53.18612
2017-06-19,41.07663,53.4833
2017-06-18,41.08271,53.55498
2017-06-17,41.08271,53.55498
2017-06-16,41.08271,53.55498
2017-06-15,40.40865,53.82967
2017-06-14,40.24654,53.96759
2017-06-13,39.90106,54.4931
2017-06-12,39.8111,54.497
2017-06-11,39.4872,55.18361
2017-06-10,39.4872,55.18361
2017-06-09,39.4872,55.18361
2017-06-08,39.56704,55.13066
2017-06-07,39.47573,55.21827
2017-06-06,40.25127,54.70671
2017-06-05,40.30796,54.25923
2017-06-04,40.13013,54.41492
2017-06-03,40.41716,54.00002
2017-06-02,40.41716,54.00002
2017-06-01,40.30403,54.02005
2017-05-31,40.34653,53.96354
2017-05-30,40.42588,53.90907
2017-05-29,40.06456,53.96847
2017-05-28,40.15144,53.83537
2017-05-27,40.15144,53.83537
2017-05-26,40.22279,53.76402
2017-05-25,39.91333,53.94802
2017-05-24,39.81437,54.01662
2017-05-23,40.24492,54.41688
2017-05-22,39.63826,54.532470000000004
2017-05-21,39.62964,54.51856
2017-05-20,39.62964,54.51856
2017-05-19,39.62964,54.51856
2017-05-18,40.4189,53.61588
2017-05-17,41.0498,53.19755
2017-05-16,41.78514,52.59653
2017-05-15,42.67153,51.77419
2017-05-14,42.85477,51.5491
2017-05-13,42.59069,51.74759
2017-05-12,42.59069,51.74759
2017-05-11,42.88606,51.48355
2017-05-10,42.81641,51.53957
2017-05-09,44.17577,50.24742
2017-05-08,44.14452,50.20971
2017-05-07,44.32235,50.10137
2017-05-06,44.32235,50.10137
2017-05-05,44.06768,50.19212
2017-05-04,44.23395,49.99863
2017-05-03,44.34391,49.80513
2017-05-02,44.19493,50.27415
2017-05-01,44.12144,50.34044
2017-04-30,44.18594,50.13792
2017-04-29,44.18594,50.13792
2017-04-28,44.18594,50.13792
2017-04-27,43.94151,50.25742
2017-04-26,44.06063,50.11729
2017-04-25,43.502,50.69404
2017-04-24,44.23955,50.40123
2017-04-23,44.04811,50.56432
2017-04-22,44.04811,50.56432
2017-04-21,44.04811,50.56432
2017-04-20,44.05973,50.58625
2017-04-19,44.00313,50.52559
2017-04-18,43.50145,50.31609
2017-04-17,43.4188,50.35167
2017-04-16,42.73984,50.934
2017-04-15,42.73984,50.934
2017-04-14,42.73984,50.934
2017-04-13,42.90318,51.71242
2017-04-12,42.83318,51.76783
2017-04-11,42.56668,51.78368
2017-04-10,41.39298,52.95179
2017-04-09,41.51286,52.79503
2017-04-08,41.51286,52.79503
2017-04-07,41.51286,52.79503
2017-04-06,41.74047,52.44887
2017-04-05,41.72259,52.42102
2017-04-04,41.28366,52.73132
2017-04-03,41.49263,52.28128
2017-04-02,41.77287,51.91686
2017-04-01,41.77287,51.91686
2017-03-31,41.77287,51.91686
2017-03-30,42.78091,51.80407
2017-03-29,43.23234,51.65588
2017-03-28,43.37658,51.31355
2017-03-27,44.28436,50.60625
2017-03-26,44.35612,50.58176
2017-03-25,44.35612,50.58176
2017-03-24,44.35612,50.58176
2017-03-23,44.11869,50.66172
2017-03-22,44.10851,50.6463
2017-03-21,44.61454,50.02016
2017-03-20,44.52505,50.08957
2017-03-19,44.47798,50.08054
