city,year,month,sales,volume,avg_price,listings
Abilene,2000,1,72.0,538e4,71400.0,701.0
Abilene,2000,2,98.0,6505e3,58700.0,746.0
Abilene,2000,3,130.0,9285e3,58100.0,784.0
Abilene,2000,4,98.0,973e4,68600.0,785.0
Abilene,2000,5,141.0,1059e4,67300.0,794.0
Abilene,2000,6,156.0,1391e4,66900.0,780.0
Abilene,2000,7,152.0,12635e3,73500.0,742.0
Abilene,2000,8,131.0,1071e4,75e3,765.0
Abilene,2000,9,104.0,7615e3,64500.0,771.0
Abilene,2000,10,101.0,704e4,59300.0,764.0
Abilene,2000,11,100.0,789e4,70900.0,721.0
Abilene,2000,12,92.0,7285e3,65e3,658.0
Abilene,2001,1,75.0,573e4,64500.0,779.0
Abilene,2001,2,112.0,867e4,68900.0,700.0
Abilene,2001,3,118.0,955e4,72300.0,738.0
Abilene,2001,4,105.0,8705e3,71500.0,810.0
Abilene,2001,5,150.0,1185e4,71e3,772.0
Abilene,2001,6,139.0,1129e4,78100.0,825.0
Abilene,2001,7,134.0,13175e3,86700.0,801.0
Abilene,2001,8,151.0,1184e4,69e3,891.0
Abilene,2001,9,116.0,8395e3,64200.0,849.0
Abilene,2001,10,121.0,901e4,64600.0,756.0
Abilene,2001,11,116.0,8955e3,69100.0,695.0
Abilene,2001,12,94.0,7195e3,71800.0,620.0
Abilene,2002,1,94.0,653e4,64e3,652.0
Abilene,2002,2,94.0,686e4,62900.0,746.0
Abilene,2002,3,107.0,8385e3,62100.0,774.0
Abilene,2002,4,135.0,10465e3,66900.0,767.0
Abilene,2002,5,154.0,11465e3,69200.0,778.0
Abilene,2002,6,136.0,116e5,76700.0,758.0
Abilene,2002,7,159.0,135e5,73900.0,746.0
Abilene,2002,8,155.0,12875e3,82200.0,709.0
Abilene,2002,9,133.0,9965e3,67300.0,703.0
Abilene,2002,10,134.0,10395e3,73600.0,664.0
Abilene,2002,11,107.0,8485e3,59400.0,643.0
Abilene,2002,12,108.0,815e4,65e3,649.0
Abilene,2003,1,68.0,5385e3,7e4,668.0
Abilene,2003,2,110.0,85e5,72300.0,716.0
Abilene,2003,3,120.0,9445e3,62300.0,765.0
Abilene,2003,4,125.0,1127e4,79700.0,763.0
Abilene,2003,5,142.0,1203e4,79400.0,750.0
Abilene,2003,6,132.0,11545e3,71400.0,777.0
Abilene,2003,7,171.0,1394e4,75e3,778.0
Abilene,2003,8,193.0,1623e4,78200.0,731.0
Abilene,2003,9,147.0,1335e4,74300.0,730.0
Abilene,2003,10,142.0,11215e3,67300.0,721.0
Abilene,2003,11,129.0,1011e4,66400.0,675.0
Abilene,2003,12,153.0,12655e3,66900.0,640.0
Abilene,2004,1,97.0,6945e3,66100.0,657.0
Abilene,2004,2,119.0,981e4,70400.0,682.0
Abilene,2004,3,169.0,13635e3,63900.0,668.0
Abilene,2004,4,171.0,14475e3,68600.0,696.0
Abilene,2004,5,159.0,13085e3,71700.0,752.0
Abilene,2004,6,179.0,16255e3,79600.0,720.0
Abilene,2004,7,176.0,16685e3,82e3,701.0
Abilene,2004,8,190.0,1919e4,91800.0,686.0
Abilene,2004,9,142.0,12325e3,74700.0,677.0
Abilene,2004,10,144.0,1262e4,81e3,663.0
Abilene,2004,11,138.0,12375e3,77500.0,630.0
Abilene,2004,12,146.0,1227e4,71100.0,600.0
Abilene,2005,1,119.0,10255e3,74200.0,570.0
Abilene,2005,2,130.0,1177e4,74300.0,581.0
Abilene,2005,3,170.0,1447e4,71300.0,661.0
Abilene,2005,4,171.0,16355e3,80300.0,650.0
Abilene,2005,5,176.0,1808e4,87100.0,660.0
Abilene,2005,6,230.0,2405e4,92500.0,664.0
